Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,20.1,,,,,,,,,,,,
2020,24.6,24.4,22.7,8.5,9.7,14.2,18.8,20.0,20.4,20.3,20.6,20.7,18.7
2019,24.6,24.4,24.7,25.2,25.6,26.2,26.1,26.0,25.7,25.7,25.5,25.6,25.4
2018,24.3,24.4,24.7,25.3,25.7,26.3,26.1,26.3,26.0,26.0,25.6,25.7,25.5
2017,23.3,23.3,23.6,24.2,24.9,25.6,25.5,25.4,25.4,25.2,25.1,25.1,24.7
2016,22.8,22.8,23.3,23.7,24.0,24.5,24.5,24.4,24.3,24.2,24.1,24.0,23.9
2015,21.2,21.3,21.5,22.1,22.7,23.3,23.4,23.8,23.8,23.6,23.5,23.5,22.8
2014,20.7,20.6,21.1,21.7,22.1,22.5,22.4,22.4,22.2,22.2,22.0,22.2,21.8
2013,20.2,20.0,20.4,20.9,21.3,21.7,21.5,21.6,21.8,21.6,21.5,21.5,21.2
2012,19.7,19.5,20.1,20.3,20.6,21.1,20.7,20.9,20.8,20.7,20.3,20.8,20.5
2011,19.0,19.0,19.4,19.7,20.2,20.7,20.6,20.5,20.4,20.3,20.1,20.3,20.0
2010,18.1,17.9,18.3,18.9,19.3,19.6,19.6,19.6,19.6,19.6,19.5,19.6,19.1
2009,18.0,17.9,18.1,18.1,18.6,18.9,18.8,18.8,19.0,18.7,18.4,18.6,18.5
2008,17.4,17.4,17.8,18.1,18.6,18.9,19.0,18.9,18.9,18.6,18.6,18.6,18.4
2007,17.1,17.1,17.4,17.6,18.0,18.5,18.3,18.1,18.2,18.3,18.1,18.1,17.9
2006,16.8,16.7,17.2,17.4,17.9,18.3,17.9,17.8,17.8,17.9,17.8,17.8,17.6
2005,16.9,16.8,17.2,17.6,17.8,18.1,17.8,17.8,17.7,17.5,17.5,17.6,17.5
