Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,43.3,,,,,,,,,,,,
2020,45.0,44.2,43.7,32.2,33.0,34.3,33.8,34.4,40.3,40.8,43.8,45.5,39.3
2019,43.3,42.7,42.7,42.9,43.4,44.4,40.9,40.1,44.6,45.1,46.1,47.1,43.6
2018,42.5,41.9,42.0,42.4,42.8,43.4,38.9,38.1,43.0,43.7,43.9,45.4,42.3
2017,42.5,42.3,42.4,41.5,43.0,43.3,39.0,38.8,43.6,43.6,44.2,45.6,42.5
2016,41.9,41.7,42.0,42.4,42.8,43.4,39.0,38.9,43.1,43.1,43.7,45.0,42.3
2015,41.2,40.6,41.0,40.8,41.9,42.3,38.4,37.9,42.4,42.8,43.4,44.7,41.5
2014,40.6,40.4,40.8,40.2,41.0,41.3,37.7,37.1,41.6,41.8,42.8,43.8,40.8
2013,38.3,38.3,38.4,38.9,39.4,40.1,36.6,35.4,41.0,41.1,41.9,42.8,39.4
2012,37.5,37.4,37.6,37.2,38.4,39.1,34.9,34.0,39.2,39.3,39.5,41.1,37.9
2011,36.6,36.4,36.8,37.1,37.4,37.7,33.5,33.3,37.3,37.7,38.2,38.9,36.7
2010,35.5,35.2,35.4,36.0,36.5,37.1,32.6,32.4,36.9,37.0,37.5,38.3,35.9
2009,36.7,36.5,36.5,36.2,36.7,36.8,33.1,32.7,36.1,36.2,36.6,37.6,36.0
2008,37.8,37.6,37.9,38.4,38.6,38.9,34.7,34.2,38.1,38.3,38.4,39.5,37.7
2007,36.9,36.7,37.0,37.1,37.9,38.3,34.4,33.2,38.2,38.8,38.9,39.7,37.3
2006,35.7,35.5,35.7,35.8,36.8,37.2,33.6,33.1,37.2,37.6,37.8,39.1,36.3
2005,36.4,36.3,36.7,37.0,37.3,37.6,33.9,33.7,37.0,36.7,37.0,37.9,36.5
2004,36.0,36.0,36.0,36.2,37.0,37.2,34.5,34.2,37.7,38.5,38.4,38.5,36.7
2003,36.0,35.8,36.2,35.9,36.5,36.6,33.8,33.4,36.5,38.0,38.1,38.1,36.2
2002,35.9,35.8,36.1,36.2,36.3,36.8,34.1,33.1,36.5,37.2,37.2,37.3,36.0
2001,37.1,37.0,37.1,35.6,37.9,38.2,35.6,34.5,37.8,38.3,38.0,38.0,37.1
2000,38.2,38.2,38.7,39.1,39.3,39.7,37.0,36.7,39.6,40.2,40.3,41.1,39.0
1999,37.3,37.4,37.8,38.2,38.5,38.9,36.5,36.3,38.7,39.0,39.3,40.2,38.2
1998,36.4,36.2,36.3,36.4,37.2,37.5,35.7,35.4,37.8,39.0,38.4,39.4,37.1
1997,36.5,36.4,36.7,37.0,37.3,37.8,35.3,35.2,37.9,38.1,37.8,38.0,37.0
1996,34.6,34.7,34.8,35.0,35.9,36.1,33.5,32.9,35.7,36.8,36.6,36.8,35.3
1995,35.8,35.6,35.9,36.3,36.5,36.9,33.9,33.6,36.0,36.8,36.7,36.7,35.9
1994,34.9,34.3,34.7,35.0,35.7,36.1,34.3,34.1,36.2,37.3,37.2,37.4,35.6
1993,35.2,34.9,35.1,35.8,36.5,36.9,33.5,33.6,35.7,36.6,36.5,36.6,35.6
1992,34.9,35.0,35.1,35.8,36.2,36.5,33.4,33.5,35.9,36.6,36.5,36.9,35.5
1991,36.0,35.3,35.5,35.9,36.3,36.5,33.2,33.1,36.1,36.4,36.3,37.0,35.6
1990,35.4,35.1,35.5,35.2,35.6,36.3,33.1,32.9,36.0,37.8,37.8,38.2,35.7
