Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,96.5,97.7,,,,,,,,,,,
2021,79.3,81.2,83.7,88.4,94.2,101.8,105.1,104.3,100.9,102.0,101.6,100.5,95.3
2020,99.3,99.2,94.6,42.7,57.5,67.6,81.7,86.9,87.6,87.6,86.1,83.6,81.2
2019,98.8,98.1,99.5,101.8,105.2,111.7,112.4,110.9,105.9,104.4,102.9,102.9,104.5
2018,97.7,97.9,99.0,102.1,106.7,113.2,112.8,111.9,106.6,104.5,103.1,102.7,104.9
2017,94.6,94.8,96.6,99.3,105.7,111.8,111.8,111.2,107.0,104.0,103.0,102.0,103.5
2016,91.6,91.8,93.9,97.2,101.3,106.2,106.8,106.4,103.0,100.2,99.1,98.8,99.7
2015,89.4,89.9,91.5,93.7,99.6,104.0,103.2,103.7,101.6,98.8,97.3,97.4,97.5
2014,88.5,88.6,90.3,92.6,97.7,102.1,101.3,100.7,98.2,96.1,94.8,93.9,95.4
2013,84.3,84.6,86.5,89.6,94.2,99.9,99.7,99.0,96.5,95.2,93.3,92.6,93.0
2012,80.9,82.1,83.4,84.7,89.5,94.8,95.6,96.1,93.3,90.3,87.1,88.2,88.8
2011,75.3,75.6,77.3,81.4,85.0,89.7,90.3,90.1,87.4,85.9,84.8,84.6,84.0
2010,73.1,73.3,74.8,77.5,80.8,84.6,84.7,84.9,83.2,81.3,80.3,79.9,79.9
2009,70.9,71.4,72.6,73.3,78.3,81.9,81.7,81.8,81.1,78.6,77.6,76.9,77.2
2008,72.0,72.9,73.8,76.0,79.4,82.8,82.0,81.3,79.4,77.8,76.5,76.0,77.5
2007,71.9,72.5,73.3,76.0,79.3,82.7,82.5,82.3,79.9,78.5,77.7,77.7,77.9
2006,70.5,70.3,72.2,72.7,77.5,81.4,81.3,80.6,78.9,77.2,77.2,76.8,76.4
2005,69.5,70.1,70.9,74.0,76.5,80.2,79.7,79.6,77.9,75.5,74.8,74.3,75.3
2004,69.5,69.8,71.1,72.5,76.0,80.5,80.8,80.0,77.3,76.1,74.6,74.6,75.2
2003,66.6,66.9,68.2,69.8,73.7,77.3,77.8,77.3,75.7,74.1,73.6,73.6,72.9
2002,65.1,65.7,66.8,68.2,71.5,74.5,73.6,73.8,72.6,71.1,70.6,70.3,70.3
2001,65.1,65.3,66.4,66.2,70.5,73.9,73.4,73.6,70.7,70.9,70.6,70.0,69.7
2000,60.6,61.3,62.4,65.4,68.0,71.8,72.2,72.4,70.7,68.7,68.1,68.2,67.5
1999,60.3,61.1,62.1,63.0,66.0,69.4,68.3,68.8,66.3,64.9,64.5,64.7,65.0
1998,57.7,58.1,59.8,59.9,64.3,67.5,66.3,66.1,65.0,62.6,62.4,62.6,62.7
1997,56.5,56.6,58.2,58.9,61.9,65.8,64.8,65.5,64.5,62.3,62.3,62.1,61.6
1996,55.5,55.8,57.3,57.9,62.3,66.5,63.5,64.1,62.4,60.8,60.2,60.6,60.6
1995,56.1,56.2,57.9,58.8,62.2,66.6,65.6,65.7,64.9,61.8,60.4,60.2,61.4
1994,54.5,53.6,56.2,58.6,61.4,65.9,64.9,66.1,64.2,61.5,60.0,59.5,60.5
1993,53.4,53.5,53.6,56.4,60.5,64.1,63.7,64.2,62.6,60.2,59.3,59.6,59.3
1992,54.0,54.2,55.1,57.3,60.0,63.8,63.8,63.8,62.4,59.2,58.2,57.4,59.1
1991,55.0,55.5,57.3,57.1,60.3,63.9,63.1,64.0,61.8,59.7,58.7,58.4,59.6
Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.,Accommodation and Food Services - Data in thousands.
1990,57.0,57.3,58.8,59.9,64.2,68.4,67.0,67.2,66.1,62.4,61.6,60.9,62.6
