Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,64.7,67.1,71.0,74.8,75.3,76.6,,,,,,,
2020,70.5,70.4,72.0,59.0,64.6,67.6,70.0,71.9,72.2,70.5,69.8,67.8,68.9
2019,69.3,70.0,72.2,77.9,80.0,81.7,82.1,81.5,80.9,80.6,79.9,78.0,77.8
2018,67.4,67.4,69.9,76.4,79.2,81.9,81.0,80.7,80.3,79.4,78.6,77.8,76.7
2017,69.5,68.7,70.4,76.2,78.8,79.8,79.8,79.1,79.3,77.7,77.0,76.1,76.0
2016,69.5,69.9,72.8,77.4,79.5,80.7,80.8,80.7,80.9,80.5,80.3,79.0,77.7
2015,66.4,66.5,68.0,74.8,77.1,78.3,78.7,78.2,78.0,78.0,77.2,75.9,74.8
2014,65.6,65.4,66.8,72.1,75.0,75.5,76.6,76.1,75.8,76.0,75.5,74.2,72.9
2013,64.0,64.4,66.6,71.4,73.5,74.3,74.0,74.0,73.9,74.0,73.3,72.4,71.3
2012,62.1,62.3,65.1,69.7,71.4,72.7,71.2,71.4,71.5,71.9,71.7,72.1,69.4
2011,61.2,60.0,62.4,67.8,69.6,70.7,70.2,69.9,70.7,69.2,69.1,68.2,67.4
2010,57.2,57.4,59.5,64.5,66.5,67.5,67.0,67.3,67.6,67.1,66.9,65.9,64.5
2009,61.3,60.7,62.4,65.6,67.0,67.8,67.4,67.6,66.8,65.6,64.7,64.2,65.1
2008,67.3,67.1,70.1,72.6,73.6,73.8,73.5,73.5,72.8,71.7,70.3,68.4,71.2
2007,65.2,65.0,67.5,72.8,74.4,74.8,75.7,75.4,75.6,74.6,74.0,72.9,72.3
2006,59.6,60.2,62.3,67.6,69.3,70.4,70.6,70.6,70.4,70.0,70.1,69.3,67.5
2005,62.7,63.1,64.4,70.4,72.0,73.6,74.0,74.0,74.1,72.4,72.1,71.3,70.3
2004,64.9,65.3,67.8,72.0,73.6,74.2,74.0,74.3,74.2,73.1,72.3,71.0,71.4
2003,59.9,59.6,61.7,65.3,67.2,68.6,68.4,68.8,69.1,68.3,67.9,67.0,66.0
2002,63.7,63.4,65.3,67.3,69.0,69.9,69.3,69.2,70.3,68.3,67.4,66.0,67.4
2001,65.0,65.5,67.5,70.1,71.6,72.0,72.2,72.3,71.7,70.3,68.9,68.7,69.7
2000,61.7,62.3,63.3,66.3,68.5,68.9,69.3,70.0,70.6,69.6,68.7,68.5,67.3
1999,56.8,57.9,58.7,62.3,63.5,64.9,65.6,66.0,65.4,65.9,65.8,66.0,63.2
1998,54.7,55.2,57.0,60.4,61.8,64.5,62.6,63.6,63.2,62.7,62.3,62.2,60.9
1997,51.8,52.1,53.8,56.3,57.7,59.1,59.0,59.8,59.8,59.0,58.3,58.5,57.1
1996,49.4,50.6,51.8,53.5,55.9,57.2,56.6,56.5,56.2,57.1,56.2,56.4,54.8
1995,48.3,48.9,50.5,52.0,54.1,54.0,55.6,55.9,55.6,55.4,53.8,53.3,53.1
1994,45.7,45.6,47.3,49.3,50.7,51.3,51.7,52.0,51.6,52.3,50.8,50.6,49.9
1993,43.5,44.2,45.2,47.6,49.6,51.3,50.8,50.8,51.1,50.5,49.9,49.4,48.7
1992,42.6,42.6,43.8,45.2,46.1,48.3,48.2,48.6,48.7,47.5,47.1,45.9,46.2
Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.,Admin. & Supp. and Waste Manage. & Remed. Servs. - Data in thousands.
1991,42.6,41.9,43.2,44.3,46.1,46.6,47.8,47.6,48.0,47.1,46.6,45.8,45.6
1990,46.3,46.5,48.5,50.8,52.7,53.0,52.6,52.1,52.9,51.7,51.0,50.1,50.7
