Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,90.5,,,,,,,,,,,,
2020,95.0,95.5,94.3,70.3,74.1,81.8,85.6,87.9,88.5,90.1,91.9,91.9,87.2
2019,92.6,92.9,94.1,94.2,94.4,94.8,93.8,94.4,94.6,95.8,96.6,96.4,94.6
2018,86.9,87.4,87.8,88.5,89.1,89.4,89.9,90.2,90.7,92.2,92.6,93.4,89.8
2017,86.1,86.3,86.8,86.1,86.6,87.2,86.8,86.9,86.9,87.4,88.2,88.7,87.0
2016,84.9,85.0,85.6,86.6,86.8,87.1,87.2,86.7,87.1,87.7,87.9,88.1,86.7
2015,83.1,82.9,83.2,84.1,85.0,84.9,85.0,84.9,84.8,85.8,86.1,86.6,84.7
2014,80.5,80.2,80.9,81.1,81.7,82.3,82.3,82.4,82.5,83.7,84.1,84.8,82.2
2013,78.1,78.2,78.8,79.6,80.0,80.3,80.3,80.3,80.3,81.5,82.1,82.7,80.2
2012,77.2,77.3,77.4,77.5,78.3,78.8,78.7,78.5,78.6,79.4,78.7,80.2,78.4
2011,75.2,75.1,75.7,76.1,76.5,76.9,77.1,77.0,77.2,77.7,78.0,78.8,76.8
2010,73.9,73.8,74.4,74.6,74.6,74.9,75.2,75.7,75.2,76.1,76.4,77.1,75.2
2009,71.8,71.9,72.3,72.3,72.9,73.8,74.1,74.2,74.4,74.9,75.2,75.8,73.6
2008,70.5,70.6,70.7,71.3,71.4,71.9,71.9,72.0,72.2,72.7,73.1,73.4,71.8
2007,68.8,68.7,69.0,69.5,69.8,70.1,69.8,70.0,70.2,71.2,71.2,72.1,70.0
2006,66.4,66.7,67.4,67.0,67.7,68.4,68.6,68.3,68.7,69.8,69.9,70.5,68.3
2005,65.9,66.3,66.9,67.5,67.5,67.9,67.9,67.8,67.8,68.5,68.8,69.2,67.7
2004,65.5,65.7,66.6,66.8,67.4,67.9,67.4,67.6,67.5,68.6,69.0,69.5,67.5
2003,65.0,64.7,65.4,65.4,65.7,66.4,66.2,65.9,66.3,66.8,67.1,67.2,66.0
2002,63.4,63.6,64.1,64.1,64.4,64.6,65.3,65.1,65.4,66.6,66.9,67.3,65.1
2001,63.3,63.8,64.4,63.5,64.1,64.7,64.0,64.5,64.0,64.9,65.1,65.6,64.3
2000,61.4,61.9,62.0,62.4,62.6,63.0,63.4,63.5,63.7,63.3,63.5,64.2,62.9
1999,60.7,60.8,61.2,62.4,62.5,62.7,61.8,61.9,61.4,62.8,63.3,63.6,62.1
1998,59.6,59.2,59.8,59.9,59.9,60.1,60.3,60.2,60.0,60.5,61.1,61.3,60.2
1997,57.2,57.4,58.2,57.8,58.7,59.2,59.4,59.3,59.3,59.4,60.0,60.5,58.9
1996,56.1,56.7,57.2,56.8,57.5,57.7,57.7,57.7,57.7,58.4,58.7,59.0,57.6
1995,55.3,55.8,56.2,56.2,56.4,57.1,56.8,57.0,57.1,57.7,57.9,58.2,56.8
1994,52.5,52.8,53.5,54.1,54.7,54.9,55.4,55.5,56.0,55.7,55.8,56.3,54.8
1993,50.0,50.1,50.5,51.4,51.7,52.1,52.2,52.2,52.3,52.6,52.8,53.1,51.8
1992,47.8,48.0,48.1,48.6,48.7,49.5,49.9,50.0,49.9,50.5,50.6,51.0,49.4
Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.,Ambulatory Health Care Services - Data in thousands.
1991,44.5,45.0,45.6,45.8,46.0,46.5,46.4,46.5,47.0,47.7,47.8,48.6,46.5
1990,44.2,44.4,45.0,45.1,45.4,45.9,46.0,46.3,46.5,47.0,47.1,47.6,45.9
