Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,12.6,,,,,,,,,,,,
2021,9.4,9.2,10.4,13.0,15.1,19.1,24.4,24.3,17.8,16.0,14.9,13.9,15.6
2020,14.4,13.7,13.9,5.3,6.5,9.8,15.0,15.9,14.6,13.4,12.3,11.5,12.2
2019,13.8,13.3,14.4,16.5,18.1,22.6,27.4,27.0,19.1,17.8,16.1,15.8,18.5
2018,13.2,12.8,13.8,16.2,18.1,22.3,27.1,26.6,19.0,17.6,15.7,15.5,18.2
2017,13.4,13.1,14.1,16.6,18.3,22.4,26.5,26.5,19.3,17.5,16.0,15.6,18.3
2016,12.6,12.2,13.5,15.4,17.6,21.3,26.2,26.3,18.7,17.2,16.0,15.3,17.7
2015,12.5,11.9,12.7,15.2,17.5,20.7,25.9,25.4,19.2,16.7,15.1,14.8,17.3
2014,12.2,11.6,12.8,15.0,17.1,20.3,25.2,24.7,18.2,16.4,14.8,14.3,16.9
2013,11.7,11.1,12.5,14.7,16.4,20.1,25.0,24.1,18.0,16.3,14.7,14.2,16.6
2012,11.0,10.7,12.0,14.1,16.0,19.6,23.6,23.4,17.2,15.4,13.5,13.6,15.8
2011,10.6,10.3,11.4,13.9,15.7,18.8,23.1,22.8,16.3,15.2,13.4,12.7,15.4
2010,10.5,10.1,11.2,13.7,15.4,18.3,22.5,22.1,17.2,14.9,13.1,12.8,15.2
2009,10.8,10.4,11.5,13.5,15.8,18.4,22.3,21.9,17.4,14.8,13.2,12.8,15.2
2008,11.0,10.6,11.8,14.0,16.3,19.1,22.8,22.4,16.4,15.2,13.4,12.8,15.5
2007,11.4,10.8,11.9,13.9,15.8,19.1,22.3,22.3,16.5,15.1,13.5,13.0,15.5
2006,10.9,10.3,11.3,13.6,15.3,18.7,22.0,22.2,16.2,15.1,13.8,13.2,15.2
2005,10.7,10.4,11.3,13.8,15.2,18.1,21.4,21.3,15.9,14.3,13.2,12.5,14.8
