Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,10.4,10.2,11.2,12.7,,,,,,,,,
2020,19.4,18.8,18.5,7.9,9.3,13.0,18.1,19.3,17.9,16.0,14.5,13.0,15.5
2019,18.4,18.0,19.6,22.0,23.9,28.8,33.5,33.3,25.2,24.2,21.9,21.4,24.2
2018,18.1,17.8,19.0,22.0,24.7,29.1,33.4,32.7,25.0,23.7,21.4,20.9,24.0
2017,17.8,17.5,18.8,21.6,24.8,29.3,33.8,32.6,26.1,24.2,21.6,20.9,24.1
2016,17.1,16.9,18.2,20.3,24.2,27.8,33.2,32.0,24.8,23.7,21.2,20.4,23.3
2015,17.6,17.3,18.3,20.7,24.3,27.3,33.2,31.4,25.4,23.1,20.3,20.0,23.2
2014,17.3,16.8,18.2,20.5,24.1,27.1,32.7,30.6,25.2,23.5,20.7,20.1,23.1
2013,16.5,16.4,17.6,20.3,23.4,27.3,32.3,29.8,24.6,23.1,20.6,20.1,22.7
2012,15.9,15.6,17.2,19.1,22.4,26.3,30.7,29.1,23.7,21.5,19.0,19.6,21.7
2011,15.3,15.0,16.2,18.8,22.3,26.3,30.4,28.4,22.7,21.6,18.9,18.2,21.2
2010,15.5,14.9,16.4,18.6,21.8,25.2,29.7,27.8,23.3,21.4,18.7,18.1,21.0
2009,15.8,15.7,16.9,18.6,22.4,25.3,28.9,28.4,24.1,21.4,18.7,18.1,21.2
2008,16.4,15.9,17.2,19.8,23.4,26.5,30.4,29.8,24.0,21.5,19.6,18.6,21.9
2007,16.1,15.5,16.9,19.1,22.0,25.9,29.0,28.4,23.5,21.0,19.7,18.9,21.3
2006,15.6,15.1,16.6,18.8,21.9,26.0,29.2,27.9,23.2,20.9,19.5,18.5,21.1
2005,15.0,14.9,16.1,18.8,21.7,24.9,27.8,27.1,23.0,19.7,19.1,18.1,20.5
2004,14.7,14.6,16.1,18.3,21.3,24.6,27.8,26.9,24.0,20.4,19.0,18.4,20.5
2003,15.5,14.7,16.3,18.1,20.4,22.5,26.9,25.5,22.0,19.4,17.9,17.1,19.7
2002,14.3,14.1,15.7,18.5,20.9,24.1,26.7,25.8,21.6,19.6,18.5,17.9,19.8
2001,14.5,14.3,15.4,17.4,20.1,22.8,25.8,25.0,20.0,18.7,17.6,16.8,19.0
2000,13.6,13.2,14.9,17.0,19.7,22.6,24.7,25.5,21.2,19.5,17.6,16.8,18.9
1999,13.1,12.6,14.2,16.6,18.9,21.8,24.6,24.1,20.9,18.8,16.8,16.3,18.2
1998,12.4,12.4,13.6,15.6,18.7,20.8,23.4,22.4,20.9,18.0,15.5,15.2,17.4
1997,12.5,12.1,13.9,15.9,18.6,20.5,22.2,21.8,18.8,16.8,15.6,15.1,17.0
1996,11.6,11.5,12.6,14.9,17.2,19.7,21.9,22.2,18.9,17.5,15.4,14.8,16.5
1995,12.0,11.5,12.8,14.5,17.7,19.9,21.8,21.8,18.9,17.0,15.2,14.4,16.5
1994,11.9,11.2,12.7,14.4,15.6,18.0,20.7,20.5,18.0,16.4,14.2,13.8,15.6
1993,11.3,11.6,12.3,14.3,17.1,18.7,20.2,19.4,19.1,16.4,14.4,13.8,15.7
1992,11.2,11.0,12.9,14.0,16.9,18.7,20.3,19.4,17.6,16.2,14.1,13.5,15.5
"Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands.","Arts, Entertainment, and Recreation - Data in thousands."
1991,12.1,12.3,13.3,14.4,16.6,18.6,19.8,19.3,17.1,15.9,14.1,13.7,15.6
1990,13.6,12.9,14.1,15.4,18.3,19.9,21.6,21.1,19.3,17.3,15.7,14.9,17.0
