Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2020,17.2,15.8,15.8,4.8,5.3,7.1,8.4,8.9,8.5,8.7,9.0,9.2,
2019,17.9,16.5,16.5,16.6,16.8,17.4,17.5,17.5,16.5,16.4,18.1,19.5,17.3
2018,19.1,17.7,17.8,17.4,17.8,18.6,18.3,18.2,17.1,17.4,19.4,19.5,18.2
2017,19.5,18.1,18.1,18.3,18.6,19.3,19.0,18.9,18.0,18.3,20.3,21.0,19.0
2016,19.2,18.0,18.2,18.2,18.5,19.2,19.5,19.4,18.8,19.1,20.6,21.9,19.2
2015,18.5,17.4,17.5,17.8,18.3,19.1,19.1,19.1,18.4,18.5,20.1,21.1,18.7
2014,19.3,18.0,18.1,18.1,18.3,19.2,19.1,19.1,18.1,18.6,20.1,20.6,18.9
2013,19.3,18.1,18.1,18.1,18.5,19.2,19.2,19.3,18.5,18.8,21.0,21.7,19.2
2012,19.9,18.4,18.3,18.4,18.7,19.4,19.3,19.5,18.8,19.1,20.8,21.2,19.3
2011,18.8,17.8,17.9,17.8,18.1,18.8,18.9,19.1,18.5,18.9,20.5,21.8,18.9
2010,19.5,18.2,18.2,18.2,18.5,19.3,19.0,19.2,18.5,18.9,20.4,21.3,19.1
2009,20.5,19.2,18.9,18.5,19.1,20.0,19.4,19.6,19.4,19.7,20.8,22.0,19.8
2008,24.2,22.2,22.3,22.0,22.4,22.9,22.5,22.3,21.4,22.2,23.3,24.0,22.6
2007,22.5,21.2,21.3,21.1,21.4,22.7,22.7,22.9,22.3,22.8,25.3,26.4,22.7
2006,21.4,19.9,20.1,19.9,20.2,21.0,21.4,21.6,21.3,21.6,24.2,25.4,21.5
2005,21.1,20.0,19.9,20.3,20.6,21.1,21.1,21.4,20.8,20.9,22.4,24.1,21.1
2004,21.0,20.0,20.2,20.2,20.8,21.6,21.2,21.4,21.3,21.5,22.7,23.8,21.3
2003,21.0,19.6,19.6,19.7,20.1,20.7,20.4,20.9,20.3,20.8,22.1,23.3,20.7
2002,20.7,19.2,19.3,18.9,19.2,20.0,19.9,20.4,20.2,20.4,22.3,23.9,20.4
2001,20.4,19.1,18.9,18.8,19.3,19.9,19.5,20.0,19.7,19.7,21.3,22.7,19.9
2000,20.5,19.3,19.2,19.1,19.4,20.0,19.7,20.2,19.9,20.3,21.9,23.4,20.2
1999,19.4,18.4,18.4,18.5,18.8,19.8,19.6,19.8,19.5,19.7,21.0,23.1,19.7
1998,18.0,16.8,16.9,17.3,17.7,18.2,18.2,18.6,18.8,18.5,19.9,21.6,18.4
1997,17.6,16.7,16.5,16.4,16.7,17.3,17.3,18.0,18.0,18.3,19.8,21.3,17.8
1996,17.5,16.5,16.5,16.3,16.7,17.3,17.3,17.5,17.3,17.5,18.9,20.0,17.4
1995,18.1,17.0,17.0,17.0,17.3,17.5,17.2,17.4,17.4,17.6,18.5,19.5,17.6
1994,18.0,16.7,16.8,17.1,17.3,17.5,17.2,17.6,17.8,18.3,19.1,20.1,17.8
1993,17.8,16.9,16.7,16.9,17.7,18.0,17.7,18.3,18.1,18.6,19.7,20.7,18.1
1992,17.4,16.7,16.6,16.4,17.3,17.5,17.3,17.6,17.5,17.9,19.0,19.8,17.6
1991,18.5,17.5,17.5,17.0,17.1,17.4,16.7,16.9,17.1,17.3,18.7,19.5,17.6
1990,19.1,18.5,18.9,18.7,19.0,19.2,18.3,18.6,18.9,19.1,19.5,20.2,19.0
