Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,11.0,9.2,9.2,,,,,,,,,,
2020,8.3,7.7,7.6,7.3,7.9,8.4,8.5,8.4,8.6,8.8,11.4,13.5,8.9
2019,6.9,6.4,6.3,6.3,6.4,6.7,6.7,6.8,7.0,7.4,8.4,9.7,7.1
2018,6.2,5.7,5.7,5.7,5.9,6.0,6.0,6.1,6.2,6.4,7.3,8.1,6.3
2017,5.7,5.6,5.5,5.4,5.6,5.7,5.6,5.7,5.7,6.0,6.8,8.0,5.9
2016,5.5,5.3,5.4,5.3,5.4,5.5,5.4,5.5,5.6,5.6,6.2,7.4,5.7
2015,5.5,5.3,5.3,5.2,5.3,5.3,5.2,5.2,5.3,5.4,6.1,7.3,5.5
2014,5.3,5.0,5.0,4.9,5.0,5.1,5.1,5.2,5.2,5.3,6.1,7.2,5.4
2013,5.0,4.9,4.9,4.8,4.9,5.0,4.9,5.0,5.0,5.1,5.8,6.7,5.2
2012,5.2,5.1,5.1,5.0,5.1,5.1,5.0,5.0,5.1,5.1,5.5,6.8,5.3
2011,5.4,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.6,6.4,5.3
2010,5.3,5.3,5.3,5.3,5.3,5.2,5.1,5.1,5.2,5.1,5.6,6.3,5.3
2009,5.8,5.7,5.5,5.3,5.3,5.3,5.2,5.2,5.3,5.2,5.8,6.7,5.5
2008,6.3,6.2,6.2,6.2,6.0,6.0,6.0,6.0,6.0,6.0,6.3,7.5,6.2
2007,6.0,5.9,5.9,5.8,5.9,5.9,5.8,5.8,5.9,6.0,6.4,7.0,6.0
2006,5.8,5.9,5.9,5.8,5.8,5.9,5.8,5.9,5.9,6.0,6.2,7.2,6.0
2005,5.9,5.8,5.8,5.9,5.9,5.9,5.9,5.9,6.0,5.9,6.2,7.0,6.0
2004,5.8,5.7,5.7,5.8,5.7,5.7,5.9,5.9,5.8,6.8,6.8,6.7,6.0
2003,5.7,5.7,5.7,5.2,5.2,5.1,5.4,5.3,5.3,6.5,6.5,6.6,5.7
2002,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.3,5.3,6.0,6.0,6.0,5.5
2001,5.9,5.6,5.5,5.6,5.5,5.4,5.5,5.4,5.3,5.9,5.9,5.9,5.6
2000,6.4,6.4,6.4,6.4,6.3,6.1,6.3,6.2,6.2,7.1,7.1,7.5,6.5
1999,6.0,6.0,6.0,6.1,6.1,6.1,6.2,6.1,6.2,6.5,6.6,7.1,6.3
1998,5.4,5.4,5.4,5.5,5.4,5.4,5.5,5.6,5.6,6.4,6.4,7.2,5.8
1997,5.7,5.6,5.6,5.7,5.6,5.6,5.6,3.6,5.6,6.0,6.0,6.0,5.6
1996,5.3,5.3,5.3,5.6,5.6,5.4,5.5,5.4,5.4,6.4,6.3,6.4,5.7
1995,5.4,5.4,5.4,5.4,5.3,5.3,5.7,5.7,5.6,6.3,6.3,6.3,5.7
1994,5.1,5.1,5.1,5.4,5.4,5.4,5.4,5.3,5.3,6.1,6.0,6.0,5.5
1993,4.5,4.5,4.5,4.7,4.7,4.7,4.8,4.7,4.8,5.5,5.5,5.5,4.9
1992,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.6,4.7,5.0,4.5
Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.,Couriers and Messengers - Data in thousands.
1991,4.8,4.7,4.7,4.7,4.7,4.6,4.4,4.4,4.4,4.6,4.7,5.2,4.7
1990,4.7,4.6,4.5,4.6,4.6,4.6,4.4,4.4,4.5,4.7,4.9,5.4,4.7
