Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,19.3,19.4,,,,,,,,,,,
2021,18.8,18.9,18.9,19.0,19.1,19.3,19.4,19.3,19.1,19.2,19.3,19.3,19.1
2020,19.5,19.7,19.6,18.8,18.7,18.7,18.8,18.9,19.1,19.1,19.1,19.1,19.1
2019,19.2,19.2,19.2,19.2,19.3,19.5,19.6,19.5,19.5,19.6,19.7,19.7,19.4
2018,19.7,19.8,19.8,19.8,19.7,19.8,19.9,19.8,19.6,19.5,19.4,19.3,19.7
2017,20.4,20.2,20.3,20.0,20.0,20.1,20.0,19.9,19.8,19.8,19.8,19.8,20.0
2016,20.5,20.4,20.4,20.4,20.4,20.4,20.5,20.5,20.4,20.5,20.5,20.5,20.5
2015,21.6,21.7,21.7,21.6,21.6,21.6,21.6,21.5,21.3,21.3,21.3,21.2,21.5
2014,21.8,21.7,21.6,21.5,21.5,21.6,21.6,21.5,21.4,21.6,21.9,21.8,21.6
2013,21.9,21.9,21.9,21.9,21.8,21.9,22.0,22.0,21.9,21.9,21.9,21.8,21.9
2012,21.5,21.5,21.5,21.6,21.7,21.6,21.6,21.6,21.6,21.8,21.8,21.9,21.6
2011,21.0,21.0,21.1,21.3,21.3,21.3,21.3,21.3,21.3,21.6,21.5,21.7,21.3
2010,21.0,20.8,20.9,21.3,21.4,21.5,21.5,21.5,21.6,21.6,21.6,21.7,21.4
2009,21.8,21.6,21.3,21.2,21.2,21.3,21.2,21.1,20.9,20.9,20.9,21.1,21.2
2008,24.9,24.9,24.8,24.4,24.1,24.0,23.9,23.7,23.3,23.0,22.7,22.6,23.9
2007,28.4,28.4,28.1,28.1,27.9,27.8,28.0,26.5,26.0,25.5,25.5,25.4,27.1
2006,27.2,27.0,27.1,27.3,27.6,27.7,28.2,28.2,28.0,28.1,28.2,28.3,27.7
2005,28.6,28.6,28.5,28.5,28.2,28.0,28.8,28.6,28.2,28.1,27.8,27.8,28.3
2004,29.1,29.2,29.4,29.2,29.2,29.4,29.4,29.3,29.0,29.1,29.1,29.0,29.2
2003,28.4,28.6,28.8,29.0,29.1,29.5,29.4,29.3,29.1,29.0,28.8,28.8,29.0
2002,29.9,29.8,29.8,29.4,29.2,29.3,28.8,28.6,28.2,28.3,28.4,28.5,29.0
2001,28.3,28.4,28.8,28.7,28.8,29.0,29.0,28.6,28.4,29.2,29.2,29.7,28.8
2000,30.9,31.0,31.0,30.2,30.2,30.3,29.7,29.4,29.3,29.3,29.1,29.3,30.0
1999,30.2,30.1,30.1,30.4,30.5,30.6,30.7,30.8,30.4,30.6,30.6,30.7,30.5
1998,29.4,29.4,29.5,29.9,30.0,30.1,30.5,30.2,29.9,30.1,29.7,29.8,29.9
1997,29.1,29.2,29.6,29.5,29.7,29.9,30.1,30.1,30.1,30.3,30.2,30.3,29.8
1996,30.7,30.8,30.8,30.8,30.7,30.8,31.2,30.9,30.7,30.2,30.3,30.2,30.7
1995,32.0,32.1,32.0,31.4,31.3,31.5,31.5,31.5,31.4,31.0,30.9,31.2,31.5
1994,34.3,34.7,34.7,34.4,34.3,34.5,33.9,33.8,33.4,32.6,32.4,32.7,33.8
1993,33.7,34.2,34.0,33.9,34.0,34.3,34.0,34.0,33.8,33.9,34.1,34.3,34.0
1992,34.0,34.0,34.2,33.7,33.6,33.7,33.5,33.3,32.8,32.8,32.7,32.7,33.4
1991,34.8,34.8,35.3,34.5,34.5,34.6,34.4,34.2,34.2,33.8,34.0,34.4,34.5
Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.,Credit Intermediation and Related Activities - Data in thousands.
1990,36.3,36.4,36.4,36.6,36.7,37.0,36.6,36.8,36.3,36.0,36.1,36.0,36.4
