Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,14.5,13.8,13.8,,,,,,,,,,
2020,17.6,16.1,15.8,10.0,9.8,11.7,14.1,13.9,14.0,14.7,16.2,16.7,14.2
2019,18.8,16.8,16.5,16.6,16.6,16.6,16.5,16.5,16.2,17.1,19.6,20.1,17.3
2018,19.3,18.1,17.5,17.2,17.3,17.3,17.4,17.7,17.7,18.0,20.1,20.9,18.2
2017,19.6,18.2,17.8,17.6,17.8,18.0,18.1,18.1,17.9,18.8,20.5,21.2,18.6
2016,21.4,19.9,19.7,19.5,19.4,19.6,19.7,19.7,19.3,19.9,21.5,22.2,20.2
2015,21.9,20.4,20.1,20.2,20.2,20.6,20.4,20.4,20.4,21.3,23.0,24.1,21.1
2014,21.7,20.5,20.7,20.8,20.7,21.1,21.3,21.3,21.1,21.8,23.6,25.0,21.6
2013,21.0,20.0,20.0,20.1,20.2,20.9,20.8,21.1,21.0,22.0,23.6,25.3,21.3
2012,21.5,19.9,19.6,19.3,19.6,19.9,19.6,19.7,19.8,20.8,22.9,24.4,20.6
2011,20.7,19.8,19.7,20.0,20.0,20.5,20.4,20.4,20.1,20.9,23.1,24.6,20.9
2010,19.3,18.4,18.3,18.5,18.8,19.3,19.3,19.7,19.8,20.6,22.2,23.7,19.8
2009,18.8,17.7,17.6,17.5,17.8,18.0,17.7,17.7,17.8,18.5,20.8,22.3,18.5
2008,19.6,18.0,18.0,17.9,17.9,18.2,18.1,17.9,17.6,18.3,20.1,22.2,18.7
2007,19.4,17.9,17.8,17.9,18.1,18.3,18.1,17.8,17.7,18.5,20.6,22.6,18.7
2006,18.7,17.5,17.6,17.5,17.6,18.0,17.9,17.9,18.0,19.2,20.8,22.5,18.6
2005,18.6,17.6,17.5,17.3,17.3,17.5,17.7,18.0,17.8,18.1,19.9,21.7,18.3
2004,17.2,16.5,16.5,16.4,16.5,16.7,16.6,16.9,16.7,17.5,19.5,21.4,17.4
2003,17.5,16.8,16.5,16.7,16.5,16.9,16.5,16.4,16.7,18.0,19.3,20.7,17.4
2002,17.0,16.0,16.0,16.2,16.4,16.7,16.4,16.1,16.0,16.8,18.6,20.7,16.9
2001,18.7,17.0,16.9,16.9,17.1,17.2,16.9,15.9,15.8,16.3,18.0,19.6,17.2
2000,18.5,17.7,17.9,17.9,17.5,17.6,17.8,17.6,17.3,18.1,19.9,21.4,18.3
1999,19.0,17.4,17.2,17.0,15.6,16.1,16.4,16.7,16.6,17.4,19.3,20.3,17.4
1998,19.4,18.3,18.0,17.1,17.4,17.4,17.1,17.2,17.6,18.8,20.3,21.5,18.3
1997,20.1,17.7,18.2,17.4,17.4,17.6,17.1,17.0,17.4,18.6,20.1,21.6,18.4
1996,20.2,17.7,17.4,17.2,17.4,17.6,17.4,17.2,17.4,17.8,19.9,21.3,18.2
1995,20.6,18.9,18.5,18.4,18.7,18.4,18.2,18.3,18.6,18.7,20.4,21.6,19.1
1994,19.6,17.7,17.4,16.5,16.8,17.5,17.2,17.4,18.0,19.2,21.5,22.8,18.5
1993,19.1,17.5,17.0,17.0,17.1,17.2,17.9,17.9,18.5,18.3,19.6,21.4,18.2
1992,18.7,17.3,16.9,16.3,16.5,16.2,15.7,15.7,15.5,19.1,20.3,21.7,17.5
Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.,Department Stores - Data in thousands.
1991,17.7,16.7,16.3,16.1,16.5,16.6,16.9,17.0,17.2,17.8,19.3,20.4,17.4
1990,20.4,18.3,18.1,17.5,17.7,17.8,17.9,17.6,17.9,18.3,19.7,20.5,18.5
