Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,34.8,34.3,34.5,34.6,34.8,35.4,35.1,34.9,34.9,,,,
2020,37.9,37.9,37.9,30.2,32.2,34.8,35.0,35.1,35.1,35.1,35.2,35.1,35.1
2019,38.6,38.6,38.6,38.6,38.7,39.0,38.6,38.4,38.3,38.1,38.2,38.1,38.5
2018,38.7,38.8,38.8,38.6,38.5,38.9,38.8,38.6,38.7,38.8,38.9,38.9,38.8
2017,39.5,39.4,39.4,39.3,39.3,39.7,39.6,39.5,39.3,39.4,39.3,39.3,39.4
2016,40.1,40.1,40.3,40.2,40.2,40.4,40.3,40.3,40.1,40.2,40.1,40.1,40.2
2015,40.1,40.0,40.1,40.2,40.3,40.7,40.6,40.6,40.4,40.5,40.4,40.4,40.4
2014,41.3,41.0,41.0,41.1,41.1,41.3,41.0,41.0,40.8,40.7,40.7,40.6,41.0
2013,42.2,42.1,42.3,42.3,42.3,42.5,42.5,42.1,42.2,42.0,42.2,42.1,42.2
2012,42.9,42.8,43.0,43.2,43.3,43.5,43.1,43.3,43.1,43.1,43.0,42.9,43.1
2011,43.1,42.8,43.2,43.5,43.9,43.9,43.6,43.6,43.5,43.2,43.4,43.5,43.4
2010,43.5,43.3,43.5,43.9,43.7,43.9,43.8,43.7,43.6,43.8,44.0,44.1,43.7
2009,47.1,46.5,46.3,46.0,45.9,46.1,45.1,44.8,44.6,44.4,44.2,44.2,45.4
2008,50.1,49.9,50.0,50.0,50.3,50.5,49.9,49.6,49.4,49.0,48.6,48.0,49.6
2007,51.2,51.1,51.4,51.0,51.0,51.3,50.8,50.8,50.7,50.7,50.8,51.0,51.0
2006,52.0,51.9,52.1,52.2,52.4,52.8,52.2,52.3,52.4,52.4,52.5,52.4,52.3
2005,52.9,52.8,53.0,53.0,53.3,53.5,52.7,52.9,52.6,52.4,52.5,52.8,52.9
2004,52.2,52.4,53.0,52.7,53.1,53.8,53.1,53.5,53.8,53.8,53.9,54.0,53.3
2003,53.8,53.4,53.3,53.2,53.1,53.3,52.5,52.6,53.1,53.1,52.8,53.0,53.1
2002,57.3,57.1,57.1,56.5,56.3,56.3,55.3,55.4,55.7,55.4,55.3,54.9,56.1
2001,63.3,63.1,63.1,62.1,61.7,61.4,60.3,60.5,60.9,60.1,59.5,59.3,61.3
2000,64.7,64.9,65.0,65.0,65.1,65.8,65.2,65.8,66.1,66.1,66.3,66.4,65.5
1999,66.6,66.6,66.8,66.6,66.7,67.0,65.4,65.8,65.8,66.3,66.4,66.6,66.4
1998,66.3,66.5,67.0,67.1,67.2,67.8,66.6,66.7,66.9,67.2,67.4,67.4,67.0
1997,65.8,65.8,66.1,65.8,65.8,66.6,65.8,66.6,66.7,67.0,67.1,67.6,66.4
1996,64.4,64.9,65.4,64.7,65.6,66.5,65.9,66.2,66.6,66.8,66.6,67.4,65.9
1995,64.1,64.4,64.3,64.6,66.0,66.8,65.6,66.2,66.4,65.7,66.0,65.9,65.5
1994,67.8,66.5,66.7,66.6,67.0,67.5,65.8,65.7,65.8,66.2,67.0,65.8,66.5
1993,74.8,74.2,74.2,73.5,73.4,73.4,71.4,71.9,71.7,71.8,71.5,71.0,72.7
1992,80.2,79.3,78.7,78.8,78.2,78.3,77.4,77.2,76.9,76.9,76.4,76.2,77.9
1991,87.9,87.2,86.2,86.2,87.0,86.8,84.5,84.7,84.7,84.3,83.5,82.5,85.5
1990,103.3,102.8,102.2,100.1,99.9,100.2,98.3,97.6,96.9,96.0,94.0,93.4,98.7
