Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,256.5,262.1,264.6,264.0,263.1,260.9,258.8,260.7,263.6,267.5,270.3,269.4,
2020,279.3,283.6,283.7,235.8,238.9,244.4,247.6,251.4,256.3,261.7,265.7,264.0,259.4
2019,275.3,279.6,283.2,283.8,283.0,280.9,276.4,275.8,278.1,284.0,286.3,286.2,281.1
2018,264.3,269.6,272.2,273.4,273.8,271.5,269.8,267.8,269.9,279.3,281.4,283.0,273.0
2017,259.5,264.2,266.9,266.1,266.5,264.3,260.0,259.9,263.0,270.5,273.0,274.4,265.7
2016,251.5,255.9,259.7,262.7,262.0,258.6,256.5,255.9,258.8,265.4,266.9,268.0,260.2
2015,245.3,248.2,251.2,253.4,253.4,249.5,248.0,246.8,249.0,257.7,259.2,260.0,251.8
2014,239.9,243.3,245.6,246.0,245.8,242.4,239.6,239.7,242.0,249.8,251.4,252.0,244.8
2013,235.3,239.4,241.0,243.3,242.3,238.1,234.9,234.6,237.9,245.6,247.0,247.3,240.6
2012,233.9,237.7,239.4,239.5,240.2,236.1,233.3,232.3,236.9,241.5,239.9,241.4,237.7
2011,229.2,231.2,233.9,234.7,234.8,232.0,229.8,228.7,231.7,236.6,238.5,239.8,233.4
2010,223.1,225.8,228.1,229.8,229.0,225.8,224.1,223.6,225.3,231.8,233.9,235.0,227.9
2009,218.1,221.1,222.7,222.0,222.0,219.8,218.2,218.0,220.4,226.2,227.5,228.7,222.1
2008,212.3,215.6,217.0,217.5,217.3,214.4,213.1,213.5,216.6,221.3,222.3,223.5,217.0
2007,208.1,210.8,213.2,213.6,212.6,210.0,207.6,207.5,211.0,215.5,216.4,217.9,212.0
2006,201.8,204.9,208.0,207.2,207.3,204.5,203.4,203.5,207.0,212.1,213.1,214.9,207.3
2005,199.4,202.9,205.7,206.3,204.3,202.1,200.9,200.0,203.4,206.3,207.5,209.3,204.0
2004,196.9,199.7,202.1,201.3,201.5,199.9,198.3,198.2,200.4,205.8,206.8,207.7,201.6
2003,193.5,195.8,198.4,198.4,197.8,196.2,194.2,194.0,197.0,200.6,202.1,202.5,197.5
2002,185.3,188.4,191.0,191.7,191.7,188.8,189.2,189.4,191.6,197.6,198.0,198.9,191.8
2001,179.3,181.4,184.6,184.4,185.1,183.3,182.1,182.3,184.8,190.1,190.5,191.7,185.0
2000,177.7,180.7,182.6,184.0,184.0,180.6,181.3,180.8,183.9,185.8,186.5,188.3,183.0
1999,175.2,178.5,180.4,182.7,182.3,179.4,177.7,177.2,176.9,182.8,183.6,183.2,180.0
1998,171.1,173.1,175.8,176.0,176.4,174.0,173.0,173.0,173.2,179.6,180.8,180.5,175.5
1997,165.1,167.4,169.7,170.4,170.2,167.9,168.1,167.3,168.9,172.1,174.1,173.9,169.6
1996,161.9,165.3,167.3,166.4,167.5,166.3,165.5,165.8,166.0,170.5,171.8,172.2,167.2
1995,159.4,161.0,163.3,163.4,162.5,161.6,161.1,161.0,162.2,165.9,166.5,166.9,162.9
1994,152.4,153.0,155.6,156.4,157.7,156.5,154.5,155.5,157.5,159.4,161.3,162.4,156.9
1993,147.8,148.8,151.2,152.3,152.5,151.6,150.3,151.2,152.2,154.6,156.5,156.8,152.2
1992,142.7,144.0,146.3,147.7,147.4,146.1,145.6,145.5,146.2,149.0,151.0,151.7,146.9
1991,138.2,140.2,142.3,142.1,142.1,141.2,139.2,139.3,140.2,144.5,145.3,147.0,141.8
1990,134.0,135.2,137.2,137.0,137.9,136.7,137.0,137.5,138.0,140.0,142.1,143.6,138.0
