Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,33.9,35.9,36.8,,,,,,,,,,
2021,33.4,37.3,37.6,39.1,38.0,35.6,33.9,33.8,34.2,37.4,37.9,37.8,36.3
2020,38.6,42.2,43.0,34.1,33.3,30.5,29.1,29.9,32.2,37.5,37.9,37.5,35.5
2019,39.0,43.0,44.4,44.1,42.6,38.8,37.1,36.8,38.0,43.2,44.0,43.8,41.2
2018,38.4,42.9,44.1,44.6,43.3,39.4,37.9,37.7,38.3,44.8,45.5,45.6,41.9
2017,38.0,42.4,43.6,44.1,42.9,38.7,36.8,37.0,38.6,44.3,45.0,45.2,41.4
2016,38.7,42.9,44.6,45.6,44.1,39.4,37.2,37.7,38.3,44.1,44.6,44.5,41.8
2015,38.8,42.3,44.4,44.8,43.2,38.9,37.4,37.5,38.8,44.5,45.2,44.6,41.7
2014,38.2,42.3,43.7,44.1,42.6,38.5,36.9,36.9,38.6,43.8,44.4,44.0,41.2
2013,37.1,41.5,41.8,42.5,40.8,36.1,35.2,35.4,37.8,43.0,43.6,42.9,39.8
2012,36.6,40.1,41.3,41.1,40.3,35.8,34.9,35.1,38.1,41.4,41.6,41.2,39.0
2011,36.2,38.8,40.0,40.4,39.6,35.4,33.7,34.1,35.3,39.6,40.9,40.5,37.9
2010,35.6,38.6,39.9,40.5,39.0,35.1,33.6,33.6,34.6,39.2,40.3,39.8,37.5
2009,36.0,38.5,39.5,39.0,38.0,34.2,33.0,33.1,34.6,38.5,39.2,38.9,36.9
2008,34.5,37.7,38.6,38.2,37.4,33.4,32.7,33.2,35.6,39.2,39.3,39.5,36.6
2007,34.1,37.1,38.2,37.9,36.7,33.2,31.8,31.9,34.7,38.4,38.5,38.6,35.9
2006,33.8,36.4,38.4,38.1,37.2,33.0,32.1,32.5,34.7,38.1,38.1,38.5,35.9
2005,32.9,35.8,37.6,37.7,35.7,32.5,32.5,31.6,34.5,37.2,37.4,37.8,35.3
2004,32.7,35.0,35.9,34.9,34.6,31.7,31.1,30.7,32.4,36.4,36.5,36.4,34.0
2003,32.4,35.3,36.3,35.9,34.7,31.7,31.0,31.4,32.9,35.4,36.0,35.7,34.1
2002,29.9,32.5,34.1,33.4,32.5,29.3,29.0,29.3,31.0,34.9,35.0,34.8,32.1
2001,28.3,30.0,32.1,32.3,31.6,28.2,28.1,27.5,30.1,33.2,33.2,33.4,30.7
2000,28.0,30.2,31.5,32.0,31.3,26.9,26.9,26.2,29.2,31.4,31.3,32.0,29.7
1999,26.4,29.1,30.7,30.8,29.9,26.8,26.1,25.8,26.6,31.1,30.7,30.0,28.7
1998,26.2,28.6,29.9,29.5,29.3,26.2,25.2,25.4,26.2,31.0,30.9,30.2,28.2
1997,26.0,28.1,28.8,29.2,28.2,25.1,24.4,24.3,25.9,29.4,30.2,28.8,27.4
1996,24.6,27.1,28.2,27.9,27.3,25.3,24.4,24.9,25.3,28.5,28.8,28.8,26.8
1995,24.4,25.2,26.8,26.6,25.4,23.2,23.3,22.9,24.1,26.8,26.8,26.8,25.2
1994,23.1,23.5,24.7,24.5,25.1,23.0,21.2,22.0,23.6,25.1,26.5,26.7,24.1
1993,22.1,22.7,24.5,24.5,24.0,22.2,21.0,21.5,22.8,23.6,25.1,24.8,23.2
1992,21.7,22.5,24.1,24.4,23.5,21.1,20.2,20.2,21.1,22.9,24.2,24.3,22.5
1991,22.0,23.2,24.1,24.0,23.7,21.4,20.2,20.2,21.2,23.8,24.3,24.5,22.7
Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.,Educational Services - Data in thousands.
1990,21.6,22.2,23.3,23.4,23.3,20.9,20.6,21.2,21.5,23.2,24.2,24.2,22.5
