Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,16.0,,,,,,,,,,,,
2020,15.9,15.8,15.9,15.9,15.9,16.0,15.9,17.9,18.1,16.6,16.5,16.3,16.4
2019,15.8,15.8,15.7,15.7,15.7,15.7,15.6,15.7,15.9,15.8,16.0,16.0,15.8
2018,16.1,16.0,15.9,16.0,15.9,15.8,15.8,15.8,15.8,15.8,15.9,16.0,15.9
2017,16.7,16.6,16.6,16.5,16.5,16.5,16.5,16.3,16.2,15.9,15.9,16.0,16.4
2016,16.5,16.5,16.6,16.5,16.7,16.7,16.5,16.5,16.5,16.3,16.3,16.9,16.5
2015,16.7,16.6,16.5,16.6,16.4,16.4,16.3,16.3,16.2,15.9,16.2,16.9,16.4
2014,16.6,16.5,16.5,16.8,16.6,16.6,16.6,16.5,16.0,16.2,16.4,16.7,16.5
2013,16.8,16.8,16.8,17.0,16.8,16.8,16.7,16.6,16.5,16.3,16.6,16.8,16.7
2012,17.1,17.1,17.0,17.1,17.0,17.0,17.0,16.9,16.8,16.8,16.8,17.0,17.0
2011,17.8,17.7,17.6,17.6,17.5,17.4,17.3,17.1,17.1,16.7,17.0,17.4,17.4
2010,18.0,18.0,18.2,19.5,21.6,20.9,19.2,18.3,17.6,17.2,17.7,17.9,18.7
2009,18.2,18.0,18.0,18.1,18.9,18.2,18.1,17.8,17.8,18.1,17.8,17.7,18.1
2008,18.0,18.1,18.2,18.2,18.2,18.2,18.2,18.2,18.1,18.2,18.2,18.3,18.2
2007,18.6,18.4,18.4,18.3,18.4,18.3,18.3,18.3,18.2,18.1,18.2,18.4,18.3
2006,18.6,18.6,18.6,18.5,18.6,18.6,18.5,18.5,18.5,18.2,18.5,18.5,18.5
2005,18.9,18.9,19.0,19.0,19.0,19.0,19.0,19.0,18.8,18.8,18.7,18.8,18.9
2004,20.4,19.7,19.7,19.6,19.4,19.5,19.4,19.4,19.2,18.9,19.2,19.4,19.5
2003,20.8,21.0,21.7,21.6,21.4,20.7,20.7,20.5,20.1,20.3,19.8,19.9,20.7
2002,21.9,22.8,23.4,22.7,22.1,21.6,21.5,20.8,20.7,20.7,20.5,20.6,21.6
2001,20.8,21.6,21.9,22.5,21.9,21.7,21.4,21.2,21.2,20.9,20.9,21.4,21.5
2000,20.1,21.2,22.2,23.0,25.3,22.5,21.6,20.3,19.9,19.7,19.5,19.6,21.2
1999,20.2,21.1,21.3,21.7,21.3,21.0,20.8,20.6,20.2,19.9,19.7,20.0,20.7
1998,19.5,20.5,20.7,20.0,20.0,20.1,20.0,19.9,19.9,19.6,19.6,19.7,20.0
1997,20.1,20.7,20.9,21.3,20.6,20.5,20.0,19.6,19.6,19.1,19.2,19.2,20.1
1996,19.9,20.7,20.9,21.2,21.2,21.2,20.2,20.2,20.2,19.8,19.9,20.6,20.5
1995,19.6,20.4,20.5,20.9,20.7,20.8,20.2,20.2,20.0,19.6,19.6,19.7,20.2
1994,19.4,20.1,20.5,20.7,20.6,20.6,20.0,20.0,20.0,19.4,19.5,19.6,20.0
1993,19.4,20.3,20.6,20.7,20.8,20.8,19.8,19.9,19.3,19.1,19.0,19.4,19.9
1992,20.4,21.0,21.3,21.4,21.3,21.2,20.2,20.3,20.2,19.8,19.5,19.7,20.5
Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.,Federal Government - Data in thousands.
1991,20.3,21.2,21.3,21.6,21.5,21.2,21.1,20.6,20.5,20.5,20.5,20.6,20.9
1990,21.2,21.9,22.1,22.7,24.2,24.1,22.8,22.4,21.6,20.8,20.7,20.8,22.1
