Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,51.6,51.5,51.2,51.2,50.9,51.0,51.0,49.6,48.6,,,,
2020,51.8,52.1,51.7,50.4,50.5,50.4,50.4,50.4,50.3,51.0,51.4,51.5,51.0
2019,51.6,51.6,51.5,51.6,51.6,51.9,52.1,52.0,51.6,52.0,51.9,52.3,51.8
2018,52.5,52.6,52.5,52.6,52.5,52.7,52.7,52.5,52.0,52.1,52.3,52.2,52.4
2017,54.6,54.4,54.5,54.2,54.1,54.2,54.3,54.1,53.5,53.4,53.4,53.8,54.0
2016,54.5,54.5,54.5,54.4,54.4,54.6,54.7,54.6,54.2,54.4,55.0,55.5,54.6
2015,55.9,56.0,56.1,55.8,55.7,56.0,56.2,55.9,55.3,55.7,55.7,56.0,55.9
2014,55.6,55.6,55.7,55.7,55.7,56.1,56.2,56.2,55.8,56.2,56.6,57.0,56.0
2013,55.4,55.5,55.5,55.8,55.7,56.0,56.1,56.1,55.8,56.3,56.2,56.5,55.9
2012,55.1,55.2,55.4,55.5,55.7,55.8,55.7,55.7,55.6,56.0,56.0,56.7,55.7
2011,53.4,53.4,53.5,54.1,54.2,54.6,54.7,54.8,54.7,55.5,55.6,56.1,54.6
2010,53.8,53.5,53.7,54.0,54.0,54.1,54.1,54.0,53.7,53.9,54.2,54.5,54.0
2009,54.2,54.2,54.3,54.0,54.3,54.7,54.7,54.5,54.1,54.1,54.0,54.4,54.3
2008,59.2,59.4,59.4,58.6,58.2,58.2,57.7,57.1,56.4,55.9,55.6,55.6,57.6
2007,62.5,62.5,62.3,62.4,62.2,62.5,62.7,61.0,60.4,60.0,60.1,60.4,61.6
2006,61.9,61.8,61.9,61.8,61.9,62.3,63.0,62.8,62.2,62.6,62.8,63.0,62.3
2005,64.3,64.1,64.2,63.5,63.1,63.3,64.1,63.6,63.0,63.0,62.8,63.0,63.5
2004,65.3,65.6,65.9,65.4,65.4,65.7,65.8,65.5,64.9,64.9,65.1,65.1,65.4
2003,64.0,64.2,64.8,65.0,65.2,65.8,65.6,65.6,65.0,65.3,65.2,65.2,65.1
2002,64.3,64.3,64.6,65.0,64.8,64.8,64.6,64.6,63.9,64.5,64.7,65.2,64.6
2001,62.7,63.0,63.3,63.3,63.4,64.1,64.1,63.9,63.1,64.0,63.9,65.0,63.7
2000,66.4,66.4,66.3,65.9,65.8,65.8,65.2,65.2,64.6,64.6,64.3,64.8,65.4
1999,66.0,66.1,66.0,66.4,66.5,67.1,66.9,67.2,66.2,66.5,66.6,66.7,66.5
1998,64.3,64.3,64.2,65.0,65.1,65.4,65.2,65.3,64.3,65.3,65.0,65.3,64.9
1997,64.4,64.7,65.1,65.0,65.1,65.1,65.1,65.3,64.5,65.5,65.5,65.7,65.1
1996,65.2,65.4,66.2,65.6,65.8,66.1,66.1,65.8,65.6,65.0,65.5,65.6,65.7
1995,67.0,67.3,67.4,66.0,65.9,66.4,65.9,66.0,66.2,65.9,66.0,66.5,66.4
1994,67.6,68.0,68.1,68.1,68.3,68.7,67.9,67.9,67.4,66.4,66.5,67.2,67.7
1993,66.9,67.4,67.4,67.1,67.5,68.0,67.8,67.5,67.0,67.0,67.4,67.8,67.4
1992,69.7,69.7,70.0,69.4,69.1,69.4,69.2,68.9,68.2,67.8,67.9,68.2,69.0
1991,68.2,68.3,68.9,68.2,68.4,68.7,68.2,68.0,67.9,67.4,67.9,68.6,68.2
1990,72.3,72.5,72.6,70.5,70.6,71.1,70.5,70.8,70.1,69.7,69.8,69.9,70.9
