Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,69.9,70.2,,,,,,,,,,,
2021,68.3,68.7,69.0,69.3,69.6,70.3,70.8,70.5,69.9,69.8,69.9,70.9,69.8
2020,69.7,69.8,69.2,65.8,66.5,67.4,67.8,68.2,68.3,68.9,69.1,69.7,68.4
2019,69.1,69.0,69.1,69.4,69.8,70.5,70.8,70.6,69.9,70.4,70.1,70.6,69.9
2018,70.1,70.3,70.4,70.8,71.0,71.7,71.7,71.4,70.5,70.6,70.6,70.6,70.8
2017,72.0,71.8,72.1,72.3,72.6,73.3,73.5,73.2,72.4,72.1,71.9,72.5,72.5
2016,71.6,71.6,71.7,72.0,72.3,73.1,73.3,73.2,72.5,72.6,73.0,73.7,72.6
2015,72.4,72.6,72.9,72.8,73.3,74.2,74.6,74.2,73.3,73.5,73.3,73.8,73.4
2014,71.9,72.0,72.2,72.7,72.9,74.0,74.2,74.1,73.4,73.7,73.9,74.4,73.3
2013,71.1,71.2,71.4,72.1,72.4,73.3,73.5,73.5,72.9,73.3,73.1,73.6,72.6
2012,71.2,71.1,71.6,71.9,72.3,72.8,72.7,72.6,72.2,72.6,72.5,73.3,72.2
2011,69.2,69.1,69.4,70.4,70.6,71.5,71.8,71.7,71.3,71.9,72.0,72.5,71.0
2010,69.5,69.1,69.6,70.1,70.3,71.0,71.2,71.2,70.4,70.5,70.6,71.0,70.4
2009,70.5,70.3,70.4,70.2,70.8,71.7,71.8,71.6,70.9,70.6,70.3,70.7,70.8
2008,76.0,76.1,76.2,75.9,75.7,76.1,75.7,75.1,74.0,73.5,72.8,72.9,75.0
2007,79.7,79.6,79.5,79.7,79.7,80.5,80.9,79.1,78.1,77.7,77.6,77.9,79.2
2006,79.4,79.2,79.4,79.6,79.9,80.9,81.6,81.4,80.5,80.6,80.7,81.0,80.4
2005,81.5,81.2,81.6,81.3,81.1,81.8,82.7,82.2,81.3,81.4,81.1,81.4,81.6
2004,82.6,82.7,83.3,83.2,83.4,84.1,84.5,84.3,83.2,83.1,83.1,83.3,83.4
2003,80.7,80.9,81.7,82.2,82.7,83.8,84.0,84.0,83.0,83.2,83.0,83.2,82.7
2002,81.1,81.2,81.6,82.4,82.4,83.0,82.9,82.9,81.9,82.1,82.1,82.6,82.2
2001,80.8,81.2,81.5,81.3,81.7,82.7,82.8,82.6,81.4,81.9,81.6,82.9,81.9
2000,84.1,83.8,83.9,83.8,84.0,84.8,84.2,84.2,83.3,83.7,83.4,84.4,84.0
1999,83.7,83.9,84.0,84.9,85.2,86.4,86.6,86.6,85.3,85.6,85.7,86.0,85.3
1998,79.4,79.3,79.6,81.1,81.8,82.5,82.6,82.6,81.3,82.3,81.9,82.4,81.4
1997,79.1,79.5,80.1,80.1,80.7,81.3,81.5,81.8,80.5,81.6,81.4,81.9,80.8
1996,78.9,79.4,80.2,79.9,80.5,81.3,81.6,81.4,80.6,80.0,80.3,80.8,80.4
1995,80.7,81.1,81.2,80.3,80.5,81.5,81.1,81.2,81.2,80.2,80.2,81.2,80.9
1994,81.6,82.0,82.1,82.4,83.0,84.0,83.2,83.3,82.6,81.5,81.2,82.0,82.4
1993,80.5,81.1,81.4,81.3,82.1,83.1,82.9,82.6,82.0,81.8,82.0,82.6,82.0
1992,82.0,81.8,81.9,81.3,81.2,82.1,82.0,81.4,80.6,80.2,80.1,80.6,81.3
1991,83.0,83.1,83.8,83.5,83.6,84.3,83.8,83.6,83.2,82.2,82.6,83.4,83.3
Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.,Financial Activities - Data in thousands.
1990,87.2,87.1,87.6,87.4,87.5,88.3,87.6,87.9,86.9,86.2,86.2,86.5,87.2
