Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,35.0,34.4,34.5,34.4,34.1,34.5,34.8,,,,,,
2020,35.1,34.9,34.8,30.3,32.9,34.3,34.7,34.3,34.3,34.6,35.5,35.9,34.3
2019,35.4,35.3,35.7,35.8,36.1,37.1,37.0,36.7,35.9,35.6,35.7,35.6,36.0
2018,35.7,35.4,35.4,35.5,36.0,36.9,37.0,36.7,35.7,35.7,35.7,35.6,35.9
2017,36.1,35.7,35.8,35.5,36.3,37.3,37.3,37.3,36.5,36.2,36.4,36.7,36.4
2016,34.8,35.1,35.6,35.7,36.3,37.4,37.4,37.4,36.5,36.0,36.1,36.3,36.2
2015,36.8,36.6,36.8,36.6,37.3,38.4,38.4,38.2,37.5,37.0,36.7,34.5,37.1
2014,36.2,36.1,36.5,36.5,37.1,38.2,38.1,38.2,37.5,37.1,37.2,37.6,37.2
2013,35.0,34.8,35.3,35.5,35.9,37.0,37.3,37.2,36.7,36.3,36.6,36.8,36.2
2012,34.6,34.3,34.5,34.8,35.5,36.6,36.5,36.4,36.2,35.7,35.4,35.8,35.5
2011,33.9,33.9,34.0,34.5,34.9,35.9,35.9,36.0,35.3,35.1,35.2,35.4,35.0
2010,33.9,33.7,34.2,34.4,34.8,35.7,35.9,35.7,34.9,34.6,34.6,34.8,34.8
2009,34.7,34.5,34.5,34.5,35.0,35.7,35.5,35.4,35.2,34.6,34.6,34.7,34.9
2008,34.3,34.4,34.8,34.1,34.8,35.4,35.4,35.4,35.2,34.8,35.2,35.4,34.9
2007,34.0,34.0,34.0,33.9,34.6,35.4,35.2,34.9,34.6,34.1,34.5,34.8,34.5
2006,34.6,34.1,34.4,34.5,34.4,35.1,34.9,34.6,34.1,34.2,34.4,34.4,34.5
2005,33.1,33.4,33.6,34.1,34.4,35.5,35.5,35.3,35.2,35.6,35.6,35.6,34.7
2004,30.6,31.2,31.8,31.5,32.3,32.9,32.8,33.2,33.3,33.6,33.8,33.9,32.6
2003,30.0,30.0,30.6,30.7,31.3,32.3,32.0,31.9,31.7,32.2,32.4,32.7,31.5
2002,29.3,29.3,29.7,29.4,29.5,30.2,30.3,30.3,30.2,29.6,29.6,29.7,29.8
2001,30.7,30.4,30.6,31.1,30.9,31.3,31.3,31.2,30.8,30.6,30.7,30.8,30.9
2000,30.0,29.8,29.9,30.0,30.3,31.0,31.2,31.3,31.1,31.6,31.9,32.3,30.9
1999,30.5,30.0,30.4,30.2,30.6,31.1,30.9,31.1,30.4,30.1,30.4,30.7,30.5
1998,29.5,29.3,29.5,29.0,29.6,30.2,29.7,29.6,29.7,30.2,30.2,30.2,29.7
1997,29.0,28.7,29.0,28.8,29.5,30.5,31.0,31.5,31.3,31.0,30.5,30.4,30.1
1996,27.6,27.7,28.3,28.5,29.2,30.2,29.7,30.1,29.8,29.4,29.9,30.0,29.2
1995,29.4,29.2,29.4,28.8,29.1,30.2,29.9,30.3,30.3,29.1,29.7,30.1,29.6
1994,28.7,28.7,29.0,29.2,29.3,30.5,30.3,30.1,29.9,29.4,29.8,30.5,29.6
1993,28.1,28.0,28.1,27.6,28.4,29.4,29.2,29.9,29.6,29.8,29.2,29.4,28.9
1992,29.0,28.8,29.0,28.9,29.1,29.9,29.5,29.5,29.3,28.6,29.4,29.1,29.2
Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.,Food and Beverage Stores - Data in thousands.
1991,30.2,30.0,30.1,29.8,30.4,31.7,31.0,31.4,31.4,30.3,31.0,30.7,30.7
1990,29.8,29.6,29.7,29.6,30.0,30.8,31.7,31.4,31.1,30.8,30.8,30.3,30.5
