Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,73.9,75.4,77.3,,,,,,,,,,
2020,94.2,94.1,89.6,41.0,55.4,65.1,77.9,82.8,83.7,82.5,82.0,76.9,77.1
2019,93.4,93.0,94.3,96.4,99.4,105.3,105.3,103.9,99.9,98.5,97.3,97.6,98.7
2018,92.4,92.7,93.5,96.4,100.5,105.9,105.0,104.2,99.9,98.3,97.2,97.1,98.6
2017,89.8,89.8,91.4,93.8,99.5,104.6,104.0,103.5,100.4,97.9,97.2,96.5,97.4
2016,86.9,87.1,89.1,92.2,95.8,99.7,99.8,99.5,96.9,94.6,93.9,93.7,94.1
2015,84.8,85.3,86.9,88.9,94.2,98.1,96.9,97.3,95.8,93.5,92.2,92.4,92.2
2014,84.1,84.2,85.7,87.7,92.2,96.1,95.0,94.4,92.4,90.8,89.9,89.1,90.1
2013,79.6,80.0,81.8,84.7,89.0,94.0,93.3,92.6,90.8,89.8,88.3,87.7,87.6
2012,76.2,77.5,78.7,79.8,84.2,88.9,89.1,89.5,87.6,84.9,82.0,83.2,83.5
2011,70.8,71.2,72.8,76.8,80.0,84.0,84.0,83.7,81.9,80.6,79.7,79.6,78.8
2010,68.6,68.9,70.4,72.8,75.8,79.2,78.5,78.8,77.6,76.1,75.3,75.0,74.8
2009,66.5,67.0,68.2,68.8,73.4,76.7,76.1,76.0,75.6,73.5,72.7,72.2,72.2
2008,67.4,68.3,69.1,71.0,74.0,77.2,76.0,75.1,73.8,72.4,71.4,71.0,72.2
2007,67.1,67.7,68.3,70.8,73.8,76.8,76.3,76.1,74.3,73.1,72.5,72.6,72.5
2006,65.4,65.4,67.1,67.2,71.6,75.2,74.7,74.0,72.6,71.2,71.5,71.2,70.6
2005,64.6,65.1,65.9,68.7,70.9,74.2,73.4,73.3,72.0,69.9,69.4,68.9,69.7
2004,64.3,64.7,65.9,67.3,70.5,74.7,74.8,74.0,71.5,70.7,69.3,69.4,69.8
2003,61.7,62.1,63.3,64.7,68.5,71.8,72.0,71.5,70.2,68.7,68.3,68.3,67.6
2002,60.4,60.9,62.0,63.2,66.2,68.9,67.7,67.9,67.1,65.8,65.4,65.2,65.1
2001,60.2,60.4,61.5,61.1,65.1,68.2,67.3,67.5,65.2,65.5,65.5,65.0,64.4
2000,55.4,56.2,57.3,59.8,62.0,65.5,65.5,65.7,64.5,62.8,62.3,62.5,61.6
1999,55.5,56.4,57.3,57.9,60.7,63.6,62.4,62.8,60.8,59.5,59.3,59.5,59.6
1998,52.7,53.2,54.9,54.7,58.7,61.5,60.0,59.7,59.1,57.0,57.1,57.3,57.2
1997,51.4,51.7,53.3,53.8,56.4,59.8,58.8,59.3,58.7,56.7,56.8,56.8,56.1
1996,50.3,50.6,52.1,52.7,56.7,60.3,57.4,57.9,56.5,55.3,54.7,55.1,55.0
1995,50.9,51.1,52.8,53.5,56.6,60.4,59.4,59.5,58.9,56.0,54.8,54.9,55.7
1994,49.5,48.7,51.2,53.3,55.7,59.8,58.3,59.1,57.9,55.5,54.3,54.0,54.8
1993,48.4,48.6,48.7,51.3,55.0,58.0,57.2,57.7,56.8,54.6,53.8,54.1,53.7
1992,48.9,49.1,49.9,51.9,54.4,57.6,56.8,57.0,56.2,53.5,52.6,51.9,53.3
Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.,Food Services and Drinking Places - Data in thousands.
1991,49.1,49.8,51.4,51.6,54.4,57.5,56.4,57.1,55.6,53.8,53.0,52.7,53.5
1990,50.4,50.8,52.3,53.1,56.9,60.4,58.7,58.8,58.1,55.2,54.5,54.1,55.3
