Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,24.2,23.0,22.7,,,,,,,,,,
2021,23.4,21.9,21.6,21.1,21.3,21.7,21.9,22.4,22.2,23.4,25.6,26.7,22.8
2020,25.3,23.5,23.3,16.9,17.1,19.5,21.7,21.7,21.8,22.8,25.0,25.6,22.0
2019,26.6,24.3,24.0,24.1,24.1,24.3,24.2,24.2,23.8,24.6,27.6,28.3,25.0
2018,27.2,25.8,25.2,25.0,25.1,25.2,25.4,25.6,25.6,25.9,28.5,29.2,26.1
2017,27.2,25.5,25.2,25.2,25.4,25.6,25.8,25.9,25.6,26.7,28.8,29.8,26.4
2016,27.6,26.0,25.6,25.5,25.6,26.1,26.4,26.5,26.1,27.0,29.1,30.3,26.8
2015,28.1,26.3,26.1,26.1,26.2,26.8,26.6,26.6,26.5,27.5,29.6,30.8,27.3
2014,27.5,26.1,26.3,26.5,26.5,27.1,27.3,27.4,27.1,27.9,30.0,31.7,27.6
2013,26.6,25.4,25.4,25.6,25.7,26.6,26.6,26.8,26.7,27.8,30.0,31.9,27.1
2012,27.4,25.6,25.4,24.9,25.2,25.7,25.3,25.3,25.4,26.6,28.9,30.8,26.4
2011,26.4,25.1,25.0,25.4,25.5,26.1,26.0,26.0,25.7,26.5,29.1,30.9,26.5
2010,24.6,23.5,23.4,23.7,24.0,24.7,24.9,25.2,25.3,26.1,28.1,29.8,25.3
2009,24.1,22.7,22.6,22.6,23.1,23.4,23.1,23.0,23.1,23.9,26.7,28.3,23.9
2008,24.4,22.7,22.8,22.7,22.7,23.3,23.3,23.0,22.7,23.4,25.6,27.8,23.7
2007,24.2,22.7,22.8,22.9,23.0,23.3,23.2,22.8,22.7,23.5,25.7,27.9,23.7
2006,22.9,21.5,21.6,21.6,21.6,22.2,22.3,22.1,22.1,23.5,25.3,27.5,22.9
2005,24.5,23.3,22.8,22.4,22.3,22.3,22.4,22.4,22.1,22.5,24.2,26.3,23.1
2004,25.2,24.3,24.0,23.7,23.6,23.9,23.8,23.8,23.2,24.0,26.1,28.0,24.5
2003,25.4,24.5,24.5,24.7,24.6,25.3,24.9,24.7,24.9,26.3,27.8,29.4,25.6
2002,25.1,24.0,23.9,23.9,24.1,24.8,24.6,24.2,24.0,24.8,26.7,29.1,24.9
2001,25.4,23.6,23.6,23.5,23.7,24.2,24.0,23.0,22.9,23.8,26.0,28.2,24.3
2000,25.1,24.1,24.3,24.1,23.8,24.1,24.5,24.1,23.8,24.4,26.5,28.4,24.8
1999,24.8,23.1,22.9,22.7,21.2,21.8,22.2,22.5,22.4,23.6,25.8,27.1,23.3
1998,25.3,24.3,24.0,22.9,23.3,23.4,22.7,22.9,23.1,24.6,26.3,27.6,24.2
1997,26.2,23.8,24.4,23.2,23.4,23.7,22.9,22.7,22.9,24.5,26.1,28.1,24.3
1996,26.2,23.4,23.0,23.6,23.9,24.1,23.7,24.0,24.9,23.5,26.0,27.9,24.5
1995,27.0,24.9,24.2,24.6,24.9,24.7,24.3,24.4,24.7,24.8,26.8,28.4,25.3
1994,25.9,23.7,23.5,22.3,22.7,23.6,23.2,23.4,23.9,25.4,27.8,29.4,24.6
1993,25.6,23.7,23.1,22.9,23.1,23.3,24.2,24.2,24.7,24.6,26.1,28.2,24.5
1992,25.0,23.5,23.0,22.6,22.8,22.7,22.1,22.1,22.0,25.7,27.2,28.7,24.0
1991,24.7,23.3,22.9,22.7,23.1,23.3,23.6,23.6,23.7,24.3,26.0,27.5,24.1
General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.,General Merchandise Stores - Data in thousands.
1990,24.2,21.8,21.5,20.8,21.2,21.3,21.3,21.1,21.4,21.9,23.8,25.2,22.1
