Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,137.3,,,,,,,,,,,,
2020,148.8,148.8,148.8,107.3,124.5,137.8,142.1,144.9,144.3,145.2,144.7,142.6,140.0
2019,150.4,151.0,152.3,155.0,156.1,157.6,158.2,157.8,156.7,156.4,155.7,153.1,155.0
2018,146.5,148.6,150.1,154.1,156.0,157.0,157.1,157.2,156.4,158.1,157.5,156.4,154.6
2017,145.6,145.5,147.7,151.7,154.2,155.9,157.1,157.2,155.9,155.8,155.5,154.2,153.0
2016,142.9,141.5,145.3,148.6,150.2,151.3,153.3,153.8,153.0,153.4,153.0,151.0,149.8
2015,137.1,135.8,138.1,144.4,147.1,148.8,149.6,150.0,148.8,150.2,149.7,148.3,145.7
2014,135.0,133.4,136.8,141.9,144.4,146.4,147.5,147.5,146.9,147.7,147.8,145.8,143.4
2013,134.7,133.4,136.4,140.8,142.3,143.6,144.4,144.9,144.2,144.7,144.6,142.4,141.4
2012,130.7,130.3,133.0,135.3,136.3,138.0,138.7,139.0,138.9,139.7,139.2,140.0,136.6
2011,125.1,125.2,128.1,133.3,135.1,136.6,137.5,138.0,137.8,137.6,137.5,136.7,134.0
2010,128.2,127.1,130.0,134.8,135.9,137.3,137.4,137.6,137.0,136.3,135.6,133.5,134.2
2009,140.1,138.8,139.5,141.2,142.3,142.6,141.9,141.3,140.4,139.4,138.0,136.5,140.2
2008,150.5,149.7,152.1,155.7,157.1,158.0,157.3,158.0,156.9,155.8,153.4,150.0,154.5
2007,150.1,148.7,151.2,154.2,156.5,158.2,158.3,159.0,158.6,159.3,158.9,157.9,155.9
2006,148.6,148.6,150.9,154.2,156.7,159.2,157.4,158.4,158.7,159.3,159.2,158.2,155.8
2005,147.6,146.5,148.9,153.2,155.2,157.3,155.5,156.5,156.4,155.0,156.2,155.9,153.7
2004,146.0,145.7,149.9,152.5,154.9,157.3,156.8,158.5,158.9,159.2,159.0,158.2,154.7
2003,147.8,146.6,148.5,151.3,153.3,154.3,154.1,154.6,155.6,156.6,156.2,155.3,152.9
2002,151.6,151.6,153.3,155.6,156.8,157.9,157.8,159.3,159.0,159.2,158.8,156.8,156.5
2001,157.7,157.9,159.3,161.4,163.2,164.3,162.4,163.1,162.8,162.1,161.4,160.2,161.3
2000,159.1,159.0,162.4,165.4,167.4,169.5,168.2,169.6,171.2,171.5,171.9,171.2,167.2
1999,156.5,157.0,158.6,163.0,165.1,166.7,164.2,165.7,166.1,168.0,168.4,169.2,164.0
1998,148.4,149.4,152.1,155.4,157.4,160.0,158.0,159.3,159.8,160.8,161.5,160.7,156.9
1997,144.6,144.3,147.2,149.5,151.0,153.2,152.4,154.2,155.1,155.6,156.0,155.6,151.6
1996,136.9,139.2,142.1,144.2,147.1,149.6,149.3,151.1,152.6,153.2,152.9,152.2,147.5
1995,138.7,139.3,141.7,144.2,146.7,149.1,146.6,148.2,148.9,148.2,148.3,146.8,145.6
1994,137.7,136.1,138.8,143.7,146.4,148.4,147.1,148.2,149.2,149.5,150.2,148.0,145.3
1993,145.4,145.3,146.4,149.1,150.9,152.3,149.5,151.0,151.5,152.6,151.9,149.9,149.7
1992,151.7,150.3,151.0,153.3,153.8,154.9,153.3,154.1,154.1,154.7,153.7,152.6,153.1
1991,167.1,166.3,166.5,169.2,170.9,171.2,167.1,167.6,167.7,166.6,165.1,162.5,167.3
1990,195.8,195.0,196.6,195.4,196.5,197.8,193.8,193.6,192.5,189.3,186.5,183.7,193.0
