Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,189.6,190.4,192.8,194.0,195.4,197.5,185.6,181.8,187.8,195.3,,,
2020,195.5,199.1,198.8,190.7,189.0,190.5,175.2,175.2,189.9,194.4,195.5,195.4,190.8
2019,195.6,199.2,199.4,199.9,200.9,201.6,190.8,187.6,194.3,199.5,201.7,200.4,197.6
2018,194.0,198.9,198.7,199.8,200.6,203.2,192.2,188.1,194.6,200.1,201.0,201.5,197.7
2017,195.7,198.9,199.2,199.4,199.5,202.4,191.4,187.9,194.5,199.9,200.5,199.8,197.4
2016,194.1,197.6,198.6,200.3,200.9,203.4,191.8,188.1,194.5,199.6,200.2,201.1,197.5
2015,191.9,196.3,197.3,198.3,200.7,203.2,191.1,187.0,192.8,198.0,200.0,201.4,196.5
2014,192.6,197.7,198.0,198.8,198.8,199.5,187.5,183.0,188.6,197.0,198.9,199.4,195.0
2013,196.7,200.8,201.6,202.2,202.2,203.4,190.0,184.2,188.7,198.6,199.9,201.0,197.4
2012,202.0,206.0,206.7,205.7,205.5,207.4,194.7,187.6,193.0,201.3,199.8,204.2,201.2
2011,208.4,210.6,211.2,211.7,210.1,214.0,199.9,195.6,199.3,207.0,208.2,207.6,207.0
2010,209.8,212.2,213.5,216.0,218.2,216.0,199.0,193.2,202.4,215.5,217.9,216.6,210.9
2009,205.6,208.5,209.3,212.6,215.2,213.9,202.0,195.6,199.7,211.9,212.7,214.3,208.4
2008,202.8,205.1,205.8,208.0,209.0,210.5,200.5,192.3,197.6,207.9,208.9,210.4,204.9
2007,203.6,205.8,206.2,206.6,208.2,209.2,192.1,188.7,197.3,207.1,208.3,210.4,203.6
2006,199.8,202.4,203.1,203.7,205.1,205.3,189.6,184.7,193.6,203.6,205.1,206.6,200.2
2005,199.7,201.8,202.8,203.8,203.9,205.3,190.7,186.1,193.7,203.3,204.4,205.5,200.1
2004,197.0,201.8,202.9,201.2,202.8,203.1,188.1,183.6,191.9,200.7,202.0,203.4,198.2
2003,198.6,203.2,205.2,204.2,204.4,204.4,189.9,185.0,194.7,203.2,204.3,204.6,200.1
2002,197.4,201.5,202.7,202.2,202.7,201.6,185.7,180.6,192.1,199.4,201.1,202.2,197.4
2001,191.6,196.0,197.0,197.4,198.7,199.9,185.6,183.0,190.2,198.6,200.8,202.8,195.1
2000,188.0,191.7,194.0,197.5,198.6,196.0,179.6,174.3,187.4,194.5,195.9,195.8,191.1
1999,184.4,188.5,190.1,190.9,191.7,190.3,176.7,171.3,181.2,189.9,191.9,191.8,186.6
1998,177.8,185.9,187.6,185.5,186.7,186.7,173.4,168.3,177.7,186.2,188.2,189.9,182.8
1997,175.8,180.5,182.3,184.5,184.2,184.7,169.8,164.9,173.4,182.3,184.8,184.9,179.3
1996,177.8,182.6,183.7,185.1,185.7,185.5,166.4,164.2,173.0,182.8,183.9,183.6,179.5
1995,178.8,182.0,183.8,185.7,184.5,184.9,170.2,166.8,174.1,181.8,184.9,183.4,180.1
1994,175.7,179.3,181.8,182.5,183.7,184.0,169.0,165.1,173.3,181.7,183.9,182.8,178.6
1993,172.4,174.9,178.0,178.6,179.1,179.2,165.0,161.9,169.2,177.9,180.8,180.4,174.8
1992,175.2,177.5,178.8,179.0,178.0,178.6,163.2,158.6,168.0,175.1,177.4,177.0,173.9
1991,183.5,185.9,186.3,187.0,187.2,186.8,170.8,164.6,170.6,179.5,181.2,180.8,180.4
1990,184.6,188.1,189.2,190.5,191.1,192.4,175.3,170.1,176.3,186.3,188.3,187.6,185.0
