Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,29.2,29.0,29.1,28.5,28.5,28.5,28.4,28.1,27.7,27.7,,,
2020,29.8,29.7,29.6,26.0,27.9,28.9,29.0,28.6,28.6,29.0,29.4,29.7,28.9
2019,30.0,29.9,30.3,30.4,30.4,31.2,31.1,30.8,30.2,29.9,30.2,30.0,30.4
2018,30.1,29.9,29.8,29.8,30.1,30.7,30.8,30.5,29.8,29.9,30.0,30.0,30.1
2017,30.4,30.1,30.1,29.6,30.1,30.9,30.8,30.8,30.3,30.1,30.4,30.8,30.4
2016,29.2,29.6,29.9,29.9,30.3,31.1,30.9,30.9,30.2,29.8,30.1,30.2,30.2
2015,31.3,31.2,31.4,30.9,31.3,32.2,32.1,32.0,31.4,31.0,30.9,28.6,31.2
2014,30.4,30.4,30.6,30.5,30.9,31.9,31.8,31.9,31.5,31.2,31.4,31.6,31.2
2013,29.8,29.6,30.0,30.0,30.2,31.0,31.0,31.0,30.7,30.4,30.6,30.7,30.4
2012,29.6,29.3,29.4,29.4,30.0,30.7,30.6,30.5,30.4,30.1,29.9,30.2,30.0
2011,28.7,28.6,28.7,29.1,29.3,30.0,30.0,30.2,29.8,29.6,29.8,29.9,29.5
2010,28.7,28.7,29.0,29.0,29.3,29.9,30.1,29.9,29.3,29.0,29.1,29.2,29.3
2009,29.4,29.3,29.3,29.1,29.5,30.0,29.7,29.6,29.5,29.2,29.2,29.2,29.4
2008,29.0,29.1,29.5,28.7,29.3,29.7,29.6,29.7,29.6,29.3,29.5,29.7,29.4
2007,28.5,28.5,28.5,28.2,28.9,29.5,29.3,29.2,29.0,28.6,28.9,29.0,28.8
2006,29.3,29.0,29.1,28.9,28.9,29.4,29.2,28.9,28.6,28.5,28.7,28.6,28.9
2005,27.6,27.7,27.9,28.3,28.5,29.4,29.5,29.4,29.4,29.8,29.8,29.8,28.9
2004,25.1,25.7,26.3,25.9,26.6,27.0,26.7,27.1,27.2,27.7,27.9,28.0,26.8
2003,23.9,24.1,24.5,24.6,25.2,26.0,25.7,25.7,25.7,26.4,26.6,26.8,25.4
2002,23.2,23.3,23.6,23.2,23.3,23.7,23.7,23.7,23.8,23.3,23.1,23.2,23.4
2001,25.0,24.8,24.9,25.2,25.0,25.2,25.0,24.9,24.7,24.5,24.6,24.5,24.9
2000,24.4,24.2,24.2,24.1,24.2,24.6,24.9,25.1,25.0,25.5,25.8,26.1,24.8
1999,25.2,24.8,25.1,24.8,24.9,25.2,25.0,25.2,24.7,24.4,24.8,24.9,24.9
1998,24.8,24.6,24.6,23.9,24.5,25.0,24.1,24.2,24.3,25.1,25.1,25.0,24.6
1997,24.5,24.1,24.4,24.1,24.6,25.5,25.8,26.1,26.2,26.0,25.7,25.3,25.2
1996,23.1,23.3,23.8,23.8,24.4,25.1,24.5,24.9,24.9,24.6,25.1,25.0,24.4
1995,24.7,24.5,24.6,24.0,24.2,25.0,24.7,25.1,25.3,24.3,24.9,25.3,24.7
1994,24.1,24.2,24.3,24.3,24.3,25.4,25.0,24.9,24.9,24.4,24.8,25.4,24.7
1993,23.3,23.2,23.3,22.7,23.4,24.2,23.8,24.4,24.3,24.7,24.3,24.4,23.8
1992,24.2,24.0,24.1,23.8,24.0,24.5,24.0,24.0,23.9,23.4,24.2,23.9,24.0
1991,25.2,25.0,25.0,24.6,25.0,26.1,25.3,25.7,25.9,24.9,25.7,25.4,25.3
1990,24.5,24.3,24.3,24.1,24.3,24.9,25.6,25.5,25.3,25.3,25.3,24.9,24.9
