Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,70.3,70.4,,,,,,,,,,,
2021,71.6,71.5,71.7,71.9,71.7,71.8,72.2,71.9,71.7,70.9,71.3,70.8,71.6
2020,70.6,70.4,70.8,68.9,69.6,70.2,70.8,70.8,70.7,71.6,71.5,71.9,70.7
2019,69.2,69.2,69.6,69.6,70.2,70.7,71.1,71.3,71.0,70.5,70.6,70.8,70.3
2018,66.9,67.0,67.4,67.3,67.6,68.2,68.5,68.6,68.3,68.8,68.9,69.2,68.1
2017,64.0,64.1,64.7,64.6,65.0,66.0,66.0,66.0,66.1,66.3,66.6,66.8,65.5
2016,60.2,60.2,60.9,61.1,61.3,61.9,62.8,62.9,63.5,63.2,63.3,64.0,62.1
2015,56.8,56.5,56.8,57.6,57.6,57.9,59.8,59.2,58.8,59.6,59.6,60.0,58.4
2014,55.8,55.4,55.3,55.1,55.3,55.5,56.0,55.9,55.7,55.9,55.9,56.1,55.7
2013,56.0,55.6,56.0,56.0,55.9,55.9,56.0,55.9,55.6,55.7,55.5,55.6,55.8
2012,55.6,55.6,55.8,56.2,56.6,56.6,57.0,57.0,56.8,56.8,56.4,56.2,56.4
2011,53.2,52.9,53.5,53.6,53.9,54.8,55.2,55.1,55.2,55.1,55.3,55.8,54.5
2010,51.3,51.3,51.4,51.9,51.9,52.2,52.9,52.6,52.6,52.6,52.7,53.2,52.2
2009,49.5,49.5,49.7,49.8,49.9,50.3,50.9,51.0,50.5,51.0,51.0,51.3,50.4
2008,48.1,48.0,48.2,48.2,48.4,48.9,49.2,49.2,49.0,49.1,49.1,49.3,48.7
2007,45.9,45.7,46.2,46.8,46.8,47.3,47.9,47.9,47.6,47.5,47.8,48.0,47.1
2006,44.1,44.0,44.0,43.9,44.0,44.5,45.2,45.3,45.3,45.4,45.7,46.0,44.8
2005,44.4,44.5,44.6,44.4,44.4,44.6,44.7,44.5,44.2,43.9,44.2,44.4,44.4
2004,45.1,45.2,45.3,45.3,44.9,45.3,45.2,45.2,45.2,45.2,45.1,45.1,45.2
2003,44.1,44.0,44.2,44.2,44.3,44.7,44.4,44.3,44.4,44.7,45.0,45.3,44.5
2002,42.5,42.6,42.7,43.5,44.1,43.9,43.9,44.1,44.0,44.3,44.2,44.5,43.7
2001,41.1,40.8,40.9,41.1,41.3,41.9,42.2,42.2,42.0,42.8,42.9,42.5,41.8
2000,41.2,41.1,41.2,41.4,41.4,41.8,42.4,42.5,42.1,41.8,42.1,42.4,41.8
1999,42.9,43.3,43.0,42.9,43.1,43.1,43.3,43.1,42.6,41.8,42.0,42.0,42.8
1998,41.7,41.7,41.9,41.9,42.1,42.3,42.7,42.7,42.5,42.9,43.0,43.0,42.4
1997,40.9,40.9,41.4,41.6,41.2,41.4,42.2,42.1,42.0,40.7,41.0,41.2,41.4
1996,42.2,42.4,42.5,42.2,42.6,42.6,42.4,42.4,42.5,42.6,42.5,42.6,42.5
1995,42.3,42.4,42.5,42.7,42.5,42.8,42.5,42.5,42.4,42.6,42.7,42.5,42.5
1994,41.3,41.4,41.6,41.7,41.7,42.3,42.0,41.9,42.0,42.0,42.2,42.2,41.9
1993,42.3,42.5,42.5,42.2,42.4,42.6,42.2,42.3,42.3,42.9,42.7,42.8,42.5
1992,41.3,41.3,41.5,41.6,41.7,42.0,41.9,41.9,41.9,42.1,42.2,42.5,41.8
1991,40.9,40.9,41.3,41.1,40.9,41.6,41.7,41.5,41.3,41.3,41.3,41.6,41.3
Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.,Hospitals - Data in thousands.
1990,39.4,39.4,39.6,38.9,39.0,39.6,39.7,39.6,39.9,39.8,40.6,41.1,39.7
