Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,13.6,13.7,13.9,13.8,14.0,14.2,14.3,14.3,14.2,14.5,,,
2020,16.3,15.9,15.7,14.2,14.3,14.0,13.7,13.4,13.3,13.7,13.7,13.6,14.3
2019,15.4,15.9,15.9,15.8,16.0,15.9,15.8,15.9,15.6,15.5,15.8,15.6,15.8
2018,17.9,18.0,18.0,17.7,17.7,17.9,17.6,17.7,17.1,16.8,17.0,16.7,17.5
2017,18.3,18.5,18.6,18.2,18.7,19.0,18.7,18.7,18.6,18.5,18.7,18.6,18.6
2016,19.7,19.4,19.4,19.7,17.7,19.7,19.5,19.2,19.2,18.9,18.8,19.0,19.2
2015,21.1,20.7,20.5,20.6,20.5,20.3,20.6,20.1,19.8,20.2,20.0,20.2,20.4
2014,22.5,22.4,22.2,22.1,22.1,22.2,21.8,21.7,21.3,21.3,21.1,21.2,21.8
2013,24.0,23.9,23.8,23.8,23.9,23.9,23.9,23.7,23.3,23.2,23.1,23.0,23.6
2012,24.1,23.9,24.0,23.8,23.9,24.2,24.0,23.9,23.7,24.1,24.1,24.3,24.0
2011,24.6,24.4,24.4,24.4,24.6,24.8,25.0,21.8,24.6,24.6,24.6,24.6,24.4
2010,25.8,25.6,25.4,25.1,25.0,25.3,25.2,25.0,24.6,24.6,24.6,24.8,25.1
2009,27.7,27.5,27.8,27.8,27.5,27.6,27.4,27.4,26.8,26.7,26.8,26.5,27.3
2008,26.9,26.8,26.8,26.7,27.0,27.4,27.3,27.4,27.1,27.2,27.5,27.6,27.1
2007,28.2,28.0,27.9,28.0,28.4,28.5,28.1,28.2,27.6,27.3,27.3,27.7,27.9
2006,29.2,29.3,29.5,29.3,29.2,29.3,29.5,29.4,28.9,28.8,28.9,29.2,29.2
2005,28.9,28.9,29.1,29.1,29.1,29.9,29.7,29.7,29.4,29.3,29.5,29.9,29.4
2004,28.6,28.6,28.7,28.6,28.8,29.0,29.1,29.1,28.9,28.7,29.0,29.2,28.9
2003,29.6,29.6,29.5,29.1,29.5,29.2,28.7,29.1,28.3,28.7,29.1,29.3,29.1
2002,33.1,32.9,32.8,33.2,33.5,33.4,32.7,32.6,31.5,31.7,31.3,31.1,32.5
2001,33.0,33.0,33.1,33.0,33.1,33.4,33.0,33.1,32.4,32.4,32.8,32.9,32.9
2000,31.3,31.4,31.7,31.6,31.8,32.4,32.6,28.3,32.9,32.7,33.1,33.5,31.9
1999,30.8,31.0,30.9,30.1,30.5,30.9,30.8,31.0,30.6,30.8,31.1,31.2,30.8
1998,29.7,29.6,30.1,30.3,30.3,30.6,30.8,30.7,30.3,30.4,30.5,30.7,30.3
1997,27.6,27.9,28.2,28.5,28.6,28.9,29.3,29.4,28.9,28.8,29.1,29.4,28.7
1996,26.1,26.2,26.4,26.3,26.5,26.7,28.0,27.6,27.3,27.6,28.1,28.4,27.1
1995,26.7,26.6,26.7,26.3,26.8,27.3,27.1,27.2,27.4,26.4,26.6,26.8,26.8
1994,27.5,27.0,27.1,27.0,27.0,27.3,26.9,26.7,26.6,26.7,26.9,27.0,27.0
1993,29.2,28.9,28.4,28.1,28.1,28.4,28.9,28.6,28.5,28.7,29.0,29.1,28.7
1992,29.8,30.7,29.3,28.6,28.9,29.0,29.6,28.9,28.6,28.8,28.8,29.0,29.2
1991,32.4,31.7,31.5,30.9,30.8,31.0,31.4,30.6,30.5,30.2,30.0,30.3,30.9
1990,33.5,32.8,32.2,32.1,32.5,33.1,32.8,32.3,32.2,32.5,32.6,32.7,32.6
