Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,86.7,89.9,93.1,96.8,103.0,111.4,,,,,,,
2020,118.7,118.0,113.1,51.1,67.3,81.0,99.8,106.2,105.4,101.4,98.9,92.4,96.1
2019,117.2,116.1,119.1,123.8,129.1,140.5,145.9,144.2,131.1,128.6,124.8,124.3,128.7
2018,115.8,115.7,118.0,124.1,131.4,142.3,146.2,144.6,131.6,128.2,124.5,123.6,128.8
2017,112.4,112.3,115.4,120.9,130.5,141.1,145.6,143.8,133.1,128.2,124.6,122.9,127.6
2016,108.7,108.7,112.1,117.5,125.5,134.0,140.0,138.4,127.8,123.9,120.3,119.2,123.0
2015,107.0,107.2,109.8,114.4,123.9,131.3,136.4,135.1,127.0,121.9,117.6,117.4,120.8
2014,105.8,105.4,108.5,113.1,121.8,129.2,134.0,131.3,123.4,119.6,115.5,114.0,118.5
2013,100.8,101.0,104.1,109.9,117.6,127.2,132.0,128.8,121.1,118.3,113.9,112.7,115.6
2012,96.8,97.7,100.6,103.8,111.9,121.1,126.3,125.2,117.0,111.8,106.1,107.8,110.5
2011,90.6,90.6,93.5,100.2,107.3,116.0,120.7,118.5,110.1,107.5,103.7,102.8,105.1
2010,88.6,88.2,91.2,96.1,102.6,109.8,114.4,112.7,106.5,102.7,99.0,98.0,100.8
2009,86.7,87.1,89.5,91.9,100.7,107.2,110.6,110.2,105.2,100.0,96.3,95.0,98.4
2008,88.4,88.8,91.0,95.8,102.8,109.3,112.4,111.1,103.4,99.3,96.1,94.6,99.4
2007,88.0,88.0,90.2,95.1,101.3,108.6,111.5,110.7,103.4,99.5,97.4,96.6,99.2
2006,86.1,85.4,88.8,91.5,99.4,107.4,110.5,108.5,102.1,98.1,96.7,95.3,97.5
2005,84.5,85.0,87.0,92.8,98.2,105.1,107.5,106.7,100.9,95.2,93.9,92.4,95.8
2004,84.2,84.4,87.2,90.8,97.3,105.1,108.6,106.9,101.3,96.5,93.6,93.0,95.7
2003,82.1,81.6,84.5,87.9,94.1,99.8,104.7,102.8,97.7,93.5,91.5,90.7,92.6
2002,79.4,79.8,82.5,86.7,92.4,98.6,100.3,99.6,94.2,90.7,89.1,88.2,90.1
2001,79.6,79.6,81.8,83.6,90.6,96.7,99.2,98.6,90.7,89.6,88.2,86.8,88.8
2000,74.2,74.5,77.3,82.4,87.7,94.4,96.9,97.9,91.9,88.2,85.7,85.0,86.3
1999,73.4,73.7,76.3,79.6,84.9,91.2,92.9,92.9,87.2,83.7,81.3,81.0,83.2
1998,70.1,70.5,73.4,75.5,83.0,88.3,89.7,88.5,85.9,80.6,77.9,77.8,80.1
1997,69.0,68.7,72.1,74.8,80.5,86.3,87.0,87.3,83.3,79.1,77.9,77.2,78.6
1996,67.1,67.3,69.9,72.8,79.5,86.2,85.4,86.3,81.3,78.3,75.6,75.4,77.1
1995,68.1,67.7,70.7,73.3,79.9,86.5,87.4,87.5,83.8,78.8,75.6,74.6,77.8
1994,66.4,64.8,68.9,73.0,77.0,83.9,85.6,86.6,82.2,77.9,74.2,73.3,76.2
1993,64.7,65.1,65.9,70.7,77.6,82.8,83.9,83.6,81.7,76.6,73.7,73.4,75.0
1992,65.2,65.2,68.0,71.3,76.9,82.5,84.1,83.2,80.0,75.4,72.3,70.9,74.6
Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.,Leisure and Hospitality - Data in thousands.
1991,67.1,67.8,70.6,71.5,76.9,82.5,82.9,83.3,78.9,75.6,72.8,72.1,75.2
1990,70.6,70.2,72.9,75.3,82.5,88.3,88.6,88.3,85.4,79.7,77.3,75.8,79.6
