Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,99.6,100.8,103.3,,,,,,,,,,
2020,101.6,104.8,104.1,98.5,96.5,95.9,75.8,73.2,91.9,101.1,102.0,102.9,95.7
2019,102.0,105.0,105.2,105.6,105.6,103.0,86.9,84.2,96.6,103.8,105.2,105.2,100.7
2018,101.1,104.5,104.3,105.1,104.9,104.8,87.9,84.6,96.5,104.2,105.5,106.0,100.8
2017,100.7,103.7,103.7,103.6,103.4,103.4,86.8,83.5,95.4,104.3,105.3,104.6,99.9
2016,100.2,103.3,103.8,104.8,104.7,104.4,87.3,83.7,95.4,103.2,104.4,104.9,100.0
2015,98.0,102.2,102.8,103.1,104.7,104.4,86.7,82.8,93.9,102.9,104.8,105.5,99.3
2014,98.3,103.2,103.5,103.7,103.1,101.3,84.4,80.4,91.9,102.2,104.4,104.4,98.4
2013,102.3,106.1,106.6,107.0,106.3,104.9,85.8,80.8,91.1,103.3,105.0,105.6,100.4
2012,104.1,107.8,108.3,109.2,108.3,107.7,89.5,84.2,95.3,105.4,104.7,108.1,102.7
2011,107.5,109.8,110.7,111.6,109.4,110.6,90.2,87.3,97.2,107.2,108.9,108.1,104.9
2010,107.8,110.2,111.1,112.4,111.2,107.0,89.4,84.2,98.3,113.6,115.8,114.5,106.3
2009,103.7,106.0,107.6,110.9,111.3,108.2,91.7,85.3,95.5,109.9,111.5,113.0,104.6
2008,101.4,104.3,104.0,105.3,105.2,104.2,89.3,81.4,92.1,104.4,106.3,107.2,100.4
2007,102.3,105.4,105.1,105.5,106.1,104.0,83.0,80.5,93.4,104.6,106.2,107.7,100.3
2006,99.7,101.3,102.4,103.4,103.2,101.5,81.5,77.3,89.7,101.9,103.7,105.1,97.6
2005,99.8,101.1,102.7,103.5,103.2,102.4,82.4,78.1,90.8,101.4,103.1,104.1,97.7
2004,95.7,99.4,100.7,100.8,102.0,99.9,80.1,75.9,88.8,99.6,101.3,102.2,95.5
2003,95.5,99.2,100.5,100.5,100.2,99.8,80.0,75.6,90.0,99.7,101.7,101.7,95.4
2002,92.9,94.5,95.3,96.0,96.6,96.0,76.0,71.4,86.7,95.7,97.8,98.4,91.4
2001,90.4,92.5,93.1,92.9,94.2,94.1,75.1,73.6,83.2,93.2,95.3,97.0,89.6
2000,94.1,95.4,96.5,98.9,97.2,96.1,75.7,71.7,88.5,96.7,98.7,99.2,92.4
1999,91.0,93.0,94.1,94.6,95.5,92.6,72.5,67.7,82.6,94.2,96.5,97.2,89.3
1998,85.4,91.4,92.6,90.9,91.8,90.2,70.4,65.8,80.1,91.6,93.8,96.0,86.7
1997,83.3,86.4,87.5,88.3,88.6,86.7,66.7,62.1,76.2,88.5,90.7,92.0,83.1
1996,83.2,86.1,86.6,87.7,88.1,85.4,63.9,62.1,74.5,87.0,88.5,89.0,81.8
1995,82.7,84.1,85.9,87.1,86.2,85.1,65.0,62.2,75.0,84.7,87.7,87.4,81.1
1994,81.0,83.0,85.1,85.7,86.0,83.8,63.3,59.5,71.8,84.2,86.5,85.7,79.6
1993,79.1,80.7,83.3,83.7,83.7,81.6,61.1,57.4,70.9,82.7,85.2,84.1,77.8
1992,78.4,80.8,82.2,83.0,82.0,81.2,61.6,57.0,70.6,80.2,83.1,82.7,76.9
Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.,Local Government Education - Data in thousands.
1991,82.8,84.7,85.0,85.7,85.9,83.9,62.4,57.2,70.4,80.9,83.1,82.3,78.7
1990,81.6,84.8,84.6,85.7,85.2,84.3,62.5,58.8,71.7,83.6,86.3,85.6,79.6
