Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,
2020,2.8,2.8,2.8,2.7,2.7,2.7,2.8,2.7,2.8,2.8,2.8,2.8,2.8
2019,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,3.3,2.8,2.8
2018,2.8,2.8,2.8,2.7,2.7,2.8,2.8,2.7,2.8,2.7,2.7,2.8,2.8
2017,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.7
2016,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.8,2.8
2015,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2014,2.9,2.9,2.9,2.9,2.9,2.8,2.9,2.8,2.8,2.8,2.8,2.8,2.9
2013,2.9,2.9,2.9,3.0,3.0,3.0,2.9,3.0,3.0,2.9,2.9,2.9,2.9
2012,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.9,2.9,2.9,2.8
2011,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,2.8,3.0
2010,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.0
2009,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,3.0,3.0,3.0,3.0
2008,2.9,3.0,3.0,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2007,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.8
2006,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
2005,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.5,2.6
2004,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8
2003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.0,3.0,3.0
2002,3.5,3.5,3.5,3.4,3.4,3.3,3.0,3.0,3.0,3.0,2.9,3.0,3.2
2001,3.5,3.5,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2000,3.3,3.3,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.6,3.6,3.5,3.5
1999,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3
1998,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.2,3.3,3.3,3.3
1997,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.4,3.4,3.4,3.3,3.3,3.4
1996,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
1995,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6
1994,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.5
1993,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.5,3.5,3.3
1992,3.6,3.6,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.3,3.2,3.4
Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.,Local Government Hospitals - Data in thousands.
1991,3.7,3.8,3.8,3.9,3.9,3.6,3.8,3.8,3.7,3.6,3.7,3.7,3.8
1990,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.7,3.7,3.8,3.8,3.8,3.7
