Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,147.0,147.9,150.4,151.3,152.6,155.0,142.9,139.2,144.7,152.4,154.2,,
2020,152.3,155.3,154.7,146.9,145.1,146.8,131.4,129.6,143.5,149.9,151.7,152.2,146.6
2019,152.4,155.2,155.4,156.1,157.2,158.1,147.0,143.8,149.8,155.5,157.6,156.4,153.7
2018,150.5,154.8,154.6,155.4,156.5,159.5,147.9,144.2,149.8,155.9,156.8,157.2,153.6
2017,151.7,154.5,154.5,154.7,155.0,158.3,147.0,143.7,149.4,155.7,156.3,155.6,153.0
2016,151.1,154.1,154.7,156.0,156.5,159.5,147.8,144.2,149.8,155.3,156.0,156.3,153.4
2015,149.1,153.1,154.0,154.5,157.1,160.1,148.0,144.0,149.1,155.0,156.7,157.4,153.2
2014,149.9,154.6,154.8,155.2,155.4,156.6,144.6,140.4,145.9,154.2,155.9,156.0,152.0
2013,154.3,157.8,158.5,159.2,159.4,161.1,147.6,142.2,145.8,156.1,157.2,157.9,154.8
2012,158.0,161.4,162.1,162.5,162.4,165.1,152.4,145.7,150.1,158.2,156.8,160.7,158.0
2011,163.5,165.4,165.9,166.5,165.1,170.0,156.0,152.2,154.7,162.7,163.6,162.4,162.3
2010,164.9,166.9,168.0,169.1,168.5,168.1,153.2,149.4,157.4,171.1,172.9,171.3,165.1
2009,160.5,163.2,164.0,167.3,168.6,169.4,157.8,152.6,155.0,166.4,167.5,169.0,163.4
2008,158.5,160.3,160.8,162.5,163.3,165.6,155.4,147.6,152.1,162.2,163.2,164.4,159.7
2007,158.5,160.5,160.9,161.5,163.0,164.6,147.8,144.8,152.2,162.0,163.3,164.9,158.7
2006,155.2,157.4,157.9,158.8,159.5,160.7,145.3,140.9,148.6,158.7,160.0,161.2,155.4
2005,154.6,156.2,157.1,158.4,158.5,161.1,145.7,141.4,148.2,157.7,159.0,159.8,154.8
2004,150.6,155.6,156.7,155.5,157.2,158.5,142.8,138.5,146.2,155.2,156.3,157.3,152.5
2003,151.5,155.2,156.6,156.3,156.6,158.5,143.4,138.8,147.9,156.1,157.9,157.9,153.1
2002,149.3,151.0,151.7,152.9,154.0,154.6,138.1,133.8,144.3,151.5,153.5,154.4,149.1
2001,145.0,147.0,147.7,148.0,150.0,152.7,138.3,136.0,141.8,150.3,152.4,153.9,146.9
2000,142.4,143.6,144.7,147.4,146.3,147.7,131.6,127.8,140.0,147.2,148.7,149.2,143.1
1999,138.8,140.7,142.0,142.3,143.8,143.7,129.6,124.7,134.0,143.0,145.3,145.7,139.5
1998,133.0,138.8,140.1,138.5,139.9,141.2,127.4,122.7,130.9,139.6,141.6,143.9,136.5
1997,130.1,133.2,134.5,136.2,137.1,138.9,123.8,119.6,126.9,136.3,138.6,139.6,132.9
1996,131.6,134.4,135.1,136.1,137.1,138.2,120.6,118.6,126.0,136.1,137.1,136.9,132.3
1995,131.4,132.8,134.3,135.9,135.7,137.2,123.4,120.5,126.6,134.7,137.7,136.7,132.2
1994,128.4,130.6,132.6,132.9,134.0,135.0,120.3,116.4,123.5,133.4,135.6,134.4,129.8
1993,124.8,126.3,128.8,129.3,129.8,130.2,116.8,112.9,121.1,129.8,132.7,131.8,126.2
1992,126.6,128.0,128.9,129.1,128.0,129.8,115.0,110.1,118.9,126.6,129.2,128.8,124.9
1991,133.6,135.1,135.4,135.8,136.2,136.9,121.4,115.8,122.2,130.2,132.0,131.5,130.5
1990,132.9,135.3,135.9,136.5,135.9,138.0,122.0,117.9,123.8,134.5,136.8,136.3,132.2
