Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,13.4,,,,,,,,,,,,
2020,14.3,14.3,14.2,13.3,12.5,12.8,12.8,13.0,13.1,13.4,13.5,13.6,13.4
2019,14.6,14.6,14.6,14.3,14.4,14.3,14.3,14.2,14.3,14.1,14.3,14.2,14.4
2018,16.1,16.1,16.1,16.0,16.1,16.2,16.0,15.9,15.6,15.6,15.8,15.8,15.9
2017,16.2,16.1,16.1,15.9,16.1,16.3,16.0,16.0,16.0,16.2,16.3,16.3,16.1
2016,16.2,16.4,16.4,16.3,16.1,16.4,16.3,16.2,16.3,16.4,16.5,16.4,16.3
2015,15.9,15.9,15.9,15.9,16.0,16.2,15.9,15.9,15.8,16.0,16.1,16.2,16.0
2014,15.9,16.0,16.1,16.1,16.2,16.3,16.0,16.0,15.9,16.3,16.3,16.3,16.1
2013,15.1,15.2,15.2,15.2,15.2,15.5,15.3,15.4,15.5,15.7,15.9,15.9,15.4
2012,15.0,15.0,14.9,14.9,15.0,15.1,15.0,15.1,15.2,15.3,15.4,15.5,15.1
2011,14.3,14.1,14.1,14.3,14.4,14.5,14.7,14.6,14.7,14.7,14.8,15.0,14.5
2010,16.0,16.0,15.9,15.9,15.7,15.5,15.3,15.1,15.0,14.9,14.8,14.7,15.4
2009,16.8,16.9,16.9,16.9,17.0,16.7,16.5,16.4,16.4,16.2,16.3,16.2,16.6
2008,17.0,17.0,17.1,16.8,16.8,17.0,16.7,16.7,16.8,16.8,16.8,16.9,16.9
2007,16.7,16.6,16.6,16.5,16.6,16.7,16.7,16.7,16.7,16.7,17.0,17.3,16.7
2006,17.5,17.3,17.3,17.4,17.5,17.6,17.4,17.4,17.3,17.3,17.2,17.2,17.4
2005,16.7,16.8,16.9,17.0,17.1,17.1,17.5,17.4,17.4,17.4,17.4,17.5,17.2
2004,16.2,16.2,16.3,16.1,16.3,16.3,16.5,16.6,16.6,16.8,16.7,16.7,16.4
2003,15.9,15.9,15.9,15.8,15.8,15.9,16.0,16.2,16.1,16.2,16.3,16.4,16.0
2002,15.3,15.3,15.3,15.5,15.7,15.8,16.1,16.1,16.1,16.1,16.2,16.1,15.8
2001,15.8,15.7,15.6,15.4,15.4,15.5,15.8,15.8,15.5,15.5,16.0,15.9,15.7
2000,16.0,15.9,15.9,16.7,16.7,16.8,16.7,16.8,16.6,16.2,16.3,16.4,16.4
1999,16.1,16.1,16.2,15.7,15.6,15.6,16.0,16.0,16.0,15.7,16.0,16.3,15.9
1998,15.8,15.8,15.7,15.7,15.7,15.8,16.1,16.1,15.9,16.1,16.2,16.1,15.9
1997,15.8,15.9,16.0,15.8,16.0,16.2,16.4,16.4,16.5,16.2,16.1,16.1,16.1
1996,15.3,15.3,15.5,15.3,15.4,15.5,15.4,15.4,15.6,15.9,15.9,15.9,15.5
1995,15.8,15.7,15.9,15.8,15.9,15.9,15.7,15.4,15.4,15.3,15.5,15.6,15.7
1994,15.1,15.1,15.2,15.4,15.5,15.4,15.5,15.6,15.4,15.7,15.7,15.6,15.4
1993,14.6,14.6,14.6,14.7,14.8,14.7,15.1,15.0,15.0,15.0,14.9,14.9,14.8
1992,14.0,13.7,13.5,14.2,14.2,14.0,13.9,13.8,13.8,13.8,13.8,14.0,13.9
1991,13.1,13.0,13.0,13.0,13.1,13.0,13.0,12.8,13.0,13.1,13.1,13.2,13.0
1990,11.2,11.1,11.1,11.2,11.1,11.2,11.4,11.4,11.7,11.8,11.8,11.9,11.4
