Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,65.3,65.0,65.5,66.1,66.3,67.5,67.2,67.0,67.3,67.5,67.3,67.6,
2020,69.8,69.7,69.6,55.6,60.6,64.4,65.1,65.6,66.1,66.3,66.0,66.0,65.4
2019,70.9,71.1,71.2,71.1,71.1,71.7,71.3,70.9,70.8,70.7,70.4,70.3,71.0
2018,70.4,71.0,71.1,70.9,70.9,71.4,71.3,71.3,71.4,71.7,71.7,71.8,71.2
2017,71.2,71.3,71.7,71.5,71.8,72.2,72.1,71.9,71.6,71.8,71.7,71.7,71.7
2016,71.1,71.3,71.7,71.0,71.1,71.6,71.7,71.8,71.8,72.4,72.3,72.3,71.7
2015,70.6,70.8,71.0,71.3,71.6,72.1,71.9,71.9,71.8,72.2,72.0,71.9,71.6
2014,72.1,71.8,71.9,72.1,72.1,72.6,72.1,72.1,72.0,72.0,72.2,72.0,72.1
2013,72.8,72.8,73.4,73.5,73.6,74.2,73.9,73.5,73.6,73.4,73.8,73.5,73.5
2012,73.3,73.2,73.7,73.9,74.2,74.7,74.2,74.4,74.5,74.7,74.4,74.3,74.1
2011,71.6,71.6,72.1,73.1,73.4,73.8,73.4,73.6,73.9,74.0,74.3,74.3,73.3
2010,72.4,72.4,72.9,73.4,73.2,73.6,73.1,73.0,73.0,73.4,73.5,73.6,73.1
2009,77.4,76.5,76.1,75.7,75.7,75.8,74.1,74.0,74.0,74.2,73.7,73.8,75.1
2008,82.1,81.6,81.9,81.9,82.1,82.3,81.2,81.3,81.3,80.9,80.2,79.3,81.3
2007,84.3,84.2,84.6,83.6,83.7,84.0,83.3,83.4,83.3,83.8,83.8,83.9,83.8
2006,85.6,85.7,85.8,85.6,86.1,86.8,85.4,85.6,85.8,85.9,86.2,85.9,85.9
2005,87.0,87.0,87.4,87.2,87.2,87.6,86.2,86.6,86.6,86.6,86.7,87.1,86.9
2004,86.9,87.4,88.3,87.7,87.9,88.6,87.3,88.0,88.5,89.2,89.2,89.5,88.2
2003,89.1,88.9,88.8,88.6,88.4,88.6,86.9,87.4,88.2,88.7,88.4,88.4,88.4
2002,93.3,93.1,93.0,92.2,92.0,92.2,90.6,91.3,91.9,91.9,92.1,91.6,92.1
2001,101.5,101.2,101.1,99.8,99.5,99.3,97.5,97.8,98.4,97.5,96.6,96.0,98.9
2000,104.8,104.9,105.1,105.3,105.4,106.1,104.8,106.1,106.8,107.0,107.2,107.0,105.9
1999,105.3,105.4,105.8,106.0,106.3,106.8,104.5,105.5,105.9,107.2,107.5,108.1,106.2
1998,103.4,103.9,104.6,104.5,104.9,105.7,103.6,104.3,104.9,105.6,106.0,105.9,104.8
1997,102.1,102.2,103.2,102.5,102.6,103.6,101.8,103.3,103.8,104.4,105.0,105.4,103.3
1996,99.9,101.2,102.0,101.1,101.8,102.8,101.6,102.5,103.6,104.0,103.9,104.7,102.4
1995,100.5,101.5,101.4,101.3,102.6,103.6,101.3,102.4,103.0,102.6,103.2,102.8,102.2
1994,103.6,102.5,103.0,103.2,103.7,104.1,102.2,102.5,103.2,104.0,104.9,103.7,103.4
1993,110.4,110.2,110.6,109.7,109.8,110.1,107.5,108.5,108.7,109.2,109.0,107.9,109.3
1992,115.6,115.0,114.5,115.0,114.4,114.8,112.8,113.5,113.4,113.7,113.3,113.0,114.1
1991,124.3,123.9,123.2,122.7,123.6,123.3,120.6,121.4,121.7,121.8,121.1,119.9,122.3
1990,144.5,144.1,143.9,141.0,140.7,141.3,137.9,137.5,137.1,135.8,133.8,132.7,139.2
