Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2022,32.1,32.4,33.0,,,,,,,,,,
2021,31.7,31.8,32.0,32.2,32.3,32.3,32.5,32.5,32.1,32.3,32.8,33.0,32.3
2020,35.1,35.1,34.8,29.7,30.2,31.3,31.5,31.7,31.7,31.9,32.0,32.0,32.3
2019,35.9,35.9,35.8,35.8,35.7,36.0,35.8,35.6,35.4,35.5,35.5,35.4,35.7
2018,36.8,36.9,36.8,36.8,36.7,37.0,36.8,36.6,36.4,36.4,36.4,36.5,36.7
2017,36.5,36.7,37.0,36.8,36.9,37.2,37.3,37.2,37.0,37.1,37.1,37.3,37.0
2016,36.9,36.9,36.9,36.8,36.7,36.8,36.8,36.7,36.4,36.4,36.6,36.9,36.7
2015,37.5,37.2,37.4,37.3,37.4,37.6,37.8,37.6,37.1,37.2,37.4,37.4,37.4
2014,37.0,37.0,37.2,37.4,37.4,37.7,37.8,37.8,37.3,37.5,37.5,37.6,37.4
2013,36.0,36.0,36.2,36.5,36.7,37.0,37.2,37.1,37.0,37.0,36.9,37.2,36.7
2012,36.1,36.0,36.2,36.2,36.2,36.4,36.3,36.2,36.0,36.4,36.2,36.5,36.2
2011,36.0,35.9,36.1,36.3,36.5,36.7,36.8,36.8,36.5,36.4,36.4,36.7,36.4
2010,36.3,36.1,36.2,36.5,36.7,36.8,36.7,36.6,36.4,36.6,36.6,36.7,36.5
2009,38.6,38.2,37.9,37.4,37.3,37.5,37.2,37.0,36.7,36.8,36.6,36.7,37.3
2008,40.4,40.4,40.5,40.4,40.5,40.7,40.5,40.4,40.1,39.9,39.8,39.4,40.3
2007,40.1,40.1,40.4,40.4,40.5,40.7,40.8,40.5,40.4,40.7,40.6,40.7,40.5
2006,40.2,40.2,40.5,40.8,41.0,41.1,41.0,40.8,40.6,40.9,40.9,40.8,40.7
2005,41.0,40.8,40.9,40.7,40.8,40.9,41.0,40.9,40.7,40.8,40.8,41.2,40.9
2004,41.3,41.2,41.4,41.3,41.4,41.8,41.7,41.8,41.5,41.7,41.6,41.9,41.6
2003,42.0,41.9,42.1,41.5,41.8,42.0,41.9,41.9,41.7,41.7,41.9,42.3,41.9
2002,41.1,41.1,41.2,40.8,40.7,40.9,40.6,40.6,40.5,40.4,40.4,40.7,40.8
2001,44.0,44.2,44.0,43.2,43.5,43.5,43.3,43.1,42.7,42.7,42.5,42.4,43.3
2000,44.1,44.3,44.6,45.2,45.3,45.6,45.2,45.2,45.1,45.9,46.0,46.1,45.2
1999,43.3,43.2,43.4,43.8,43.8,44.1,44.4,44.8,44.7,44.4,44.5,44.7,44.1
1998,40.3,40.5,40.7,42.8,43.1,43.4,43.6,43.5,43.4,43.7,43.8,44.0,42.7
1997,40.1,40.1,40.5,41.0,41.2,41.4,41.2,41.3,41.3,41.5,41.7,41.8,41.1
1996,39.2,39.4,39.8,40.1,40.2,40.4,40.3,40.1,40.0,40.0,40.3,40.4,40.0
1995,39.0,39.0,39.3,39.6,39.6,40.0,39.7,40.2,40.1,40.0,40.1,40.5,39.8
1994,38.4,38.4,38.9,39.1,39.1,39.6,39.3,39.3,39.3,39.4,39.5,39.8,39.2
1993,38.6,38.7,39.0,39.2,39.4,39.4,39.0,39.1,39.1,39.1,39.2,39.3,39.1
1992,39.0,38.8,38.9,39.2,39.4,39.7,39.2,39.1,39.2,39.4,39.2,39.2,39.2
1991,41.5,41.2,41.1,40.6,40.4,40.5,40.2,39.9,39.8,40.2,40.1,40.3,40.5
"Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands.","Merchant Wholesalers, Durable Goods - Data in thousands."
1990,43.5,43.2,43.6,43.7,43.7,43.8,43.4,43.6,43.4,42.9,42.7,42.7,43.4
