Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,25.6,25.6,25.6,26.1,26.1,26.2,25.9,26.0,26.1,,,,
2020,28.0,27.9,27.6,23.0,24.6,25.5,25.5,25.6,25.9,26.4,26.1,26.0,26.0
2019,28.2,28.4,28.4,28.3,28.4,28.7,28.6,28.7,28.6,28.7,28.8,28.6,28.5
2018,28.3,28.5,28.7,28.6,28.9,29.1,29.0,28.9,28.6,28.7,28.9,28.9,28.8
2017,28.6,28.9,29.4,28.6,28.9,29.3,29.2,29.1,29.0,29.0,29.1,29.1,29.0
2016,26.3,26.3,26.3,26.6,26.7,27.1,27.4,27.7,27.8,28.2,28.4,28.8,27.3
2015,26.5,26.7,26.9,27.1,27.3,27.6,27.6,27.5,27.3,27.3,27.2,27.4,27.2
2014,26.3,26.2,26.4,26.7,26.8,27.0,27.1,27.1,27.0,27.3,27.2,27.3,26.9
2013,25.9,25.9,25.9,26.4,26.6,26.9,26.9,26.8,26.9,27.1,27.2,27.3,26.7
2012,25.6,25.7,25.9,26.0,26.2,26.5,26.4,26.5,26.4,26.5,26.4,26.5,26.2
2011,24.6,24.7,24.8,25.1,25.2,25.6,25.6,25.6,25.5,25.8,25.8,26.0,25.4
2010,24.7,24.6,24.9,25.1,25.0,25.3,25.5,25.6,25.6,25.7,25.8,25.7,25.3
2009,25.2,24.9,24.9,24.8,25.0,25.2,25.2,25.3,25.4,25.5,25.5,25.6,25.2
2008,26.8,26.7,26.9,26.8,26.8,26.9,26.8,26.7,26.7,26.5,26.4,26.2,26.7
2007,26.4,26.4,26.5,26.8,27.1,27.4,27.4,27.5,27.6,27.6,27.6,27.9,27.2
2006,24.7,24.8,25.1,25.5,25.9,26.3,26.4,26.5,26.6,26.5,26.6,26.8,26.0
2005,24.7,24.6,25.0,25.0,25.0,25.2,25.3,25.6,25.8,25.9,26.0,26.2,25.4
2004,24.8,24.9,25.0,25.1,25.5,25.8,25.7,25.7,25.7,25.4,25.5,26.0,25.4
2003,24.8,25.0,25.3,25.3,25.3,25.6,25.4,25.5,25.6,25.6,25.7,25.7,25.4
2002,21.5,21.6,21.9,21.3,21.6,21.8,21.8,22.2,22.3,22.6,22.5,22.7,22.0
2001,21.4,21.4,21.7,21.6,21.7,22.0,21.6,21.6,21.7,22.0,21.9,22.1,21.7
2000,21.3,21.4,21.6,21.9,22.0,22.3,22.3,22.3,22.4,22.3,22.3,22.6,22.1
1999,20.3,20.3,20.5,21.5,21.7,21.8,21.8,21.9,21.9,21.9,22.1,22.1,21.5
1998,19.8,19.9,20.1,20.5,20.6,20.9,20.8,21.0,21.2,20.9,21.0,20.9,20.6
1997,19.4,19.5,19.7,20.2,20.2,20.3,20.2,20.5,20.4,20.2,20.2,20.3,20.1
1996,19.9,20.0,20.2,20.2,20.5,20.5,20.3,20.3,20.3,20.3,20.2,20.3,20.3
1995,19.6,19.6,19.8,19.5,19.6,19.9,19.6,19.7,19.9,19.9,20.0,20.1,19.8
1994,18.5,18.5,18.7,18.9,19.0,19.3,19.4,19.5,19.7,20.2,20.4,20.4,19.4
1993,18.5,18.6,18.7,18.9,19.2,19.5,19.5,19.6,19.3,19.3,19.4,19.6,19.2
1992,19.4,19.3,19.5,19.5,19.5,19.6,19.4,19.4,19.4,19.6,19.7,19.7,19.5
1991,19.6,19.3,19.5,19.9,20.1,20.2,20.0,20.2,20.1,20.4,20.5,20.5,20.0
1990,20.1,19.9,20.1,20.6,20.7,20.7,20.3,20.4,20.4,20.4,20.4,20.4,20.4
