Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,662977,,,,8816341,"$776,201,688,494","$88,041"
2021(p),1,652406,8443522,8499754,8594002,8512425,"$206,718,487,910","$24,284"
2021(p),2,660331,8706357,8787685,8885242,8793094,"$176,032,128,125","$20,019"
2021(p),3,666605,8748477,8730639,8924825,8801313,"$175,613,882,279","$19,953"
2021(p),4,672566,9104303,9175346,9195937,9158529,"$217,837,190,180","$23,785"
2020,Annual,650346,,,,8589748,"$713,836,981,591","$83,103"
2020,1,646596,9444326,9487976,9407630,9446645,"$207,856,351,964","$22,003"
2020,2,644693,7643358,7860821,8144688,7882956,"$155,763,476,152","$19,760"
2020,3,652672,8120595,8262157,8552838,8311863,"$156,230,107,928","$18,796"
2020,4,657422,8710289,8741872,8700426,8717529,"$193,987,045,547","$22,253"
2019,Annual,642760,,,,9542610,"$719,182,767,346","$75,365"
2019,1,634182,9338286,9391385,9445395,9391689,"$200,089,268,369","$21,305"
2019,2,643354,9532505,9597168,9680445,9603373,"$168,149,908,428","$17,509"
2019,3,645016,9465915,9424080,9577275,9489089,"$162,186,245,791","$17,092"
2019,4,648483,9657557,9709052,9692249,9686287,"$188,757,344,758","$19,487"
2018,Annual,636747,,,,9431393,"$687,506,238,972","$72,896"
2018,1,631471,9194398,9268220,9316642,9259753,"$192,209,253,333","$20,757"
2018,2,635357,9385440,9481235,9583046,9483239,"$159,813,913,243","$16,852"
2018,3,639272,9348462,9316042,9470721,9378408,"$155,078,598,810","$16,536"
2018,4,640885,9580354,9617426,9614726,9604168,"$180,404,473,586","$18,784"
2017,Annual,635251,,,,9276410,"$655,688,523,336","$70,683"
2017,1,627617,9059665,9113486,9151267,9108139,"$182,976,606,220","$20,089"
2017,2,633953,9222847,9325395,9414738,9320994,"$150,413,172,615","$16,137"
2017,3,639257,9186988,9162708,9333760,9227820,"$146,460,855,097","$15,872"
2017,4,640176,9419116,9459633,9467310,9448686,"$175,837,889,404","$18,610"
2016,Annual,628189,,,,9152545,"$621,866,993,208","$67,945"
2016,1,620997,8933008,8976413,9038235,8982553,"$169,902,861,417","$18,915"
2016,2,626524,9147849,9191382,9264175,9201136,"$144,716,473,180","$15,728"
2016,3,631315,9076146,9036885,9215322,9109451,"$144,688,642,387","$15,883"
2016,4,633918,9290702,9326231,9334194,9317042,"$162,559,016,224","$17,447"
2015,Annual,621524,,,,9011903,"$608,547,516,075","$67,527"
2015,1,613094,8775157,8811181,8860658,8815666,"$167,335,379,632","$18,982"
2015,2,619273,8959360,9072014,9129357,9053577,"$139,053,776,942","$15,359"
