Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,646558,,,,7460147,"$667,848,809,249","$89,522"
2021(p),1,636003,7072675,7120498,7211504,7134892,"$181,812,934,990","$25,482"
2021(p),2,643918,7321305,7399955,7497125,7406128,"$146,771,885,460","$19,818"
2021(p),3,650175,7533633,7533873,7546578,7538028,"$150,765,328,287","$20,001"
2021(p),4,656135,7710447,7777653,7796515,7761538,"$188,498,660,512","$24,286"
2020,Annual,633965,,,,7211581,"$611,100,992,666","$84,739"
2020,1,630241,8005039,8029630,7945650,7993440,"$182,546,402,851","$22,837"
2020,2,628311,6242086,6470757,6754498,6489114,"$127,828,243,202","$19,699"
2020,3,636267,6939534,7062846,7146846,7049742,"$133,882,591,039","$18,991"
2020,4,641042,7306608,7332712,7302768,7314029,"$166,843,755,574","$22,811"
2019,Annual,626503,,,,8121283,"$617,710,141,587","$76,061"
2019,1,617965,7917007,7946104,7994969,7952693,"$175,358,700,562","$22,050"
2019,2,627096,8078451,8139717,8213811,8143993,"$140,318,506,212","$17,230"
2019,3,628747,8189939,8168706,8144251,8167632,"$139,896,210,571","$17,128"
2019,4,632203,8200938,8234178,8227322,8220813,"$162,136,724,242","$19,723"
2018,Annual,620685,,,,8015960,"$588,956,002,918","$73,473"
2018,1,615449,7776818,7825696,7870243,7824252,"$168,166,637,489","$21,493"
2018,2,619301,7937542,8025425,8119078,8027348,"$133,036,548,771","$16,573"
2018,3,623201,8089193,8072057,8043602,8068284,"$133,507,322,352","$16,547"
2018,4,624788,8128122,8151660,8152081,8143954,"$154,245,494,306","$18,940"
2017,Annual,620757,,,,7899321,"$567,697,573,953","$71,867"
2017,1,613146,7672516,7703450,7737484,7704483,"$161,141,438,751","$20,915"
2017,2,619468,7807736,7908033,7996605,7904125,"$126,482,889,488","$16,002"
2017,3,624756,7967997,7958903,7949097,7958666,"$127,114,820,978","$15,972"
2017,4,625658,8005300,8039042,8045683,8030008,"$152,958,424,736","$19,048"
2016,Annual,613805,,,,7780925,"$537,744,528,216","$69,111"
2016,1,606647,7555609,7575388,7629724,7586907,"$149,314,986,776","$19,681"
2016,2,612148,7736435,7779090,7856424,7790650,"$122,064,259,358","$15,668"
2016,3,616911,7859782,7841787,7833971,7845180,"$125,674,995,856","$16,019"
2016,4,619514,7880507,7909277,7913108,7900964,"$140,690,286,226","$17,807"
2015,Annual,607178,,,,7646732,"$526,084,221,753","$68,799"
2015,1,598775,7409225,7418274,7462173,7429891,"$147,002,465,226","$19,785"
2015,2,604952,7560026,7662938,7726671,7649878,"$117,147,733,183","$15,314"
2015,3,610459,7727161,7710490,7697315,7711655,"$119,394,819,408","$15,482"
2015,4,614525,7775573,7803060,7807878,7795504,"$142,539,203,936","$18,285"
2014,Annual,598134,,,,7481416,"$502,813,825,126","$67,208"
2014,1,590316,7229164,7251105,7300121,7260130,"$144,181,853,513","$19,859"
2014,2,596377,7392255,7491457,7560201,7481304,"$110,956,470,906","$14,831"
2014,3,601629,7549840,7547756,7539077,7545558,"$113,006,826,461","$14,977"
2014,4,604212,7612303,7643166,7660543,7638671,"$134,668,674,246","$17,630"
2013,Annual,591159,,,,7318006,"$470,084,621,017","$64,237"
2013,1,582778,7078066,7093970,7149793,7107276,"$130,817,712,827","$18,406"
2013,2,589781,7245844,7324718,7394198,7321587,"$106,047,618,045","$14,484"
2013,3,594809,7384299,7372303,7368296,7374966,"$106,962,459,136","$14,503"
2013,4,597269,7442990,7477151,7484446,7468196,"$126,256,831,009","$16,906"
2012,Annual,580867,,,,7181793,"$459,683,826,062","$64,007"
2012,1,573905,6975179,7000777,7054976,7010311,"$129,211,480,810","$18,432"
2012,2,579562,7111145,7199260,7274620,7195008,"$102,137,419,068","$14,196"
2012,3,583678,7232916,7238059,7238842,7236606,"$103,164,751,159","$14,256"
2012,4,586322,7276512,7269856,7309375,7285248,"$125,170,175,025","$17,181"
2011,Annual,573068,,,,7049270,"$444,503,931,341","$63,057"
2011,1,566783,6826829,6846356,6891475,6854887,"$128,268,758,988","$18,712"
2011,2,571544,6995406,7056059,7132967,7061477,"$99,278,049,045","$14,059"
2011,3,576046,7117641,7098508,7120437,7112195,"$102,604,768,233","$14,427"
2011,4,577897,7143471,7172563,7189528,7168521,"$114,352,355,075","$15,952"
2010,Annual,567900,,,,6906934,"$424,934,077,769","$61,523"
2010,1,560665,6702739,6704332,6756795,6721289,"$117,462,856,275","$17,476"
2010,2,566226,6856015,6911326,6984006,6917116,"$97,016,032,420","$14,026"
2010,3,569620,6966195,6964535,6960840,6963857,"$96,357,979,233","$13,837"
2010,4,575089,7007317,7027543,7041565,7025475,"$114,097,209,841","$16,240"
2009,Annual,561699,,,,6892915,"$405,862,140,148","$58,881"
2009,1,557182,6855480,6828788,6829501,6837923,"$112,149,674,560","$16,401"
2009,2,560359,6844857,6911124,6959320,6905100,"$91,611,227,466","$13,267"
2009,3,563063,6914351,6894121,6894226,6900899,"$91,636,301,131","$13,279"
2009,4,566191,6917449,6926146,6939619,6927738,"$110,464,936,991","$15,945"
2008,Annual,562555,,,,7151160,"$444,765,347,298","$62,195"
2008,1,557447,7017569,7021780,7058750,7032700,"$136,745,716,354","$19,444"
2008,2,561620,7119165,7186742,7255357,7187088,"$97,286,319,964","$13,536"
2008,3,565124,7217334,7208398,7183469,7203067,"$98,066,235,217","$13,615"
2008,4,566030,7197905,7179708,7167745,7181786,"$112,667,075,763","$15,688"
2007,Annual,556994,,,,7118523,"$437,467,326,729","$61,455"
2007,1,551089,6920748,6921424,6977458,6939877,"$135,194,263,053","$19,481"
2007,2,555456,7028939,7126445,7218074,7124486,"$94,520,602,399","$13,267"
2007,3,559784,7177337,7165060,7156047,7166148,"$95,389,413,348","$13,311"
2007,4,561648,7214385,7246905,7269451,7243580,"$112,363,047,929","$15,512"
2006,Annual,550777,,,,7011181,"$398,897,651,006","$56,895"
2006,1,543723,6808617,6813675,6878763,6833685,"$117,522,867,362","$17,198"
2006,2,548976,6938033,7019004,7104726,7020588,"$87,877,000,250","$12,517"
2006,3,553594,7057073,7055782,7056564,7056473,"$87,871,998,548","$12,453"
2006,4,556813,7093117,7134289,7174529,7133978,"$105,625,784,846","$14,806"
2005,Annual,544883,,,,6926223,"$366,890,596,914","$52,971"
2005,1,537696,6731266,6736448,6781061,6749592,"$100,775,590,806","$14,931"
2005,2,542946,6874978,6933521,7007504,6938668,"$82,170,166,267","$11,842"
2005,3,547263,6979485,6986732,6987826,6984681,"$85,720,164,142","$12,273"
2005,4,551627,6996052,7032495,7067313,7031953,"$98,224,675,699","$13,968"
2004,Annual,536573,,,,6856764,"$348,279,801,150","$50,794"
2004,1,529262,6639880,6657437,6725520,6674279,"$95,385,732,832","$14,292"
2004,2,534295,6770086,6862312,6935855,6856084,"$78,176,196,125","$11,402"
2004,3,539271,6923567,6919819,6915079,6919488,"$80,158,928,199","$11,585"
2004,4,543463,6953342,6974187,7004086,6977205,"$94,558,943,994","$13,553"
2003,Annual,530527,,,,6801127,"$325,959,491,906","$47,927"
2003,1,525286,6665616,6657948,6697995,6673853,"$87,296,301,160","$13,080"
2003,2,527900,6734331,6819839,6874298,6809489,"$75,276,749,971","$11,055"
2003,3,531748,6833440,6836796,6829969,6833402,"$75,031,055,029","$10,980"
2003,4,537174,6867636,6888203,6907458,6887766,"$88,355,385,746","$12,828"
2002,Annual,529790,,,,6848949,"$322,109,616,510","$47,031"
2002,1,525402,6700990,6707541,6753421,6720651,"$90,033,210,552","$13,397"
2002,2,528175,6795354,6875255,6932771,6867793,"$74,880,960,809","$10,903"
2002,3,530969,6887210,6896050,6873460,6885573,"$73,539,501,537","$10,680"
2002,4,534612,6906191,6921371,6937769,6921777,"$83,655,943,612","$12,086"
2001,Annual,529881,,,,7018138,"$334,501,183,509","$47,662"
2001,1,527715,6964261,6965834,7002431,6977509,"$98,353,125,819","$14,096"
2001,2,525433,7000546,7092295,7156106,7082982,"$76,605,326,176","$10,815"
2001,3,532982,7066755,7055174,6976713,7032881,"$74,563,103,023","$10,602"
2001,4,533393,6966249,6978654,6992632,6979178,"$84,979,628,491","$12,176"
2000,Annual,520547,,,,7073055,"$326,949,854,155","$46,225"
2000,1,518181,6849713,6867619,6924031,6880454,"$89,906,554,292","$13,067"
2000,2,519002,6984724,7057105,7154873,7065567,"$74,331,327,840","$10,520"
2000,3,522733,7120364,7121372,7146108,7129281,"$74,701,435,163","$10,478"
2000,4,522272,7181304,7216147,7253294,7216915,"$88,010,536,860","$12,195"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
