Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,3029,,,,27314,"$1,129,352,819","$41,347"
2021(p),1,3027,22892,22893,24089,23291,"$229,237,811","$9,842"
2021(p),2,3029,26283,27703,28559,27515,"$277,866,053","$10,099"
2021(p),3,3034,29118,29417,31718,30084,"$302,181,457","$10,045"
2021(p),4,3024,32249,27476,25374,28366,"$320,067,498","$11,283"
2020,Annual,3000,,,,26750,"$1,064,744,650","$39,804"
2020,1,2943,22872,22947,24102,23307,"$226,828,672","$9,732"
2020,2,3008,24123,26243,27627,25998,"$253,621,214","$9,755"
2020,3,3014,28064,28526,31839,29476,"$281,162,652","$9,539"
2020,4,3035,32051,27402,25203,28219,"$303,132,112","$10,742"
2019,Annual,2709,,,,27097,"$1,035,744,615","$38,224"
2019,1,2680,21725,21860,22943,22176,"$209,902,846","$9,465"
2019,2,2710,25169,26544,27868,26527,"$249,999,684","$9,424"
2019,3,2695,28758,29294,33488,30513,"$284,002,621","$9,308"
2019,4,2749,34758,28129,24623,29170,"$291,839,464","$10,005"
2018,Annual,2693,,,,27077,"$988,063,142","$36,491"
2018,1,2668,21776,21978,23140,22298,"$202,258,382","$9,071"
2018,2,2690,24888,26799,27934,26540,"$240,098,027","$9,047"
2018,3,2712,28718,29447,33844,30670,"$271,484,073","$8,852"
2018,4,2700,34539,27674,24183,28799,"$274,222,660","$9,522"
2017,Annual,2651,,,,26466,"$930,101,718","$35,143"
2017,1,2634,21178,21226,22252,21552,"$188,887,354","$8,764"
2017,2,2649,24531,26099,27320,25983,"$222,718,815","$8,572"
2017,3,2665,28214,29148,33271,30211,"$258,769,756","$8,565"
2017,4,2655,34088,26326,23938,28117,"$259,725,793","$9,237"
2016,Annual,2607,,,,25862,"$873,035,440","$33,757"
2016,1,2599,21017,21028,22216,21420,"$173,570,381","$8,103"
2016,2,2605,24000,25609,26522,25377,"$210,476,874","$8,294"
2016,3,2612,27157,27898,31937,28997,"$244,333,835","$8,426"
2016,4,2613,32399,27317,23246,27654,"$244,654,350","$8,847"
2015,Annual,2590,,,,25661,"$841,433,149","$32,790"
2015,1,2576,20767,20576,21609,20984,"$162,597,189","$7,749"
2015,2,2587,23801,25839,26310,25317,"$202,732,832","$8,008"
2015,3,2600,27399,27977,31650,29009,"$227,669,753","$7,848"
2015,4,2596,32088,26398,23523,27336,"$248,433,375","$9,088"
2014,Annual,2511,,,,25320,"$791,083,905","$31,243"
2014,1,2474,19971,20116,21201,20429,"$154,714,713","$7,573"
2014,2,2504,23377,25026,25903,24769,"$189,814,242","$7,663"
2014,3,2524,27010,27937,31546,28831,"$215,574,635","$7,477"
2014,4,2543,32279,26190,23289,27253,"$230,980,315","$8,475"
2013,Annual,2506,,,,24269,"$746,413,219","$30,756"
2013,1,2490,19175,19245,20154,19525,"$144,321,712","$7,392"
2013,2,2511,22180,23870,24534,23528,"$178,435,365","$7,584"
2013,3,2513,25913,27013,30642,27856,"$205,511,602","$7,378"
2013,4,2509,30614,25529,22360,26168,"$218,144,540","$8,336"
2012,Annual,2460,,,,23155,"$700,360,379","$30,247"
2012,1,2436,18854,18990,20586,19477,"$142,746,486","$7,329"
2012,2,2458,22520,23458,24295,23424,"$171,512,048","$7,322"
2012,3,2480,24820,25553,28109,26161,"$186,063,332","$7,112"
2012,4,2467,26734,22827,21112,23558,"$200,038,513","$8,491"
2011,Annual,2426,,,,22891,"$677,349,296","$29,590"
2011,1,2401,18348,18422,19445,18738,"$132,864,359","$7,091"
2011,2,2428,21565,23044,23868,22826,"$163,660,789","$7,170"
2011,3,2437,24621,25326,28571,26173,"$190,755,594","$7,288"
2011,4,2438,27520,23115,20847,23827,"$190,068,554","$7,977"
2010,Annual,2389,,,,22592,"$655,898,409","$29,032"
2010,1,2365,18130,18124,19182,18479,"$125,766,249","$6,806"
2010,2,2384,21691,22838,23490,22673,"$158,138,341","$6,975"
2010,3,2392,24381,25277,28413,26024,"$182,503,660","$7,013"
2010,4,2414,26618,22355,20604,23192,"$189,490,159","$8,170"
2009,Annual,2373,,,,22650,"$640,417,560","$28,275"
2009,1,2361,18191,18226,19290,18569,"$127,346,470","$6,858"
2009,2,2371,21574,22843,23368,22595,"$154,372,798","$6,832"
2009,3,2376,24284,24978,28102,25788,"$172,892,741","$6,704"
2009,4,2384,27250,22982,20706,23646,"$185,805,551","$7,858"
2008,Annual,2364,,,,22463,"$626,582,733","$27,894"
2008,1,2334,18273,18328,19325,18642,"$127,297,684","$6,829"
2008,2,2360,21540,22826,23194,22520,"$152,085,226","$6,753"
2008,3,2377,23959,24748,27459,25389,"$169,280,354","$6,667"
2008,4,2386,26771,22527,20608,23302,"$177,919,469","$7,635"
2007,Annual,2293,,,,21814,"$594,188,739","$27,239"
2007,1,2270,17494,17490,18476,17820,"$119,152,342","$6,686"
2007,2,2291,20281,22018,22575,21625,"$142,483,519","$6,589"
2007,3,2308,23426,24247,26726,24800,"$159,858,349","$6,446"
2007,4,2301,26302,22742,19989,23011,"$172,694,529","$7,505"
2006,Annual,2227,,,,21595,"$562,709,031","$26,057"
2006,1,2214,17360,17459,18496,17772,"$113,709,622","$6,398"
2006,2,2233,20519,21715,22247,21494,"$136,625,824","$6,356"
2006,3,2232,23076,23812,26402,24430,"$153,507,083","$6,284"
2006,4,2230,26029,22066,19956,22684,"$158,866,502","$7,003"
2005,Annual,2204,,,,21928,"$540,349,946","$24,642"
2005,1,2187,17527,17515,18462,17835,"$106,005,597","$5,944"
2005,2,2205,20822,22083,22525,21810,"$132,361,316","$6,069"
2005,3,2195,23399,24304,26655,24786,"$151,641,425","$6,118"
2005,4,2228,26363,23229,20248,23280,"$150,341,608","$6,458"
2004,Annual,2205,,,,22048,"$531,868,532","$24,123"
2004,1,2184,17375,17401,18526,17767,"$103,357,263","$5,817"
2004,2,2213,20725,22186,22803,21905,"$128,470,896","$5,865"
2004,3,2212,23790,24446,26968,25068,"$146,106,931","$5,828"
2004,4,2212,26848,22963,20539,23450,"$153,933,442","$6,564"
2003,Annual,2225,,,,21285,"$493,782,420","$23,199"
2003,1,2239,16854,16909,17921,17228,"$97,058,308","$5,634"
2003,2,2223,19634,21408,21837,20960,"$118,553,295","$5,656"
2003,3,2220,22850,23891,25749,24163,"$134,497,615","$5,566"
2003,4,2217,26380,22318,19663,22787,"$143,673,202","$6,305"
2002,Annual,2256,,,,21151,"$477,565,380","$22,579"
2002,1,2234,16925,17074,18387,17462,"$96,013,346","$5,498"
2002,2,2255,20288,21548,22057,21298,"$117,879,887","$5,535"
2002,3,2262,22891,23775,25338,24001,"$129,226,861","$5,384"
2002,4,2271,25037,21395,19100,21844,"$134,445,286","$6,155"
2001,Annual,2272,,,,21495,"$471,477,615","$21,934"
2001,1,2281,16874,16981,17972,17276,"$91,938,763","$5,322"
2001,2,2272,19974,21633,22317,21308,"$112,871,664","$5,297"
2001,3,2278,23790,24690,26702,25061,"$130,144,381","$5,193"
2001,4,2257,25791,21674,19546,22337,"$136,522,807","$6,112"
2000,Annual,2264,,,,21238,"$440,701,954","$20,751"
2000,1,2276,16511,16624,17932,17022,"$86,958,222","$5,109"
2000,2,2257,19813,21237,21945,20998,"$105,136,459","$5,007"
2000,3,2271,23353,24183,26723,24753,"$121,612,481","$4,913"
2000,4,2252,25697,21409,19430,22179,"$126,994,792","$5,726"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
