Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,687,,,,35286,"$4,987,190,037","$141,336"
2021(p),1,681,35653,35644,35625,35641,"$1,346,654,033","$37,784"
2021(p),2,686,34754,34730,35213,34899,"$1,315,069,919","$37,682"
2021(p),3,689,35434,35415,35168,35339,"$1,166,021,728","$32,995"
2021(p),4,693,35209,35257,35329,35265,"$1,159,444,357","$32,878"
2020,Annual,676,,,,36192,"$4,809,207,865","$132,880"
2020,1,678,36738,36770,36664,36724,"$1,296,672,168","$35,309"
2020,2,678,36464,36175,36225,36288,"$1,143,314,905","$31,507"
2020,3,673,36119,36048,35823,35997,"$1,200,838,351","$33,359"
2020,4,674,35778,35729,35774,35760,"$1,168,382,441","$32,673"
2019,Annual,658,,,,37030,"$4,683,113,080","$126,468"
2019,1,653,37180,37228,37007,37138,"$1,249,584,923","$33,647"
2019,2,659,37137,37162,37324,37208,"$1,207,027,944","$32,440"
2019,3,662,37049,37041,36652,36914,"$1,109,485,033","$30,056"
2019,4,657,36859,36740,36979,36859,"$1,117,015,180","$30,305"
2018,Annual,650,,,,37600,"$4,655,527,850","$123,817"
2018,1,648,37877,37883,37820,37860,"$1,289,763,662","$34,067"
2018,2,646,37627,37406,37648,37560,"$1,177,484,086","$31,349"
2018,3,652,37796,37695,37258,37583,"$1,076,831,574","$28,652"
2018,4,653,37437,37319,37435,37397,"$1,111,448,528","$29,720"
2017,Annual,636,,,,37950,"$4,559,608,344","$120,148"
2017,1,615,37622,37612,37794,37676,"$1,217,972,838","$32,328"
2017,2,636,37866,37785,38188,37946,"$1,201,776,665","$31,671"
2017,3,648,38310,38286,37946,38181,"$1,036,101,587","$27,137"
2017,4,646,37953,37950,38083,37995,"$1,103,757,254","$29,050"
2016,Annual,595,,,,37399,"$4,279,716,163","$114,434"
2016,1,588,37202,37166,37233,37200,"$1,146,826,338","$30,829"
2016,2,600,37327,37291,37696,37438,"$1,067,212,287","$28,506"
2016,3,594,37721,37680,37372,37591,"$1,028,841,918","$27,369"
2016,4,596,37258,37287,37555,37367,"$1,036,835,620","$27,747"
2015,Annual,581,,,,38141,"$4,220,115,228","$110,645"
2015,1,575,37776,37888,37924,37863,"$1,135,166,860","$29,981"
2015,2,574,38086,38096,38329,38170,"$1,045,467,853","$27,390"
2015,3,588,38543,38501,38101,38382,"$1,006,401,646","$26,221"
2015,4,587,38086,38189,38169,38148,"$1,033,078,869","$27,081"
2014,Annual,566,,,,37523,"$4,049,679,914","$107,925"
2014,1,558,36983,37095,37318,37132,"$1,063,446,435","$28,640"
2014,2,563,37135,37377,37723,37412,"$1,033,610,424","$27,628"
2014,3,566,37893,37941,37626,37820,"$963,979,616","$25,489"
2014,4,578,37672,37776,37738,37729,"$988,643,439","$26,204"
2013,Annual,532,,,,36006,"$3,826,062,848","$106,262"
2013,1,503,36094,35911,36035,36013,"$980,339,204","$27,222"
2013,2,499,35791,35865,36133,35930,"$999,952,061","$27,831"
2013,3,556,36232,36209,36037,36159,"$937,741,441","$25,934"
2013,4,571,35987,35981,35801,35923,"$908,030,142","$25,277"
2012,Annual,488,,,,35855,"$3,952,603,670","$110,239"
2012,1,449,36652,36568,36620,36613,"$995,829,997","$27,199"
2012,2,501,36535,36430,36693,36553,"$1,016,021,195","$27,796"
2012,3,504,29815,36626,36167,34203,"$904,440,253","$26,443"
2012,4,498,35951,36120,36079,36050,"$1,036,312,225","$28,747"
2011,Annual,451,,,,37126,"$3,820,879,302","$102,917"
2011,1,447,37562,37399,37490,37484,"$942,700,732","$25,149"
2011,2,456,37520,37345,37446,37437,"$1,018,781,170","$27,213"
2011,3,455,37305,37128,36945,37126,"$950,801,534","$25,610"
2011,4,444,36496,36493,36387,36459,"$908,595,866","$24,921"
2010,Annual,451,,,,38199,"$3,741,011,627","$97,935"
2010,1,452,38803,38565,38548,38639,"$945,045,183","$24,458"
2010,2,449,38383,38347,38266,38332,"$1,001,323,434","$26,122"
2010,3,453,38201,38162,37899,38087,"$878,241,584","$23,059"
2010,4,451,37815,37717,37683,37738,"$916,401,426","$24,283"
2009,Annual,455,,,,39296,"$3,633,650,645","$92,469"
2009,1,448,39107,39054,39155,39105,"$841,490,836","$21,519"
2009,2,453,39255,39379,39523,39386,"$985,147,427","$25,013"
2009,3,460,39482,39494,39323,39433,"$879,327,893","$22,299"
2009,4,458,39323,39225,39229,39259,"$927,684,489","$23,630"
2008,Annual,436,,,,38771,"$3,644,369,583","$93,997"
2008,1,430,38311,38247,38365,38308,"$937,318,915","$24,468"
2008,2,433,38393,38472,39313,38726,"$927,906,752","$23,961"
2008,3,440,38997,39014,38868,38960,"$863,335,663","$22,160"
2008,4,440,38948,39147,39180,39092,"$915,808,253","$23,427"
2007,Annual,426,,,,38521,"$3,568,581,836","$92,640"
2007,1,420,38337,38325,38329,38330,"$948,000,015","$24,733"
2007,2,425,38290,38349,38790,38476,"$875,741,973","$22,761"
2007,3,432,38815,38913,38557,38762,"$872,695,922","$22,514"
2007,4,426,38486,38496,38563,38515,"$872,143,926","$22,644"
2006,Annual,370,,,,38812,"$3,402,305,711","$87,661"
2006,1,370,38855,38723,38831,38803,"$912,833,056","$23,525"
2006,2,368,38810,38821,39330,38987,"$805,138,202","$20,651"
2006,3,368,39082,38940,38686,38903,"$818,465,117","$21,039"
2006,4,374,38542,38553,38572,38556,"$865,869,336","$22,457"
2005,Annual,381,,,,39175,"$3,261,228,985","$83,248"
2005,1,384,39098,39032,39112,39081,"$854,039,418","$21,853"
2005,2,395,39244,39188,39477,39303,"$803,307,470","$20,439"
2005,3,370,39383,39340,39094,39272,"$806,526,094","$20,537"
2005,4,375,39000,39022,39113,39045,"$797,356,003","$20,421"
2004,Annual,378,,,,39250,"$3,246,781,077","$82,721"
2004,1,372,39744,39468,39334,39515,"$885,149,885","$22,400"
2004,2,384,39250,39139,39417,39269,"$779,824,553","$19,859"
2004,3,379,39344,39201,39035,39193,"$774,666,130","$19,765"
2004,4,376,39006,38964,39103,39024,"$807,140,509","$20,683"
2003,Annual,374,,,,40928,"$3,232,083,932","$78,970"
2003,1,373,41582,41722,41932,41745,"$883,655,749","$21,168"
2003,2,373,41151,41066,41058,41092,"$792,775,652","$19,293"
2003,3,376,40910,40841,40646,40799,"$761,185,350","$18,657"
2003,4,374,40215,40080,39933,40076,"$794,467,181","$19,824"
2002,Annual,371,,,,42320,"$3,293,547,997","$77,825"
2002,1,365,42473,42505,42651,42543,"$872,125,879","$20,500"
2002,2,371,42456,42533,42725,42571,"$810,753,934","$19,045"
2002,3,374,42212,42213,42110,42178,"$793,929,135","$18,823"
2002,4,373,41979,41971,42010,41987,"$816,739,049","$19,452"
2001,Annual,355,,,,42708,"$3,004,674,806","$70,354"
2001,1,359,42509,42524,42745,42593,"$816,783,737","$19,176"
2001,2,355,42492,42730,43216,42813,"$735,620,926","$17,182"
2001,3,353,42961,42915,42748,42875,"$712,060,323","$16,608"
2001,4,351,42560,42556,42540,42552,"$740,209,820","$17,395"
2000,Annual,353,,,,41277,"$2,936,293,842","$71,136"
2000,1,353,40996,41173,41345,41171,"$756,653,637","$18,378"
2000,2,353,41118,41209,41566,41298,"$724,631,063","$17,546"
2000,3,355,41341,41366,41251,41319,"$703,037,187","$17,015"
2000,4,352,41208,41289,41465,41321,"$751,971,955","$18,198"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
