Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,51292,,,,373917,"$29,944,894,359","$80,084"
2021(p),1,50171,349992,342083,356338,349471,"$6,500,216,353","$18,600"
2021(p),2,50090,369759,377813,382421,376664,"$7,278,188,000","$19,323"
2021(p),3,52675,387053,388043,386366,387154,"$7,632,866,683","$19,715"
2021(p),4,52233,387227,384944,374962,382378,"$8,533,623,323","$22,317"
2020,Annual,50928,,,,361997,"$28,297,441,782","$78,170"
2020,1,51023,381900,381195,382782,381959,"$7,011,547,029","$18,357"
2020,2,50923,244382,306320,359522,303408,"$5,564,580,723","$18,340"
2020,3,51051,377189,387817,384922,383309,"$7,375,065,991","$19,241"
2020,4,50716,384484,381628,371821,379311,"$8,346,248,039","$22,004"
2019,Annual,50540,,,,405763,"$30,660,930,756","$75,564"
2019,1,50285,380590,380545,385724,382286,"$6,909,405,027","$18,074"
2019,2,50758,401608,411295,417531,410145,"$7,425,109,108","$18,104"
2019,3,50633,422559,424164,419409,422044,"$7,781,362,984","$18,437"
2019,4,50484,416786,409831,399119,408579,"$8,545,053,637","$20,914"
2018,Annual,50261,,,,399716,"$29,276,220,170","$73,243"
2018,1,50119,363639,367640,373543,368274,"$6,461,616,176","$17,546"
2018,2,50368,388544,404759,413951,402418,"$7,081,211,585","$17,597"
2018,3,50477,418380,419026,415427,417611,"$7,448,207,062","$17,835"
2018,4,50081,418431,410993,402261,410562,"$8,285,185,347","$20,180"
2017,Annual,50126,,,,386915,"$27,619,975,451","$71,385"
2017,1,49745,356147,354726,359464,356779,"$6,073,338,322","$17,023"
2017,2,50217,376533,390259,398912,388568,"$6,598,289,821","$16,981"
2017,3,50510,404513,406829,403442,404928,"$6,969,882,385","$17,213"
2017,4,50032,403723,399999,388437,397386,"$7,978,464,923","$20,077"
2016,Annual,48769,,,,375430,"$26,330,157,497","$70,133"
2016,1,48194,345010,340140,350826,345325,"$5,633,265,047","$16,313"
2016,2,48863,368579,380081,387155,378605,"$6,312,401,440","$16,673"
2016,3,49048,393778,396142,391723,393881,"$6,854,214,867","$17,402"
2016,4,48971,391277,386730,373719,383909,"$7,530,276,143","$19,615"
2015,Annual,47190,,,,359389,"$24,300,390,539","$67,616"
2015,1,47231,322523,315726,325313,321187,"$4,881,261,881","$15,198"
2015,2,47453,347741,365346,373439,362175,"$5,804,868,887","$16,028"
2015,3,47282,379926,382299,376503,379576,"$6,306,586,289","$16,615"
2015,4,46793,380375,376480,366994,374616,"$7,307,673,482","$19,507"
2014,Annual,46477,,,,341035,"$22,284,311,456","$65,343"
2014,1,45985,302236,296500,306545,301760,"$4,584,047,302","$15,191"
2014,2,46453,326825,344230,353600,341552,"$5,314,230,537","$15,559"
2014,3,46724,362881,365243,361638,363254,"$5,789,163,656","$15,937"
2014,4,46744,364125,359598,348993,357572,"$6,596,869,961","$18,449"
2013,Annual,47157,,,,326098,"$20,701,733,035","$63,483"
2013,1,46877,298568,293898,300049,297505,"$4,540,248,826","$15,261"
2013,2,47309,315841,329452,335712,327002,"$4,928,321,389","$15,071"
2013,3,47387,343133,346242,341690,343688,"$5,268,132,216","$15,328"
2013,4,47054,343875,338751,325967,336198,"$5,965,030,604","$17,743"
2012,Annual,46680,,,,312797,"$19,578,269,113","$62,591"
2012,1,46517,286941,282992,290699,286877,"$4,310,351,559","$15,025"
2012,2,46783,303699,313696,323741,313712,"$4,659,477,764","$14,853"
2012,3,46880,329647,332429,328121,330066,"$4,980,846,444","$15,090"
2012,4,46538,325833,320085,315678,320532,"$5,627,593,346","$17,557"
2011,Annual,47008,,,,306959,"$18,876,351,529","$61,495"
2011,1,46893,271841,269200,277636,272892,"$3,956,055,614","$14,497"
2011,2,47070,294618,308908,318421,307316,"$4,479,761,496","$14,577"
2011,3,47320,328848,332730,327857,329812,"$5,017,622,772","$15,214"
2011,4,46749,324560,320073,308811,317815,"$5,422,911,647","$17,063"
2010,Annual,47962,,,,305691,"$18,423,443,908","$60,268"
2010,1,47725,279018,271919,280022,276986,"$3,895,694,227","$14,065"
2010,2,48104,301614,310055,317209,309626,"$4,393,729,509","$14,190"
2010,3,48082,324808,328591,323618,325672,"$4,805,823,715","$14,757"
2010,4,47935,318913,313764,298766,310481,"$5,328,196,457","$17,161"
2009,Annual,48816,,,,323159,"$19,335,952,877","$59,834"
2009,1,49039,309217,303680,306128,306342,"$4,239,629,081","$13,840"
2009,2,48937,317120,328617,334523,326753,"$4,581,070,415","$14,020"
2009,3,48828,341088,341333,334089,338837,"$4,948,195,011","$14,603"
2009,4,48461,329857,323095,309156,320703,"$5,567,058,370","$17,359"
2008,Annual,50514,,,,359055,"$21,228,308,373","$59,123"
2008,1,49633,333600,329079,334006,332228,"$4,621,630,213","$13,911"
2008,2,50459,350931,365863,372591,363128,"$5,041,739,312","$13,884"
2008,3,51021,379513,382940,376987,379813,"$5,449,611,167","$14,348"
2008,4,50942,374270,363349,345529,361049,"$6,115,327,681","$16,938"
2007,Annual,48621,,,,351681,"$19,655,144,367","$55,889"
2007,1,47918,317940,309662,318091,315231,"$4,137,859,296","$13,126"
2007,2,48667,336637,355597,367326,353187,"$4,658,071,640","$13,189"
2007,3,48923,370019,373707,371132,371619,"$5,018,423,689","$13,504"
2007,4,48976,372695,369065,358299,366686,"$5,840,789,742","$15,929"
2006,Annual,47414,,,,335711,"$17,755,997,104","$52,891"
2006,1,46354,301419,298282,306114,301938,"$3,801,956,875","$12,592"
2006,2,47666,324874,339038,349233,337715,"$4,230,371,911","$12,526"
2006,3,47691,351257,356839,354212,354103,"$4,504,186,202","$12,720"
2006,4,47946,354266,349630,343362,349086,"$5,219,482,116","$14,952"
2005,Annual,45138,,,,323456,"$16,316,452,534","$50,444"
2005,1,44558,293405,288415,293120,291647,"$3,436,393,024","$11,783"
2005,2,44886,313126,326951,336071,325383,"$3,881,278,524","$11,928"
2005,3,44999,339563,344755,342774,342364,"$4,313,910,229","$12,600"
2005,4,46109,337759,338226,327312,334432,"$4,684,870,757","$14,008"
2004,Annual,44262,,,,320282,"$15,752,791,679","$49,184"
2004,1,42963,284639,282578,291772,286330,"$3,319,978,152","$11,595"
2004,2,44377,308424,323758,332995,321726,"$3,800,731,212","$11,814"
2004,3,44695,339430,342221,339995,340549,"$4,105,321,368","$12,055"
2004,4,45014,337980,334416,325175,332524,"$4,526,760,947","$13,613"
2003,Annual,43221,,,,316553,"$15,435,416,575","$48,761"
2003,1,42866,288551,283125,289832,287169,"$3,283,185,006","$11,433"
2003,2,42957,304918,320317,328333,317856,"$3,706,620,415","$11,661"
2003,3,43158,335204,337518,334626,335783,"$3,996,107,401","$11,901"
2003,4,43903,331869,326746,317591,325402,"$4,449,503,753","$13,674"
2002,Annual,43090,,,,319798,"$15,260,978,242","$47,721"
2002,1,42231,292584,290082,295590,292752,"$3,349,904,986","$11,443"
2002,2,42912,309321,321749,329652,320241,"$3,646,987,412","$11,388"
2002,3,43443,336033,340146,335915,337365,"$3,926,276,804","$11,638"
2002,4,43772,335233,330428,320843,328835,"$4,337,809,040","$13,191"
2001,Annual,43448,,,,329265,"$15,342,720,790","$46,597"
2001,1,43171,301342,299298,305289,301976,"$3,377,057,933","$11,183"
2001,2,43311,321185,338202,346962,335450,"$3,738,348,638","$11,144"
2001,3,43862,346581,347903,341378,345287,"$3,859,790,181","$11,178"
2001,4,43446,340335,335775,326935,334348,"$4,367,524,038","$13,063"
2000,Annual,42968,,,,325325,"$14,371,117,271","$44,175"
2000,1,42870,288185,285505,297807,290499,"$3,064,139,743","$10,548"
2000,2,43014,310688,325380,336355,324141,"$3,395,629,718","$10,476"
2000,3,43254,341177,345839,346456,344491,"$3,673,162,958","$10,663"
2000,4,42734,346449,344466,335596,342170,"$4,238,184,852","$12,386"
