Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,32073,,,,294669,"$29,654,844,840","$100,638"
2021(p),1,32537,287459,288305,289984,288583,"$6,981,938,162","$24,194"
2021(p),2,32246,291134,292294,294338,292589,"$6,954,633,398","$23,769"
2021(p),3,31932,296623,296809,295491,296308,"$7,133,564,381","$24,075"
2021(p),4,31577,299733,301391,302461,301195,"$8,584,708,899","$28,502"
2020,Annual,33508,,,,294705,"$27,827,760,053","$94,426"
2020,1,33811,323098,322997,320191,322095,"$7,617,241,319","$23,649"
2020,2,33586,267891,275133,283912,275645,"$6,054,510,754","$21,965"
2020,3,33484,286061,289004,289562,288209,"$6,424,315,713","$22,290"
2020,4,33152,292319,292807,293479,292868,"$7,731,692,267","$26,400"
2019,Annual,34180,,,,326020,"$28,891,472,269","$88,619"
2019,1,34392,325203,325107,325815,325375,"$7,379,142,686","$22,679"
2019,2,34415,325323,326232,328600,326718,"$7,042,923,700","$21,557"
2019,3,34092,327967,326457,324891,326438,"$6,840,639,145","$20,955"
2019,4,33819,325201,325604,325837,325547,"$7,628,766,738","$23,434"
2018,Annual,35248,,,,329946,"$28,504,068,609","$86,390"
2018,1,35539,327778,328055,328809,328214,"$7,228,542,592","$22,024"
2018,2,35365,328464,329886,332304,330218,"$6,971,432,665","$21,112"
2018,3,35200,332279,330971,329126,330792,"$6,758,211,488","$20,430"
2018,4,34887,329706,330669,331302,330559,"$7,545,881,864","$22,828"
2017,Annual,36211,,,,338098,"$28,558,988,450","$84,470"
2017,1,36169,333625,334169,335143,334312,"$7,290,210,914","$21,807"
2017,2,36343,336217,338204,341114,338512,"$6,697,684,374","$19,786"
2017,3,36366,340384,339957,339036,339792,"$6,766,039,371","$19,912"
2017,4,35966,338788,339809,340734,339777,"$7,805,053,791","$22,971"
2016,Annual,35491,,,,337221,"$27,910,969,429","$82,768"
