Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,69842,,,,825002,"$36,850,805,285","$44,668"
2021(p),1,70269,814290,801052,803415,806252,"$8,251,603,414","$10,235"
2021(p),2,69506,806532,815004,824415,815317,"$9,021,398,233","$11,065"
2021(p),3,70038,824798,824261,817333,822131,"$9,028,371,363","$10,982"
2021(p),4,69555,840299,860162,868466,856309,"$10,549,432,275","$12,320"
2020,Annual,71972,,,,800750,"$33,489,569,570","$41,823"
2020,1,72869,902721,885769,877927,888806,"$8,789,414,856","$9,889"
2020,2,72020,637693,670956,735421,681357,"$7,078,391,821","$10,389"
2020,3,71807,784409,798920,803118,795482,"$8,177,271,642","$10,280"
2020,4,71193,820656,839592,851818,837355,"$9,444,491,251","$11,279"
2019,Annual,73794,,,,913829,"$35,132,744,327","$38,446"
2019,1,73958,917951,898521,899481,905318,"$8,632,116,749","$9,535"
2019,2,74121,904031,909666,918400,910699,"$8,683,580,499","$9,535"
2019,3,73790,913567,909718,901040,908108,"$8,576,845,408","$9,445"
2019,4,73305,911799,938143,943629,931190,"$9,240,201,671","$9,923"
2018,Annual,75225,,,,930122,"$33,977,901,008","$36,531"
2018,1,75861,931401,915874,913480,920252,"$8,362,616,704","$9,087"
2018,2,75434,916817,927176,935612,926535,"$8,374,200,191","$9,038"
2018,3,75049,930224,927860,918748,925611,"$8,304,274,355","$8,972"
2018,4,74557,926548,956425,961297,948090,"$8,936,809,758","$9,426"
2017,Annual,76968,,,,936883,"$32,914,344,133","$35,132"
2017,1,77036,935854,915749,913688,921764,"$8,061,255,480","$8,745"
2017,2,77217,921635,931555,940671,931287,"$7,932,253,211","$8,518"
2017,3,77100,937396,935570,927719,933562,"$8,066,193,350","$8,640"
2017,4,76520,939419,967529,975815,960921,"$8,854,642,092","$9,215"
2016,Annual,75862,,,,939962,"$31,865,414,911","$33,901"
2016,1,75464,932873,917588,918418,922960,"$7,518,166,882","$8,146"
2016,2,75882,926261,931754,942544,933520,"$7,790,653,767","$8,345"
2016,3,76078,940355,939913,932868,937712,"$8,047,454,579","$8,582"
2016,4,76025,945701,971100,980173,965658,"$8,509,139,683","$8,812"
2015,Annual,74609,,,,941968,"$31,496,138,928","$33,437"
2015,1,75095,935494,918772,919302,924523,"$7,371,387,362","$7,973"
2015,2,74879,924401,937038,948934,936791,"$7,673,122,648","$8,191"
2015,3,74653,943183,942965,936261,940803,"$7,634,961,766","$8,115"
2015,4,73808,945343,972500,979425,965756,"$8,816,667,152","$9,129"
2014,Annual,74183,,,,937709,"$30,465,303,873","$32,489"
2014,1,73847,922555,907221,909322,913033,"$7,295,125,037","$7,990"
2014,2,74523,916561,926281,940917,927920,"$7,377,251,060","$7,950"
2014,3,74152,938088,940748,934392,937743,"$7,461,105,602","$7,956"
2014,4,74208,949081,976919,990426,972142,"$8,331,822,174","$8,571"
2013,Annual,75073,,,,923421,"$29,046,672,388","$31,456"
2013,1,74997,905774,889720,893429,896308,"$7,021,461,757","$7,834"
2013,2,75311,900386,912048,926968,913134,"$7,082,027,730","$7,756"
2013,3,75091,925268,926158,921749,924392,"$7,105,170,746","$7,686"
2013,4,74891,933624,966414,979515,959851,"$7,838,012,155","$8,166"
2012,Annual,74487,,,,909474,"$27,961,001,698","$30,744"
2012,1,74293,902220,881971,884139,889443,"$6,822,025,187","$7,670"
2012,2,74546,887582,901579,913656,900939,"$6,776,413,918","$7,522"
2012,3,74689,908575,909406,905771,907917,"$6,810,977,135","$7,502"
2012,4,74419,916600,945247,956947,939598,"$7,551,585,458","$8,037"
2011,Annual,73414,,,,890111,"$26,934,488,446","$30,260"
2011,1,73433,874645,859617,859742,864668,"$6,270,961,846","$7,252"
2011,2,73304,870028,877880,891933,879947,"$6,568,870,564","$7,465"
2011,3,73670,889486,893258,888848,890531,"$6,800,881,767","$7,637"
2011,4,73248,901358,928987,945550,925298,"$7,293,774,269","$7,883"
2010,Annual,73095,,,,873596,"$25,842,528,318","$29,582"
2010,1,72876,856887,840276,844275,847146,"$5,951,297,656","$7,025"
2010,2,73068,854814,864337,879775,866309,"$6,309,507,540","$7,283"
2010,3,73071,876689,878664,871750,875701,"$6,412,055,225","$7,322"
2010,4,73363,885813,907536,922339,905229,"$7,169,667,897","$7,920"
2009,Annual,72712,,,,860585,"$25,130,778,839","$29,202"
2009,1,73045,862040,842999,839676,848238,"$5,974,839,558","$7,044"
2009,2,72712,836609,851093,863895,850532,"$6,032,095,902","$7,092"
2009,3,72715,857780,858626,856971,857792,"$6,155,801,847","$7,176"
2009,4,72375,865789,888086,903461,885779,"$6,968,041,532","$7,867"
2008,Annual,74182,,,,894278,"$26,396,969,802","$29,518"
2008,1,73857,897128,874404,877076,882869,"$6,418,014,606","$7,269"
2008,2,74104,878190,886953,898518,887887,"$6,492,010,321","$7,312"
2008,3,74388,895193,894918,890520,893544,"$6,498,782,288","$7,273"
2008,4,74379,897584,914334,926515,912811,"$6,988,162,587","$7,656"
2007,Annual,72833,,,,892802,"$26,068,593,523","$29,199"
2007,1,72746,885354,862809,867089,871751,"$6,241,835,901","$7,160"
2007,2,73088,868755,883917,898709,883794,"$6,343,050,116","$7,177"
2007,3,72820,893675,890594,886965,890411,"$6,391,798,437","$7,178"
2007,4,72677,897122,930301,948333,925252,"$7,091,909,069","$7,665"
2006,Annual,71241,,,,878330,"$24,754,003,279","$28,183"
2006,1,71231,870775,848353,852978,857369,"$5,889,383,091","$6,869"
2006,2,71384,857855,866945,881027,868609,"$5,983,116,243","$6,888"
2006,3,71135,876247,875256,870577,874027,"$6,078,783,052","$6,955"
2006,4,71212,887160,917343,935442,913315,"$6,802,720,893","$7,448"
2005,Annual,71668,,,,875115,"$23,842,506,359","$27,245"
2005,1,71561,864138,847026,849723,853629,"$5,487,817,991","$6,429"
2005,2,71613,858108,866980,878913,868000,"$5,780,277,523","$6,659"
2005,3,71209,873833,875896,871475,873735,"$6,100,864,227","$6,983"
2005,4,72289,881221,904965,929096,905094,"$6,473,546,618","$7,152"
2004,Annual,71670,,,,863990,"$22,900,440,703","$26,505"
2004,1,70562,844178,830086,835246,836503,"$5,328,134,609","$6,370"
2004,2,71987,838161,853441,867084,852895,"$5,504,065,446","$6,453"
2004,3,71979,863620,865378,866035,865011,"$5,665,401,028","$6,550"
2004,4,72150,877681,901646,925328,901552,"$6,402,839,620","$7,102"
2003,Annual,71231,,,,852040,"$21,888,487,644","$25,690"
2003,1,71257,843638,825699,826762,832033,"$5,178,203,600","$6,224"
2003,2,71076,831322,841341,853769,842144,"$5,280,239,858","$6,270"
2003,3,71125,847082,850075,849507,848888,"$5,370,261,709","$6,326"
