Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,12410,,,,256682,"$14,828,281,133","$57,769"
2021(p),1,12422,249493,243769,245094,246119,"$3,246,392,582","$13,190"
2021(p),2,12339,245647,248408,253303,249119,"$3,541,038,151","$14,214"
2021(p),3,12495,241670,242394,255948,246671,"$3,627,033,898","$14,704"
2021(p),4,12382,270121,287233,297099,284818,"$4,413,816,502","$15,497"
2020,Annual,12612,,,,236304,"$13,090,041,184","$55,395"
2020,1,12660,274177,268028,268446,270217,"$3,664,179,486","$13,560"
2020,2,12587,197802,201850,205774,201809,"$2,781,844,681","$13,785"
2020,3,12614,205513,209791,229052,214785,"$2,950,153,135","$13,735"
2020,4,12585,246155,260671,268393,258406,"$3,693,863,882","$14,295"
2019,Annual,12539,,,,267287,"$14,228,526,573","$53,233"
2019,1,12542,265759,260906,261073,262579,"$3,549,844,619","$13,519"
2019,2,12599,261908,264442,268406,264919,"$3,464,791,802","$13,079"
2019,3,12522,254192,250632,269570,258131,"$3,429,488,014","$13,286"
2019,4,12491,273960,283145,293453,283519,"$3,784,402,138","$13,348"
2018,Annual,12600,,,,256499,"$13,442,561,048","$52,408"
2018,1,12610,254306,250737,251139,252061,"$3,371,859,235","$13,377"
2018,2,12608,252352,255829,258567,255583,"$3,252,524,785","$12,726"
2018,3,12611,242866,240947,259020,247611,"$3,200,614,895","$12,926"
2018,4,12571,264279,270217,277726,270741,"$3,617,562,133","$13,362"
2017,Annual,12675,,,,249641,"$12,704,407,896","$50,891"
2017,1,12621,247751,245530,246607,246629,"$3,250,947,710","$13,182"
2017,2,12728,243076,249511,251671,248086,"$3,093,366,913","$12,469"
2017,3,12714,236850,235826,254017,242231,"$2,998,272,978","$12,378"
2017,4,12635,255069,261223,268555,261616,"$3,361,820,295","$12,850"
2016,Annual,12340,,,,243544,"$12,154,141,336","$49,905"
2016,1,12252,241790,239770,241270,240943,"$3,008,516,011","$12,486"
2016,2,12340,244084,245052,246726,245287,"$2,930,047,151","$11,945"
2016,3,12396,230705,228509,246220,235145,"$2,964,920,795","$12,609"
2016,4,12372,247742,251743,258911,252799,"$3,250,657,379","$12,859"
2015,Annual,12010,,,,238827,"$11,511,836,677","$48,202"
2015,1,12021,236424,233850,234360,234878,"$2,782,751,992","$11,848"
2015,2,12083,235822,240537,242894,239751,"$2,797,719,151","$11,669"
2015,3,12037,227286,226311,242485,232027,"$2,711,884,451","$11,688"
2015,4,11900,243753,247742,254458,248651,"$3,219,481,083","$12,948"
2014,Annual,11795,,,,229819,"$10,879,998,760","$47,342"
2014,1,11637,226773,223847,225308,225309,"$2,658,010,226","$11,797"
2014,2,11823,227039,230998,232430,230156,"$2,718,386,608","$11,811"
2014,3,11856,218453,216121,233517,222697,"$2,543,568,140","$11,422"
2014,4,11863,236199,240427,246710,241112,"$2,960,033,786","$12,277"
2013,Annual,11865,,,,222134,"$10,328,117,052","$46,495"
2013,1,11904,220826,213835,220117,218259,"$2,490,955,661","$11,413"
2013,2,11882,221933,224127,225867,223976,"$2,542,049,106","$11,350"
2013,3,11864,210885,207466,226059,214803,"$2,409,322,400","$11,216"
2013,4,11810,228189,231038,235262,231496,"$2,885,789,885","$12,466"
2012,Annual,11861,,,,220691,"$10,035,818,366","$45,475"
2012,1,11855,218804,217908,219121,218611,"$2,461,255,398","$11,259"
2012,2,11903,219526,223018,225486,222677,"$2,494,626,657","$11,203"
2012,3,11870,208791,206916,224679,213462,"$2,379,154,372","$11,146"
2012,4,11817,224695,226053,233299,228016,"$2,700,781,939","$11,845"
2011,Annual,11836,,,,218630,"$9,724,435,506","$44,479"
2011,1,11778,217409,215686,216200,216432,"$2,344,092,117","$10,831"
2011,2,11846,218223,220817,223326,220789,"$2,405,119,095","$10,893"
2011,3,11919,207265,206235,222095,211865,"$2,371,024,571","$11,191"
2011,4,11802,222123,224925,229251,225433,"$2,604,199,723","$11,552"
2010,Annual,11710,,,,215197,"$9,444,582,437","$43,888"
2010,1,11610,214492,212390,213491,213458,"$2,184,459,819","$10,234"
2010,2,11683,215244,217022,218781,217016,"$2,326,389,466","$10,720"
2010,3,11725,203364,202374,218720,208153,"$2,288,726,446","$10,995"
2010,4,11823,219492,221706,225291,222163,"$2,645,006,706","$11,906"
2009,Annual,11655,,,,219008,"$9,302,887,208","$42,477"
2009,1,11687,223107,221618,220090,221605,"$2,236,986,939","$10,094"
2009,2,11649,218865,221487,221899,220750,"$2,281,565,632","$10,336"
2009,3,11679,208176,206407,219123,211235,"$2,199,921,463","$10,415"
2009,4,11603,219771,221712,225841,222441,"$2,584,413,174","$11,618"
2008,Annual,11938,,,,230943,"$9,902,124,058","$42,877"
2008,1,11835,230146,229239,230396,229927,"$2,404,703,856","$10,459"
2008,2,11936,232463,234977,236484,234641,"$2,434,847,953","$10,377"
2008,3,11989,220599,219268,233892,224586,"$2,361,025,033","$10,513"
2008,4,11990,232957,233185,237706,234616,"$2,701,547,216","$11,515"
2007,Annual,11580,,,,228989,"$9,694,267,921","$42,335"
2007,1,11498,226072,225627,226426,226042,"$2,280,413,781","$10,088"
2007,2,11588,226355,231782,234428,230855,"$2,515,170,601","$10,895"
2007,3,11586,219185,215999,232612,222599,"$2,301,329,240","$10,338"
2007,4,11646,234327,235602,239457,236462,"$2,597,354,299","$10,984"
