Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,14553,,,,278363,"$47,281,730,623","$169,856"
2021(p),1,14516,263193,265909,271838,266980,"$12,436,209,599","$46,581"
2021(p),2,14584,272273,273923,278032,274743,"$10,700,493,143","$38,947"
2021(p),3,14555,280173,280804,286599,282525,"$11,064,643,312","$39,163"
2021(p),4,14558,286953,289807,290853,289204,"$13,080,384,569","$45,229"
2020,Annual,14392,,,,267899,"$41,358,685,052","$154,382"
2020,1,14151,289192,291322,292522,291012,"$11,838,971,905","$40,682"
2020,2,14273,261121,255100,253479,256567,"$9,011,470,985","$35,123"
2020,3,14523,253165,254422,257545,255044,"$9,322,713,389","$36,553"
2020,4,14620,267538,268913,270474,268975,"$11,185,528,773","$41,586"
2019,Annual,12856,,,,277471,"$37,722,684,905","$135,952"
2019,1,12783,267594,272187,275358,271713,"$10,487,391,562","$38,597"
2019,2,12845,275824,278008,279978,277937,"$8,668,845,286","$31,190"
2019,3,12875,278969,282232,278997,280066,"$8,743,323,276","$31,219"
2019,4,12920,278252,281756,280491,280166,"$9,823,124,781","$35,062"
2018,Annual,12706,,,,275829,"$35,799,712,715","$129,790"
2018,1,12602,265047,272439,274810,270765,"$10,019,125,967","$37,003"
2018,2,12678,270472,272746,279253,274157,"$8,052,276,591","$29,371"
2018,3,12782,277427,278675,276202,277435,"$8,544,388,093","$30,798"
2018,4,12761,280051,282688,280136,280958,"$9,183,922,064","$32,688"
2017,Annual,12395,,,,269262,"$32,179,732,770","$119,511"
2017,1,12217,261261,264881,265979,264040,"$9,192,210,924","$34,814"
2017,2,12349,263986,265375,269296,266219,"$7,251,406,202","$27,238"
2017,3,12547,270916,273148,272453,272172,"$7,546,697,512","$27,728"
2017,4,12465,272958,275087,275806,274617,"$8,189,418,132","$29,821"
2016,Annual,11847,,,,265339,"$31,917,419,070","$120,289"
2016,1,11676,258861,259773,261296,259977,"$8,787,021,914","$33,799"
2016,2,11878,263944,252474,266161,260860,"$7,494,514,286","$28,730"
2016,3,11915,270886,269960,268219,269688,"$7,530,166,946","$27,922"
2016,4,11917,269710,270662,272122,270831,"$8,105,715,924","$29,929"
2015,Annual,11584,,,,264761,"$30,528,663,687","$115,306"
2015,1,11507,260582,262049,262317,261649,"$8,517,802,746","$32,554"
2015,2,11592,261756,262536,264677,262990,"$6,695,463,299","$25,459"
2015,3,11630,266858,265251,264133,265414,"$7,269,990,918","$27,391"
2015,4,11605,268051,268992,269934,268992,"$8,045,406,724","$29,909"
2014,Annual,11139,,,,263464,"$29,139,544,751","$110,602"
2014,1,10915,259233,262160,262685,261359,"$8,358,068,526","$31,979"
2014,2,11093,261274,261734,265655,262888,"$6,518,636,857","$24,796"
2014,3,11235,263641,264565,262351,263519,"$6,748,575,595","$25,609"
2014,4,11314,265398,265385,267488,266090,"$7,514,263,773","$28,240"
2013,Annual,10845,,,,259620,"$26,636,165,435","$102,597"
2013,1,10760,252770,254213,256012,254332,"$7,537,264,458","$29,636"
2013,2,10887,257656,259132,261365,259384,"$5,972,131,321","$23,024"
2013,3,10872,260728,261745,260855,261109,"$6,294,294,294","$24,106"
2013,4,10862,262549,264015,264394,263653,"$6,832,475,362","$25,915"
2012,Annual,10849,,,,258222,"$25,942,606,336","$100,466"
2012,1,11022,254483,255452,255824,255253,"$7,428,930,618","$29,104"
2012,2,11035,257195,259428,261055,259226,"$5,621,651,532","$21,686"
2012,3,10748,259151,258893,257836,258627,"$5,949,342,389","$23,004"
2012,4,10592,259007,259960,260381,259783,"$6,942,681,797","$26,725"
2011,Annual,10929,,,,254494,"$24,425,811,676","$95,978"
2011,1,10976,250584,251188,252488,251420,"$6,900,139,506","$27,445"
2011,2,10897,254914,255349,256816,255693,"$5,445,604,814","$21,297"
2011,3,10959,258184,242909,257606,252900,"$5,744,188,378","$22,713"
2011,4,10885,256824,257859,259210,257964,"$6,335,878,978","$24,561"
2010,Annual,11179,,,,251289,"$22,841,197,760","$90,896"
2010,1,11137,248303,248438,249839,248860,"$6,198,096,195","$24,906"
2010,2,11191,249265,250372,251803,250480,"$5,199,252,746","$20,757"
2010,3,11216,252576,252580,251278,252145,"$5,444,805,020","$21,594"
2010,4,11173,252728,253329,254960,253672,"$5,999,043,799","$23,649"
2009,Annual,11471,,,,251497,"$22,124,294,073","$87,970"
2009,1,11566,256028,253821,254273,254707,"$6,259,054,815","$24,574"
2009,2,11487,252746,253147,252965,252953,"$5,178,551,968","$20,472"
2009,3,11452,251053,249796,248711,249853,"$4,983,696,351","$19,947"
2009,4,11377,247992,248561,248876,248476,"$5,702,990,939","$22,952"
2008,Annual,11547,,,,262121,"$23,129,336,525","$88,239"
2008,1,11395,259441,261119,261577,260712,"$6,681,754,417","$25,629"
2008,2,11495,259989,262491,265342,262607,"$5,368,337,981","$20,442"
2008,3,11597,263097,263553,262811,263154,"$5,376,827,582","$20,432"
2008,4,11700,261306,261852,262879,262012,"$5,702,416,545","$21,764"
2007,Annual,11068,,,,263531,"$22,759,868,232","$86,365"
2007,1,11012,259652,261125,261449,260742,"$6,645,145,278","$25,486"
2007,2,11052,261517,264068,266631,264072,"$5,290,138,560","$20,033"
2007,3,11095,264993,265580,264076,264883,"$5,225,448,612","$19,727"
2007,4,11111,262589,264708,265987,264428,"$5,599,135,782","$21,175"
2006,Annual,10635,,,,266887,"$21,653,906,850","$81,135"
2006,1,10592,265514,265635,266801,265983,"$6,245,370,757","$23,480"
2006,2,10662,264672,267011,269911,267198,"$4,925,613,084","$18,434"
2006,3,10658,267375,268123,266244,267247,"$5,006,589,672","$18,734"
2006,4,10626,264893,267236,269227,267119,"$5,476,333,337","$20,501"
2005,Annual,10492,,,,268215,"$20,438,086,503","$76,200"
2005,1,10386,261950,264106,264887,263648,"$5,663,406,453","$21,481"
2005,2,10401,265466,267290,271361,268039,"$4,627,329,379","$17,264"
2005,3,10428,268445,269389,268891,268908,"$4,902,314,499","$18,230"
2005,4,10752,270224,271703,274866,272264,"$5,245,036,172","$19,265"
2004,Annual,10715,,,,268204,"$19,730,482,062","$73,565"
2004,1,10566,264617,266015,267606,266079,"$5,429,810,922","$20,407"
2004,2,10753,267560,268054,267647,267754,"$4,514,847,842","$16,862"
2004,3,10773,267192,268952,268812,268319,"$4,703,378,448","$17,529"
2004,4,10766,268523,273994,269479,270665,"$5,082,444,850","$18,778"
2003,Annual,10944,,,,275284,"$19,367,504,313","$70,355"
2003,1,11036,275431,279310,276474,277072,"$5,298,467,948","$19,123"
2003,2,10982,273359,281345,274552,276419,"$4,497,862,963","$16,272"
2003,3,10906,270422,277067,270450,272646,"$4,589,109,529","$16,832"
2003,4,10852,272888,276717,275395,275000,"$4,982,063,873","$18,117"
2002,Annual,11713,,,,295415,"$19,665,361,781","$66,569"
2002,1,11786,297997,301633,297425,299018,"$5,499,472,661","$18,392"
2002,2,11733,297265,304043,301621,300976,"$4,689,368,559","$15,581"
2002,3,11709,291228,293482,287978,290896,"$4,649,603,536","$15,984"
2002,4,11624,289106,291860,291345,290770,"$4,826,917,025","$16,600"
2001,Annual,12640,,,,323890,"$21,853,688,133","$67,473"
2001,1,12813,325720,328535,328986,327747,"$6,254,979,196","$19,085"
2001,2,12715,326847,329717,330112,328892,"$5,471,611,332","$16,636"
2001,3,12654,325122,322857,316363,321447,"$5,001,535,459","$15,559"
2001,4,12379,316188,319202,317032,317474,"$5,125,562,146","$16,145"
2000,Annual,12574,,,,324232,"$21,215,967,300","$65,435"
2000,1,12377,309815,314326,317345,313829,"$5,640,390,588","$17,973"
2000,2,12539,320463,324316,328775,324518,"$4,963,629,740","$15,295"
2000,3,12737,327948,306479,331191,321873,"$5,188,490,499","$16,120"
2000,4,12642,334017,337380,338726,336708,"$5,423,456,473","$16,107"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
