Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,28156,,,,506491,"$145,258,440,272","$286,794"
2021(p),1,28208,502996,503566,503480,503347,"$59,923,332,319","$119,050"
2021(p),2,28170,502062,500858,506831,503250,"$24,336,575,769","$48,359"
2021(p),3,28205,511875,513280,504294,509816,"$23,772,071,810","$46,629"
2021(p),4,28042,507993,509181,511474,509549,"$37,226,460,374","$73,058"
2020,Annual,28514,,,,511587,"$129,520,357,425","$253,174"
2020,1,28525,517660,519910,518453,518674,"$53,748,260,010","$103,626"
2020,2,28453,508680,508775,510881,509445,"$22,398,896,490","$43,967"
2020,3,28541,511867,514535,508418,511607,"$22,079,525,985","$43,157"
2020,4,28535,506400,506652,506817,506623,"$31,293,674,940","$61,769"
2019,Annual,28305,,,,518640,"$122,524,115,084","$236,241"
2019,1,28299,514029,516191,514848,515023,"$51,892,177,950","$100,757"
2019,2,28361,513797,514137,521993,516642,"$21,656,020,469","$41,917"
2019,3,28328,527034,527697,516411,523714,"$20,809,040,459","$39,734"
2019,4,28232,517902,518667,520977,519182,"$28,166,876,206","$54,252"
2018,Annual,29212,,,,513468,"$118,606,841,770","$230,992"
2018,1,29302,507065,509805,508516,508462,"$50,597,375,252","$99,511"
2018,2,29275,507496,508063,517215,510925,"$20,767,189,271","$40,646"
2018,3,29231,521750,521837,511898,518495,"$20,227,199,860","$39,011"
2018,4,29039,514382,516320,517270,515991,"$27,015,077,387","$52,356"
2017,Annual,29978,,,,509878,"$120,103,174,376","$235,553"
2017,1,29835,504752,506096,505725,505524,"$49,031,014,717","$96,990"
2017,2,29957,504772,504765,513825,507787,"$20,169,986,718","$39,721"
2017,3,30028,517291,518050,508137,514493,"$20,016,881,118","$38,906"
2017,4,30093,509440,511413,514275,511709,"$30,885,291,823","$60,357"
2016,Annual,29461,,,,508014,"$109,328,510,298","$215,208"
2016,1,29287,506465,506817,506767,506683,"$44,762,106,166","$88,343"
2016,2,29399,505093,505915,512409,507806,"$19,741,318,684","$38,876"
2016,3,29515,515075,514998,504607,511560,"$19,950,246,237","$38,999"
2016,4,29641,503903,505271,508846,506007,"$24,874,839,211","$49,159"
2015,Annual,29129,,,,506583,"$110,368,832,168","$217,869"
2015,1,29074,501281,502407,502398,502029,"$45,886,333,356","$91,402"
2015,2,29201,502248,502546,509814,504869,"$19,903,115,612","$39,422"
2015,3,29176,514178,513668,504396,510747,"$19,282,737,775","$37,754"
2015,4,29063,507089,508457,510515,508687,"$25,296,645,425","$49,729"
2014,Annual,28850,,,,498933,"$110,300,857,742","$221,073"
2014,1,28760,492608,493595,494461,493555,"$46,468,090,208","$94,150"
2014,2,28862,493016,494195,502315,496509,"$18,507,677,799","$37,276"
2014,3,28868,506553,506650,498615,503939,"$18,733,984,631","$37,175"
2014,4,28909,499775,500745,504671,501730,"$26,591,105,104","$52,999"
2013,Annual,29084,,,,492805,"$98,787,506,264","$200,460"
2013,1,28968,489391,490924,489888,490068,"$38,662,791,744","$78,893"
2013,2,29154,489276,488555,494355,490729,"$17,777,054,099","$36,226"
2013,3,29075,497714,497988,490563,495422,"$17,459,452,207","$35,242"
2013,4,29137,492219,494772,498019,495003,"$24,888,208,214","$50,279"
2012,Annual,29418,,,,496139,"$99,543,917,145","$200,637"
