Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,34655,,,,188019,"$16,090,225,916","$85,578"
2021(p),1,34707,183458,183252,183825,183512,"$4,068,235,563","$22,169"
2021(p),2,34443,184595,186004,189227,186609,"$3,593,343,961","$19,256"
2021(p),3,34812,190357,190513,189773,190214,"$3,754,221,646","$19,737"
2021(p),4,34658,191630,191260,192334,191741,"$4,674,424,746","$24,379"
2020,Annual,35289,,,,188778,"$15,459,829,171","$81,894"
2020,1,35427,201816,201774,200537,201376,"$4,538,419,912","$22,537"
2020,2,35307,179268,179272,182855,180465,"$3,326,213,908","$18,431"
2020,3,35263,185559,187131,186597,186429,"$3,320,314,015","$17,810"
2020,4,35157,187421,186325,186778,186841,"$4,274,881,336","$22,880"
2019,Annual,35082,,,,202259,"$15,510,896,505","$76,688"
2019,1,35040,197580,197509,198483,197857,"$4,141,112,703","$20,930"
2019,2,35191,199629,201605,206091,202442,"$3,516,388,319","$17,370"
2019,3,35042,206435,205672,203575,205227,"$3,560,211,322","$17,348"
2019,4,35053,203545,203335,203644,203508,"$4,293,184,161","$21,096"
2018,Annual,35152,,,,201192,"$14,944,308,324","$74,279"
2018,1,35178,195723,195953,197080,196252,"$3,974,747,765","$20,253"
2018,2,35163,197764,200145,205431,201113,"$3,393,613,493","$16,874"
2018,3,35152,205578,204603,202422,204201,"$3,406,679,684","$16,683"
2018,4,35114,203204,202779,203627,203203,"$4,169,267,382","$20,518"
2017,Annual,35379,,,,199234,"$14,307,041,710","$71,810"
2017,1,35338,193346,193661,194456,193821,"$3,941,658,401","$20,337"
2017,2,35426,196214,198711,202709,199211,"$3,225,194,462","$16,190"
2017,3,35469,203408,202677,201120,202402,"$3,172,210,700","$15,673"
2017,4,35281,201096,200876,202529,201500,"$3,967,978,147","$19,692"
2016,Annual,34978,,,,194752,"$13,525,086,626","$69,448"
2016,1,34824,189921,189947,190943,190270,"$3,515,780,871","$18,478"
2016,2,35023,193401,194218,197445,195021,"$3,066,700,555","$15,725"
2016,3,34981,198855,198486,195446,197596,"$3,122,679,288","$15,803"
2016,4,35082,195916,195872,196576,196121,"$3,819,925,912","$19,477"
2015,Annual,34222,,,,190501,"$12,724,932,554","$66,797"
2015,1,34157,184788,184890,186166,185281,"$3,318,065,329","$17,908"
2015,2,34278,187698,190102,193751,190517,"$2,857,075,863","$14,996"
2015,3,34283,194682,194188,192614,193828,"$2,908,019,152","$15,003"
2015,4,34169,192541,191755,192832,192376,"$3,641,772,210","$18,930"
2014,Annual,33805,,,,185137,"$11,834,760,090","$63,924"
2014,1,33647,179074,179770,180284,179709,"$3,078,158,956","$17,129"
2014,2,33763,182942,185233,188857,185677,"$2,672,916,838","$14,396"
2014,3,33876,189116,188196,186252,187855,"$2,659,533,985","$14,157"
2014,4,33935,186704,186890,188325,187306,"$3,424,150,311","$18,281"
2013,Annual,33937,,,,181485,"$10,881,100,896","$59,956"
2013,1,33933,175686,175966,177993,176548,"$2,764,150,440","$15,657"
2013,2,34014,179828,180545,184896,181756,"$2,472,064,049","$13,601"
2013,3,33915,185917,184265,182351,184178,"$2,508,454,642","$13,620"
2013,4,33884,182842,183395,184136,183458,"$3,136,431,765","$17,096"
2012,Annual,33569,,,,178327,"$10,632,047,521","$59,621"
2012,1,33538,174461,174400,175410,174757,"$2,710,737,432","$15,511"
2012,2,33608,176768,178156,181509,178811,"$2,400,183,024","$13,423"
2012,3,33589,181228,181106,178907,180414,"$2,384,000,587","$13,214"
2012,4,33539,179432,178507,180038,179326,"$3,137,126,478","$17,494"
2011,Annual,33451,,,,176629,"$9,996,296,772","$56,595"
2011,1,33402,172529,172147,172719,172465,"$2,471,646,492","$14,331"
