Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,72265,,,,669669,"$94,222,018,014","$140,699"
2021(p),1,72419,651194,656138,660687,656006,"$22,492,245,702","$34,287"
2021(p),2,72044,662387,661753,671372,665171,"$21,098,040,167","$31,718"
2021(p),3,72580,678766,673250,667970,673329,"$22,151,003,355","$32,898"
2021(p),4,72017,679827,684388,688295,684170,"$28,480,728,790","$41,628"
2020,Annual,73486,,,,662528,"$85,819,492,557","$129,533"
2020,1,73444,693083,699942,697407,696811,"$22,496,145,048","$32,284"
2020,2,73450,645992,645710,651017,647573,"$19,340,208,373","$29,866"
2020,3,73655,653951,651527,645254,650244,"$19,337,388,126","$29,739"
2020,4,73394,653162,655442,657847,655484,"$24,645,751,010","$37,599"
2019,Annual,71332,,,,685317,"$82,297,337,582","$120,087"
2019,1,71370,674484,680012,682941,679146,"$20,819,546,052","$30,655"
2019,2,71612,684805,677885,688997,683896,"$19,000,258,090","$27,782"
2019,3,71393,693849,690424,678818,687697,"$19,146,471,758","$27,841"
2019,4,70953,687067,691176,693341,690528,"$23,331,061,682","$33,787"
2018,Annual,72011,,,,676451,"$77,677,735,456","$114,831"
2018,1,71910,666563,672392,672567,670507,"$19,507,721,690","$29,094"
2018,2,72119,672988,668236,679170,673465,"$17,976,276,532","$26,692"
2018,3,72175,683801,681123,670104,678343,"$18,294,716,830","$26,970"
2018,4,71840,680443,684201,685822,683489,"$21,899,020,404","$32,040"
2017,Annual,72387,,,,673203,"$75,105,734,227","$111,565"
2017,1,71881,661421,667294,668822,665846,"$18,768,025,635","$28,187"
2017,2,72593,670841,666397,677955,671731,"$17,399,869,465","$25,903"
2017,3,72851,681675,677381,669123,676060,"$17,408,184,934","$25,749"
2017,4,72223,675784,680157,681583,679175,"$21,529,654,193","$31,700"
2016,Annual,70318,,,,659964,"$71,805,176,823","$108,802"
2016,1,69613,647598,652339,654815,651584,"$17,664,192,805","$27,110"
2016,2,70360,658043,650699,661525,656756,"$16,781,366,617","$25,552"
2016,3,70657,669138,667004,657754,664632,"$16,928,488,806","$25,470"
2016,4,70641,663361,667766,669524,666884,"$20,431,128,595","$30,637"
2015,Annual,69736,,,,647887,"$68,889,208,141","$106,329"
2015,1,69658,632963,638601,641487,637684,"$17,198,307,365","$26,970"
2015,2,69945,645104,640038,650166,645103,"$15,791,472,283","$24,479"
2015,3,69844,656331,653473,644994,651599,"$15,905,380,538","$24,410"
2015,4,69496,653187,657676,660627,657163,"$19,994,047,955","$30,425"
2014,Annual,66921,,,,626309,"$64,646,067,802","$103,218"
2014,1,66120,609730,615815,618332,614626,"$16,156,784,425","$26,287"
2014,2,66634,624760,619339,626810,623636,"$14,797,106,329","$23,727"
2014,3,67060,633481,631898,624018,629799,"$15,107,965,058","$23,989"
2014,4,67868,632809,637277,641438,637175,"$18,584,211,990","$29,167"
2013,Annual,67174,,,,611883,"$60,008,553,864","$98,072"
2013,1,66974,599280,604515,606654,603483,"$14,786,727,872","$24,502"
2013,2,67520,610638,604670,612793,609367,"$14,098,884,439","$23,137"
2013,3,67287,617260,615565,608010,613612,"$14,044,594,811","$22,888"
2013,4,66915,617044,620781,625385,621070,"$17,078,346,742","$27,498"
2012,Annual,65509,,,,595830,"$57,375,278,970","$96,295"
2012,1,65069,582288,588747,591564,587533,"$14,306,727,665","$24,351"
2012,2,65576,594000,589392,599394,594262,"$13,424,624,867","$22,590"
2012,3,65835,600387,599419,593351,597719,"$13,183,675,168","$22,057"
2012,4,65556,601413,601897,608107,603806,"$16,460,251,270","$27,261"
2011,Annual,64331,,,,572266,"$53,823,735,623","$94,054"
2011,1,63855,558236,563839,565765,562613,"$13,143,148,203","$23,361"
2011,2,64310,571334,563827,574287,569816,"$12,674,981,325","$22,244"
2011,3,64792,578344,576338,570292,574991,"$12,881,958,992","$22,404"
2011,4,64366,576157,582409,586369,581645,"$15,123,647,103","$26,002"
2010,Annual,64100,,,,551971,"$50,166,622,839","$90,886"
2010,1,63637,541653,545523,547757,544978,"$12,030,809,183","$22,076"
2010,2,64166,552811,545391,554410,550871,"$11,680,601,162","$21,204"
2010,3,64302,556546,553905,548148,552866,"$11,759,586,490","$21,270"
2010,4,64295,555228,558980,563303,559170,"$14,695,626,004","$26,281"
2009,Annual,63935,,,,560224,"$48,815,932,053","$87,136"
2009,1,63860,570524,570935,569144,570201,"$12,295,768,505","$21,564"
2009,2,63975,565708,555294,561165,560722,"$11,490,872,381","$20,493"
2009,3,64103,559803,552912,547195,553303,"$11,290,012,212","$20,405"
2009,4,63803,552661,556916,560427,556668,"$13,739,278,955","$24,681"
2008,Annual,64567,,,,585624,"$51,670,360,012","$88,231"
2008,1,63417,576729,582336,583417,580827,"$13,031,868,320","$22,437"
2008,2,64368,586790,581110,591080,586327,"$12,073,772,630","$20,592"
2008,3,65096,594045,589185,581162,588131,"$12,044,758,968","$20,480"
