Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,4151,,,,133438,"$23,728,584,878","$177,825"
2021(p),1,4172,129955,130693,131389,130679,"$6,675,113,612","$51,080"
2021(p),2,4170,131425,131556,133260,132080,"$4,958,759,119","$37,544"
2021(p),3,4141,134225,134643,133676,134181,"$5,109,878,727","$38,082"
2021(p),4,4120,135852,137085,137496,136811,"$6,984,833,420","$51,055"
2020,Annual,4133,,,,131759,"$21,646,771,318","$164,291"
2020,1,4112,141515,142376,141806,141899,"$6,446,828,924","$45,433"
2020,2,4128,128596,126202,126267,127022,"$4,431,735,013","$34,890"
2020,3,4142,127141,128346,128191,127893,"$4,825,394,838","$37,730"
2020,4,4149,129653,130416,130599,130223,"$5,942,812,543","$45,636"
2019,Annual,3955,,,,145367,"$22,596,500,138","$155,444"
2019,1,3934,144364,144671,144824,144620,"$6,644,352,584","$45,944"
2019,2,3942,144906,145399,146849,145718,"$5,189,870,508","$35,616"
2019,3,3970,147302,146417,144605,146108,"$5,147,897,346","$35,234"
2019,4,3975,144756,145203,145110,145023,"$5,614,379,700","$38,714"
2018,Annual,3804,,,,144185,"$21,836,477,857","$151,448"
2018,1,3781,143731,144057,144554,144114,"$6,649,858,547","$46,143"
2018,2,3785,143436,143959,146262,144552,"$4,839,393,929","$33,479"
2018,3,3808,145058,144359,142387,143935,"$4,781,552,690","$33,220"
2018,4,3841,143287,144283,144841,144137,"$5,565,672,691","$38,614"
2017,Annual,3783,,,,143614,"$21,219,170,466","$147,751"
2017,1,3776,142153,142256,141853,142087,"$6,570,794,398","$46,245"
2017,2,3795,141938,142579,144469,142995,"$4,585,201,005","$32,065"
2017,3,3804,145165,145236,143569,144657,"$4,672,855,149","$32,303"
2017,4,3757,144124,144862,145163,144716,"$5,390,319,914","$37,248"
2016,Annual,3787,,,,141555,"$19,958,235,745","$140,993"
2016,1,3787,140345,140774,140900,140673,"$5,960,965,037","$42,375"
2016,2,3805,140905,140757,142472,141378,"$4,661,881,856","$32,975"
2016,3,3780,143081,142580,141159,142273,"$4,582,795,339","$32,211"
2016,4,3774,141398,142095,142188,141894,"$4,752,593,513","$33,494"
2015,Annual,3826,,,,142472,"$21,266,464,999","$149,268"
2015,1,3844,141834,141875,141911,141873,"$6,401,733,504","$45,123"
2015,2,3828,141518,142296,144345,142720,"$4,741,728,584","$33,224"
2015,3,3839,144143,143439,141297,142960,"$4,641,219,116","$32,465"
2015,4,3792,141987,142342,142672,142334,"$5,481,783,795","$38,514"
2014,Annual,3896,,,,141523,"$20,508,352,545","$144,912"
2014,1,3840,139568,139687,139893,139716,"$6,648,255,527","$47,584"
2014,2,3897,139999,140728,142776,141168,"$4,456,977,504","$31,572"
2014,3,3921,142544,142456,140595,141865,"$4,390,673,983","$30,950"
2014,4,3924,142884,143272,143872,143343,"$5,012,445,531","$34,968"
2013,Annual,3855,,,,138038,"$19,737,960,139","$142,989"
2013,1,3836,136944,137227,137559,137243,"$6,026,553,251","$43,912"
2013,2,3869,137359,137228,138878,137822,"$4,432,159,762","$32,159"
2013,3,3859,138504,138365,137022,137964,"$4,312,794,614","$31,260"
2013,4,3855,138236,139090,140039,139122,"$4,966,452,512","$35,699"
2012,Annual,3778,,,,134118,"$19,382,180,312","$144,516"
2012,1,3819,133992,133982,133929,133968,"$6,395,932,246","$47,742"
2012,2,3824,132982,133363,134557,133634,"$4,144,097,645","$31,011"
2012,3,3749,134556,134391,133342,134096,"$4,079,853,945","$30,425"
2012,4,3720,133729,134884,135704,134772,"$4,762,296,476","$35,336"
2011,Annual,3729,,,,132755,"$18,944,866,207","$142,705"
2011,1,3726,131003,131158,131476,131212,"$6,474,600,755","$49,345"
2011,2,3727,131923,132175,133791,132630,"$4,132,439,484","$31,158"
2011,3,3734,133856,133478,132566,133300,"$4,067,801,819","$30,516"
2011,4,3729,133131,134008,134494,133878,"$4,270,024,149","$31,895"
2010,Annual,3634,,,,131533,"$18,433,697,281","$140,145"
2010,1,3611,130127,130334,130469,130310,"$6,120,155,571","$46,966"
2010,2,3631,130910,131288,132474,131557,"$4,016,974,400","$30,534"
2010,3,3637,132591,132532,131535,132219,"$3,828,586,322","$28,956"
2010,4,3658,131925,131880,132331,132045,"$4,467,980,988","$33,837"
2009,Annual,3625,,,,130617,"$15,648,407,880","$119,804"
2009,1,3647,133651,132764,131945,132787,"$4,632,260,801","$34,885"
2009,2,3632,131402,131316,131023,131247,"$3,439,067,619","$26,203"
2009,3,3622,129709,129234,128555,129166,"$3,524,624,043","$27,288"
2009,4,3598,128542,129238,130019,129266,"$4,052,455,417","$31,350"
2008,Annual,3486,,,,131580,"$17,526,158,504","$133,198"
2008,1,3429,130569,130153,130365,130362,"$5,925,402,483","$45,453"
2008,2,3479,131316,131432,132722,131823,"$3,839,983,808","$29,130"
2008,3,3514,132818,132166,131286,132090,"$3,716,444,991","$28,136"
2008,4,3521,131785,132139,132214,132046,"$4,044,327,222","$30,628"
2007,Annual,3243,,,,128032,"$18,065,267,013","$141,100"
2007,1,3200,127506,127030,127406,127314,"$6,355,362,663","$49,919"
2007,2,3231,126796,127284,128415,127498,"$3,742,231,904","$29,351"
2007,3,3252,128904,128401,127269,128191,"$3,778,117,335","$29,473"
2007,4,3290,128299,128947,130123,129123,"$4,189,555,111","$32,446"
2006,Annual,3063,,,,126539,"$15,991,381,773","$126,375"
2006,1,3042,126505,125982,126238,126242,"$5,289,462,189","$41,899"
2006,2,3050,125672,126254,127086,126337,"$3,437,199,761","$27,207"
2006,3,3064,127108,126965,125441,126505,"$3,372,897,758","$26,662"
2006,4,3095,126417,127091,127703,127070,"$3,891,822,065","$30,627"
2005,Annual,2923,,,,121981,"$14,660,302,117","$120,185"
2005,1,2897,122368,122193,120835,121799,"$4,596,260,368","$37,736"
2005,2,2909,121509,121289,121647,121482,"$3,272,113,961","$26,935"
2005,3,2916,122134,121925,120944,121668,"$3,267,433,256","$26,855"
2005,4,2968,122064,122955,123909,122976,"$3,524,494,532","$28,660"
2004,Annual,2709,,,,119376,"$13,809,731,422","$115,683"
2004,1,2670,119284,119008,119574,119289,"$4,454,249,923","$37,340"
2004,2,2701,118538,119096,119908,119181,"$3,165,393,400","$26,560"
