Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,39129,,,,467670,"$28,503,164,870","$60,947"
2021(p),1,39225,432743,438809,445757,439103,"$6,514,393,737","$14,836"
2021(p),2,38768,461150,469502,472363,467672,"$6,705,589,675","$14,338"
2021(p),3,39439,471173,472238,475748,473053,"$7,027,869,640","$14,856"
2021(p),4,39082,488522,493098,490942,490854,"$8,255,311,818","$16,818"
2020,Annual,39494,,,,449463,"$28,534,115,400","$63,485"
2020,1,39310,487327,488959,486007,487431,"$7,622,329,965","$15,638"
2020,2,39418,397182,413212,428026,412807,"$6,029,937,171","$14,607"
2020,3,39662,435001,444614,446404,442006,"$6,106,245,171","$13,815"
2020,4,39587,452974,457001,456851,455609,"$8,775,603,093","$19,261"
2019,Annual,37805,,,,538310,"$31,489,555,483","$58,497"
2019,1,37119,505409,508830,513771,509337,"$7,795,358,137","$15,305"
2019,2,37885,533604,543150,551893,542882,"$7,325,173,062","$13,493"
2019,3,38041,550049,551887,550554,550830,"$7,552,519,381","$13,711"
2019,4,38175,551330,551824,547420,550191,"$8,816,504,903","$16,024"
2018,Annual,36726,,,,518775,"$27,828,824,848","$53,643"
2018,1,36194,481502,486121,494266,487296,"$6,935,285,644","$14,232"
2018,2,36663,508644,523010,534358,522004,"$6,538,861,044","$12,526"
2018,3,36988,532365,534563,532745,533224,"$6,691,289,335","$12,549"
2018,4,37059,533263,534932,529528,532574,"$7,663,388,825","$14,389"
2017,Annual,35497,,,,497871,"$25,341,122,663","$50,899"
2017,1,34701,465599,469059,472644,469101,"$6,188,724,113","$13,193"
2017,2,35327,487940,501477,509519,499645,"$5,921,344,162","$11,851"
2017,3,35854,509149,510079,512821,510683,"$5,989,403,662","$11,728"
2017,4,36105,511039,513298,511829,512055,"$7,241,650,726","$14,142"
2016,Annual,35185,,,,483546,"$23,107,953,287","$47,789"
2016,1,34355,455485,455793,461833,457704,"$5,765,797,081","$12,597"
2016,2,35091,480098,489436,493926,487820,"$5,365,941,286","$11,000"
2016,3,35567,493290,493661,496845,494599,"$5,730,154,235","$11,585"
2016,4,35728,496685,495589,489906,494060,"$6,246,060,685","$12,642"
2015,Annual,33510,,,,469891,"$22,789,035,975","$48,499"
2015,1,33258,440778,442159,443826,442254,"$5,433,145,217","$12,285"
2015,2,33336,462008,476353,482291,473551,"$5,298,530,716","$11,189"
2015,3,33544,481483,483426,480795,481901,"$5,268,417,370","$10,933"
2015,4,33903,485357,482918,477298,481858,"$6,788,942,672","$14,089"
2014,Annual,30980,,,,456117,"$20,506,186,827","$44,958"
2014,1,30357,427033,429479,432236,429583,"$5,037,253,892","$11,726"
2014,2,30790,448402,461915,466140,458819,"$4,757,809,793","$10,370"
2014,3,31304,466663,468680,467546,467630,"$4,924,803,832","$10,531"
2014,4,31469,468407,470275,466632,468438,"$5,786,319,310","$12,352"
2013,Annual,30967,,,,450233,"$19,835,286,333","$44,056"
2013,1,30576,422109,423514,429591,425071,"$4,818,929,937","$11,337"
2013,2,31102,443969,454800,461345,453371,"$4,664,129,033","$10,288"
2013,3,31140,461502,462247,461838,461862,"$4,839,425,248","$10,478"
2013,4,31051,463236,461832,456815,460628,"$5,512,802,115","$11,968"
2012,Annual,29978,,,,436156,"$19,104,265,041","$43,801"
2012,1,29653,406236,406183,414653,409024,"$4,913,909,674","$12,014"
2012,2,30018,427589,437181,444518,436429,"$4,422,799,560","$10,134"
2012,3,30111,444671,448884,449665,447740,"$4,516,520,103","$10,087"
2012,4,30129,451786,453456,449054,451432,"$5,251,035,704","$11,632"
2011,Annual,29342,,,,425943,"$17,860,386,677","$41,931"
2011,1,28972,397799,397762,404249,399937,"$4,387,082,621","$10,969"
2011,2,29291,421834,429435,436223,429164,"$4,240,756,539","$9,881"
2011,3,29509,438162,439117,441918,439732,"$4,501,218,843","$10,236"
2011,4,29596,436941,435984,431891,434939,"$4,731,328,674","$10,878"
2010,Annual,28900,,,,412405,"$17,539,214,854","$42,529"
2010,1,28531,385793,386321,391585,387900,"$4,363,387,987","$11,249"
2010,2,28900,408260,416053,421244,415186,"$4,026,975,543","$9,699"
2010,3,29001,422363,424455,422746,423188,"$4,242,086,710","$10,024"
2010,4,29168,425449,423943,420643,423345,"$4,906,764,614","$11,590"
2009,Annual,27734,,,,403355,"$16,354,404,144","$40,546"
2009,1,27734,393340,389914,391523,391592,"$4,155,335,126","$10,611"
2009,2,27767,397778,406268,410599,404882,"$3,821,624,866","$9,439"
2009,3,27759,409420,411287,410921,410543,"$3,834,937,321","$9,341"
2009,4,27675,408817,406277,404116,406403,"$4,542,506,831","$11,177"
2008,Annual,28408,,,,436078,"$17,732,467,440","$40,664"
2008,1,28012,419753,421546,427255,422851,"$4,533,590,722","$10,721"
2008,2,28438,438611,444663,447873,443716,"$4,251,765,589","$9,582"
2008,3,28591,446293,449098,444595,446662,"$4,276,470,499","$9,574"
2008,4,28590,437826,431598,423826,431083,"$4,670,640,630","$10,835"
2007,Annual,26957,,,,435075,"$17,172,623,155","$39,470"
2007,1,26583,407706,409172,417648,411509,"$4,293,166,078","$10,433"
2007,2,26999,428740,439306,446187,438078,"$4,065,981,968","$9,281"
2007,3,27073,444166,448251,444913,445777,"$4,170,458,419","$9,355"
2007,4,27173,446109,446435,442269,444938,"$4,643,016,690","$10,435"
2006,Annual,24878,,,,425282,"$15,607,640,380","$36,700"
2006,1,24628,403532,404715,410616,406288,"$3,901,552,591","$9,603"
2006,2,24920,422761,429121,434817,428900,"$3,739,366,609","$8,719"
2006,3,24925,430823,435129,435139,433697,"$3,801,745,207","$8,766"
2006,4,25037,432840,432695,431201,432245,"$4,164,975,973","$9,636"
2005,Annual,24440,,,,425836,"$15,086,683,004","$35,428"
2005,1,24073,400810,403904,407176,403963,"$3,562,000,991","$8,818"
2005,2,24279,423140,430807,436715,430221,"$3,596,783,518","$8,360"
2005,3,24337,433356,436147,438984,436162,"$3,789,329,269","$8,688"
2005,4,25072,433240,434395,431352,432996,"$4,138,569,226","$9,558"
2004,Annual,23896,,,,418485,"$14,180,383,467","$33,885"
2004,1,23006,390444,394355,400351,395050,"$3,392,368,742","$8,587"
2004,2,24078,414415,424700,431236,423450,"$3,372,707,268","$7,965"
2004,3,24203,428088,429574,429654,429105,"$3,503,740,055","$8,165"
2004,4,24295,428389,426291,424324,426335,"$3,911,567,402","$9,175"
2003,Annual,23295,,,,410584,"$13,308,871,777","$32,414"
2003,1,23202,392809,390612,396836,393419,"$3,248,189,269","$8,256"
2003,2,23164,406249,413728,417345,412441,"$3,165,978,238","$7,676"
2003,3,23418,415450,418293,420402,418048,"$3,232,407,180","$7,732"
2003,4,23395,419990,418349,416949,418429,"$3,662,297,090","$8,752"
2002,Annual,23509,,,,417797,"$12,918,827,533","$30,921"
2002,1,23352,399212,400689,404885,401595,"$3,188,752,495","$7,940"
2002,2,23439,413200,421595,425877,420224,"$3,113,537,204","$7,409"
2002,3,23578,424685,428586,428586,427286,"$3,148,379,253","$7,368"
2002,4,23668,424624,423121,418503,422083,"$3,468,158,581","$8,217"
2001,Annual,24315,,,,437056,"$13,245,875,832","$30,307"
2001,1,24376,432818,433512,436450,434260,"$3,418,878,541","$7,873"
2001,2,24378,438250,448376,449540,445389,"$3,223,703,419","$7,238"
2001,3,24387,441587,442903,435396,439962,"$3,184,521,204","$7,238"
2001,4,24117,432672,428173,424997,428614,"$3,418,772,668","$7,976"
2000,Annual,24181,,,,447326,"$13,116,266,685","$29,321"
2000,1,24123,420353,423837,430451,424880,"$3,080,887,930","$7,251"
2000,2,24253,438487,449633,454165,447428,"$3,156,196,193","$7,054"
2000,3,24318,454692,461949,460403,459015,"$3,207,203,345","$6,987"
2000,4,24028,460092,458357,455497,457982,"$3,671,979,217","$8,018"
(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary,(P) = Preliminary
