Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,9528,,,,334302,"$24,571,506,206","$73,501"
2021(p),1,9613,318380,337832,344447,333553,"$5,809,890,802","$17,418"
2021(p),2,9532,348923,341762,318291,336325,"$6,081,979,601","$18,084"
2021(p),3,9534,304054,300642,327615,310770,"$6,072,419,361","$19,540"
2021(p),4,9431,354751,361697,353235,356561,"$6,607,216,442","$18,530"
2020,Annual,9752,,,,329218,"$23,115,285,965","$70,213"
2020,1,9785,355301,377843,374592,369245,"$5,841,254,794","$15,819"
2020,2,9739,333916,324328,299014,319086,"$5,681,402,821","$17,805"
2020,3,9768,278612,284682,313974,292423,"$5,482,456,335","$18,748"
2020,4,9716,337981,339951,330425,336119,"$6,110,172,015","$18,179"
2019,Annual,9513,,,,358589,"$22,906,281,089","$63,879"
2019,1,9453,350358,372873,376941,366724,"$5,543,672,362","$15,117"
2019,2,9521,379202,368508,340295,362668,"$5,781,403,982","$15,941"
2019,3,9547,322783,318194,350835,330604,"$5,568,164,646","$16,842"
2019,4,9532,374582,379254,369245,374360,"$6,013,040,099","$16,062"
2018,Annual,9384,,,,354175,"$22,128,759,448","$62,480"
2018,1,9357,344348,366213,370148,360236,"$5,382,860,485","$14,943"
2018,2,9385,372199,362476,335769,356815,"$5,530,649,084","$15,500"
2018,3,9414,320204,317704,345713,327874,"$5,399,940,066","$16,470"
2018,4,9379,371569,375597,368162,371776,"$5,815,309,813","$15,642"
2017,Annual,9341,,,,347324,"$21,184,660,139","$60,994"
2017,1,9272,337657,357931,361881,352490,"$5,148,856,012","$14,607"
2017,2,9313,363132,356804,333362,351099,"$5,273,757,206","$15,021"
2017,3,9375,313065,310760,340930,321585,"$5,173,101,439","$16,086"
2017,4,9405,364138,367490,360740,364123,"$5,588,945,482","$15,349"
2016,Annual,9094,,,,343129,"$20,159,785,524","$58,753"
2016,1,9001,334198,352899,356217,347771,"$4,792,580,646","$13,781"
2016,2,9097,361717,353479,328207,347801,"$4,977,000,331","$14,310"
