Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,57293,,,,1570127,"$91,966,526,756","$58,573"
2021(p),1,57232,1550044,1554085,1563019,1555716,"$20,864,522,912","$13,412"
2021(p),2,56959,1568461,1568690,1574464,1570538,"$22,577,056,024","$14,375"
2021(p),3,57587,1566854,1560472,1559367,1562231,"$22,618,476,429","$14,478"
2021(p),4,57392,1581274,1593866,1600924,1592021,"$25,906,471,391","$16,273"
2020,Annual,58098,,,,1543816,"$87,295,927,468","$56,546"
2020,1,58360,1650866,1651897,1645269,1649344,"$21,375,128,031","$12,960"
2020,2,58116,1417984,1438028,1480495,1445502,"$20,571,029,223","$14,231"
2020,3,58044,1497921,1515105,1529687,1514238,"$20,807,133,279","$13,741"
2020,4,57871,1558874,1567357,1572314,1566182,"$24,542,636,935","$15,670"
2019,Annual,57748,,,,1622993,"$85,363,573,666","$52,596"
2019,1,57627,1594519,1598024,1609984,1600842,"$20,268,619,331","$12,661"
2019,2,57807,1614232,1622922,1629590,1622248,"$21,080,204,393","$12,994"
2019,3,57819,1619215,1618403,1624680,1620766,"$20,943,411,916","$12,922"
2019,4,57739,1638855,1650230,1655266,1648117,"$23,071,338,026","$13,999"
2018,Annual,58019,,,,1559868,"$80,122,577,102","$51,365"
2018,1,58147,1527217,1534456,1541519,1534397,"$19,068,546,745","$12,427"
2018,2,57999,1548887,1558063,1566284,1557745,"$19,682,473,920","$12,635"
2018,3,58041,1557448,1556153,1560277,1557959,"$19,593,461,318","$12,576"
2018,4,57887,1580154,1588693,1599259,1589369,"$21,778,095,119","$13,702"
2017,Annual,58162,,,,1500312,"$74,764,939,654","$49,833"
2017,1,57649,1472763,1477193,1482656,1477537,"$17,773,260,240","$12,029"
2017,2,58228,1489367,1499027,1506915,1498436,"$18,411,742,168","$12,287"
2017,3,58401,1497155,1495436,1503029,1498540,"$18,300,566,305","$12,212"
2017,4,58368,1516176,1527352,1536676,1526735,"$20,279,370,941","$13,283"
2016,Annual,56556,,,,1447895,"$70,547,198,798","$48,724"
2016,1,56144,1422839,1424519,1431723,1426360,"$16,334,970,501","$11,452"
2016,2,56563,1441447,1445879,1450413,1445913,"$17,105,924,703","$11,831"
2016,3,56716,1447343,1443548,1452082,1447658,"$17,995,058,703","$12,430"
2016,4,56800,1461640,1471799,1481502,1471647,"$19,111,244,891","$12,986"
2015,Annual,55495,,,,1400516,"$67,602,336,207","$48,270"
2015,1,55407,1382403,1380645,1386839,1383296,"$15,746,058,229","$11,383"
