Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,12611,,,,125272,"$8,869,826,127","$70,805"
2021(p),1,12599,89888,91702,95744,92445,"$1,465,442,275","$15,852"
2021(p),2,12497,109278,120130,136070,121826,"$1,845,697,173","$15,150"
2021(p),3,12757,152496,154393,140239,149043,"$2,440,265,344","$16,373"
2021(p),4,12589,140182,136949,136190,137774,"$3,118,421,335","$22,634"
2020,Annual,13021,,,,111324,"$7,775,884,569","$69,849"
2020,1,13181,161645,162325,157272,160414,"$2,185,775,143","$13,626"
2020,2,13023,79387,78873,88360,82207,"$1,394,174,862","$16,959"
2020,3,13015,97583,100912,106164,101553,"$1,768,221,681","$17,412"
2020,4,12864,106418,100540,96407,101122,"$2,427,712,883","$24,008"
2019,Annual,12875,,,,178739,"$10,451,416,525","$58,473"
2019,1,12817,157933,159032,163157,160041,"$2,148,184,036","$13,423"
2019,2,12933,171172,182897,197858,183976,"$2,377,927,780","$12,925"
2019,3,12929,207236,204404,181477,197706,"$2,665,881,065","$13,484"
2019,4,12821,180073,170151,169475,173233,"$3,259,423,644","$18,815"
2018,Annual,12774,,,,177488,"$9,803,117,155","$55,233"
2018,1,12658,155474,156986,162974,158478,"$2,070,795,772","$13,067"
2018,2,12744,169340,179897,196882,182040,"$2,227,118,590","$12,234"
2018,3,12846,206343,202698,181315,196785,"$2,492,858,502","$12,668"
2018,4,12846,179297,169274,169373,172648,"$3,012,344,291","$17,448"
2017,Annual,12622,,,,170311,"$9,212,943,076","$54,095"
2017,1,12560,148478,150073,152290,150280,"$1,878,833,438","$12,502"
2017,2,12648,160931,173602,189110,174548,"$2,067,148,092","$11,843"
2017,3,12697,199736,197166,174868,190590,"$2,371,416,248","$12,443"
2017,4,12583,171365,163954,162163,165827,"$2,895,545,298","$17,461"
2016,Annual,12401,,,,165927,"$8,741,320,719","$52,682"
2016,1,12265,144986,146614,149781,147127,"$1,812,746,851","$12,321"
2016,2,12402,158245,169330,182228,169934,"$1,965,280,080","$11,565"
2016,3,12482,195809,191333,170874,186005,"$2,269,686,047","$12,202"
2016,4,12456,165840,159096,156992,160643,"$2,693,607,741","$16,768"
2015,Annual,12180,,,,162822,"$8,410,603,299","$51,655"
2015,1,12121,142394,143156,146313,143954,"$1,734,289,246","$12,048"
2015,2,12190,153303,169113,179077,167164,"$1,828,091,236","$10,936"
2015,3,12227,191853,187210,168781,182615,"$2,118,703,667","$11,602"
2015,4,12181,164003,155063,153601,157556,"$2,729,519,150","$17,324"
2014,Annual,11677,,,,159278,"$7,801,677,465","$48,982"
2014,1,11484,137875,138678,142070,139541,"$1,632,895,550","$11,702"
2014,2,11682,150227,165239,176402,163956,"$1,743,029,596","$10,631"
2014,3,11762,188207,184119,164745,179024,"$1,932,806,581","$10,796"
2014,4,11778,160147,151687,151935,154590,"$2,492,945,738","$16,126"
2013,Annual,11631,,,,154178,"$7,144,926,272","$46,342"
2013,1,11581,131648,132691,136194,133511,"$1,507,058,023","$11,288"
2013,2,11675,145330,158985,170643,158319,"$1,630,272,044","$10,297"
2013,3,11680,183440,178183,158743,173455,"$1,758,706,469","$10,139"
2013,4,11586,157612,148373,148294,151426,"$2,248,889,736","$14,851"
2012,Annual,11380,,,,146728,"$6,867,884,041","$46,807"
2012,1,11286,127492,128382,132598,129491,"$1,551,012,066","$11,978"
