Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,51823,,,,595321,"$19,569,513,622","$32,872"
2021(p),1,51365,453767,484078,508332,482059,"$3,396,030,657","$7,045"
2021(p),2,51309,543757,579400,619109,580755,"$4,567,404,278","$7,865"
2021(p),3,52404,645884,653475,653009,650789,"$5,498,702,641","$8,449"
2021(p),4,52215,667092,666801,669148,667680,"$6,107,376,046","$9,147"
2020,Annual,52145,,,,523004,"$15,669,894,425","$29,961"
2020,1,52899,741024,750510,711159,734231,"$5,489,192,798","$7,476"
2020,2,51971,274548,345853,401363,340588,"$2,434,456,093","$7,148"
2020,3,52016,466674,502017,516002,494898,"$3,576,899,230","$7,228"
2020,4,51695,542216,528904,495773,522298,"$4,169,346,304","$7,983"
2019,Annual,53053,,,,779318,"$23,916,933,497","$30,690"
2019,1,52801,740637,746885,755832,747785,"$5,546,535,159","$7,417"
2019,2,53291,770387,790815,807772,789658,"$5,952,988,111","$7,539"
2019,3,53105,808194,804032,792903,801710,"$6,137,660,027","$7,656"
2019,4,53015,783625,775428,775301,778118,"$6,279,750,200","$8,070"
2018,Annual,53490,,,,779739,"$22,594,182,762","$28,977"
2018,1,53428,738091,745937,753057,745695,"$5,240,545,644","$7,028"
2018,2,53561,769010,792766,811473,791083,"$5,656,606,871","$7,150"
2018,3,53612,807175,805183,793501,801953,"$5,747,068,163","$7,166"
2018,4,53359,786687,776124,777865,780225,"$5,949,962,084","$7,626"
2017,Annual,53578,,,,774416,"$21,367,714,449","$27,592"
2017,1,52675,725504,736763,743742,735336,"$4,993,274,602","$6,790"
2017,2,53783,755913,786109,804037,782020,"$5,331,018,255","$6,817"
2017,3,54092,802941,804760,792503,800068,"$5,447,799,541","$6,809"
2017,4,53761,786618,778341,775766,780242,"$5,595,622,051","$7,172"
2016,Annual,49725,,,,746817,"$19,750,314,099","$26,446"
2016,1,49159,698143,706272,716589,707001,"$4,421,289,068","$6,254"
2016,2,49789,739638,756742,772912,756431,"$4,895,017,351","$6,471"
2016,3,49998,775312,772884,766027,771408,"$5,247,425,475","$6,802"
2016,4,49952,756447,750719,750113,752426,"$5,186,582,205","$6,893"
2015,Annual,48700,,,,729462,"$18,316,392,231","$25,109"
2015,1,48733,681636,690004,697394,689678,"$4,073,915,639","$5,907"
2015,2,48984,715079,743424,755283,737929,"$4,535,463,866","$6,146"
2015,3,48762,756810,754663,749728,753734,"$4,712,594,233","$6,252"
2015,4,48321,742162,734325,733030,736506,"$4,994,418,493","$6,781"
2014,Annual,47639,,,,707003,"$17,349,973,319","$24,540"
2014,1,46847,657114,667682,674851,666549,"$3,958,710,050","$5,939"
2014,2,47831,691604,720095,734131,715277,"$4,289,069,321","$5,996"
2014,3,47865,730816,729102,724305,728074,"$4,460,461,632","$6,126"
2014,4,48013,723286,716166,714878,718110,"$4,641,732,316","$6,464"
2013,Annual,47321,,,,681848,"$16,137,387,014","$23,667"
2013,1,46854,628448,639177,648287,638637,"$3,734,965,130","$5,848"
2013,2,47306,666718,691397,709763,689293,"$3,995,490,793","$5,797"
2013,3,47591,706361,705615,701819,704598,"$4,126,860,856","$5,857"
2013,4,47534,698659,693927,691999,694862,"$4,280,070,235","$6,160"
2012,Annual,46222,,,,652792,"$15,307,456,155","$23,449"
2012,1,45650,601544,616360,623481,613795,"$3,629,710,898","$5,914"
2012,2,46095,635680,662340,678489,658836,"$3,790,918,911","$5,754"
2012,3,46494,679044,682598,676108,679250,"$3,913,514,778","$5,762"
2012,4,46647,667350,653577,656938,659288,"$3,973,311,568","$6,027"
2011,Annual,45109,,,,623214,"$14,218,935,072","$22,815"
2011,1,44664,576327,584655,592603,584528,"$3,173,854,969","$5,430"
2011,2,44903,610765,630967,645390,629041,"$3,540,460,168","$5,628"
2011,3,45484,646539,647492,642856,645629,"$3,754,751,780","$5,816"
2011,4,45386,636199,632976,631796,633657,"$3,749,868,155","$5,918"
2010,Annual,43829,,,,593503,"$13,170,258,623","$22,191"
2010,1,43126,547529,554675,561847,554684,"$2,883,018,525","$5,198"
2010,2,43772,582763,600549,612404,598572,"$3,250,631,874","$5,431"
2010,3,44032,617285,619443,613611,616780,"$3,417,452,502","$5,541"
2010,4,44387,608131,602783,601018,603977,"$3,619,155,722","$5,992"
2009,Annual,42110,,,,569927,"$12,178,690,572","$21,369"
2009,1,41676,535022,539257,543527,539269,"$2,741,198,711","$5,083"
2009,2,42028,553966,578166,588472,573535,"$2,988,406,424","$5,211"
2009,3,42349,590735,591460,589639,590611,"$3,105,600,164","$5,258"
2009,4,42388,581606,574160,573117,576294,"$3,343,485,273","$5,802"
2008,Annual,41209,,,,572583,"$12,412,426,771","$21,678"
2008,1,40400,539087,546160,551770,545672,"$2,915,163,451","$5,342"
2008,2,41002,564637,583195,594083,580638,"$3,075,347,165","$5,296"
2008,3,41545,593626,593585,585508,590906,"$3,170,629,864","$5,366"
2008,4,41888,579153,572073,568113,573113,"$3,251,286,291","$5,673"
2007,Annual,39858,,,,562426,"$11,863,562,953","$21,094"
2007,1,39532,524296,530988,537220,530835,"$2,731,536,884","$5,146"
2007,2,40048,547943,570835,583775,567518,"$2,920,587,442","$5,146"
2007,3,39966,584583,585106,575783,581824,"$3,018,991,474","$5,189"
2007,4,39885,571805,569400,567372,569526,"$3,192,447,153","$5,605"
2006,Annual,38725,,,,542461,"$10,985,616,576","$20,251"
2006,1,38324,504674,511315,520872,512287,"$2,539,841,072","$4,958"
2006,2,38730,527748,549457,562536,546580,"$2,714,262,897","$4,966"
2006,3,38941,564224,563817,556283,561441,"$2,786,926,451","$4,964"
2006,4,38905,548508,549412,550680,549533,"$2,944,586,156","$5,358"
2005,Annual,38276,,,,536488,"$10,273,521,538","$19,150"
2005,1,37830,502179,507998,515250,508476,"$2,295,491,480","$4,514"
2005,2,38351,528864,544977,559547,544463,"$2,547,904,480","$4,680"
