Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,68418,,,,319128,"$15,866,623,779","$49,719"
2021(p),1,68554,303217,304777,308297,305430,"$3,645,987,955","$11,937"
2021(p),2,68076,313402,317300,320879,317194,"$3,903,869,298","$12,308"
2021(p),3,68763,322311,321942,322801,322351,"$3,913,504,896","$12,141"
2021(p),4,68277,330230,331609,332775,331538,"$4,403,261,630","$13,281"
2020,Annual,70687,,,,307291,"$15,051,794,640","$48,982"
2020,1,71914,367183,368317,357772,364424,"$4,117,292,202","$11,298"
2020,2,70666,238065,249232,270708,252668,"$3,332,159,424","$13,188"
2020,3,70325,293232,302536,306530,300766,"$3,600,646,241","$11,972"
2020,4,69841,312296,312288,309338,311307,"$4,001,696,773","$12,855"
2019,Annual,72416,,,,371236,"$16,116,448,059","$43,413"
2019,1,72428,363827,366897,367712,366145,"$3,963,197,216","$10,824"
2019,2,72785,371742,373629,375467,373613,"$3,975,911,503","$10,642"
2019,3,72520,374179,372085,370163,372142,"$3,956,695,518","$10,632"
2019,4,71930,372447,373544,373141,373044,"$4,220,643,822","$11,314"
2018,Annual,73219,,,,370323,"$15,519,059,768","$41,907"
2018,1,73396,361653,363973,366727,364118,"$3,804,308,213","$10,448"
2018,2,73391,369444,372539,375436,372473,"$3,791,935,357","$10,180"
2018,3,73296,372683,370599,368420,370567,"$3,868,913,499","$10,441"
2018,4,72791,374663,374097,373645,374135,"$4,053,902,699","$10,835"
2017,Annual,74426,,,,369894,"$14,960,671,184","$40,446"
2017,1,74154,361851,362306,364075,362744,"$3,683,196,036","$10,154"
2017,2,74665,367912,372363,375728,372001,"$3,733,401,547","$10,036"
2017,3,74712,373244,370453,369715,371137,"$3,651,195,025","$9,838"
2017,4,74172,373532,373520,374029,373694,"$3,892,878,576","$10,417"
2016,Annual,73406,,,,365307,"$14,217,478,938","$38,919"
2016,1,72762,355756,358215,359783,357918,"$3,429,049,899","$9,581"
2016,2,73544,365520,368413,369319,367751,"$3,507,457,313","$9,538"
2016,3,73705,368712,366571,365770,367018,"$3,586,656,366","$9,772"
2016,4,73614,368614,368742,368273,368543,"$3,694,315,360","$10,024"
2015,Annual,71230,,,,357483,"$13,599,655,327","$38,043"
2015,1,71200,349211,350246,352149,350535,"$3,281,661,945","$9,362"
2015,2,71589,355450,359756,362363,359190,"$3,310,464,246","$9,216"
2015,3,71401,360394,358959,356653,358669,"$3,337,381,634","$9,305"
2015,4,70728,361126,361271,362223,361540,"$3,670,147,502","$10,151"
2014,Annual,69416,,,,349484,"$12,748,330,184","$36,478"
2014,1,68594,339503,341565,343566,341545,"$3,068,590,775","$8,984"
2014,2,69445,347817,352067,353211,351032,"$3,143,824,234","$8,956"
2014,3,69732,352160,350515,349193,350623,"$3,123,755,142","$8,909"
2014,4,69894,353792,354796,355619,354736,"$3,412,160,033","$9,619"
2013,Annual,69001,,,,341418,"$12,154,236,887","$35,599"
2013,1,68681,331920,333603,335546,333690,"$2,934,039,383","$8,793"
2013,2,69173,339581,342779,345432,342597,"$3,013,740,563","$8,797"
2013,3,69158,343974,343140,341231,342782,"$2,966,533,651","$8,654"
2013,4,68990,345707,346670,347434,346604,"$3,239,923,290","$9,348"
2012,Annual,67885,,,,334831,"$11,696,442,183","$34,932"
2012,1,67374,326193,327770,331368,328444,"$2,863,417,840","$8,718"
2012,2,67933,332800,337074,340753,336876,"$2,878,396,040","$8,544"
2012,3,68121,337177,334810,335871,335953,"$2,852,312,722","$8,490"
2012,4,68112,338539,336761,338854,338051,"$3,102,315,581","$9,177"
2011,Annual,66772,,,,327996,"$11,571,764,845","$35,280"
2011,1,66303,318751,320625,322653,320676,"$2,957,846,642","$9,224"
2011,2,66704,327457,330333,331957,329916,"$2,768,821,691","$8,393"
2011,3,67153,330628,328173,329576,329459,"$2,830,381,827","$8,591"
2011,4,66927,330925,331655,333223,331934,"$3,014,714,685","$9,082"
2010,Annual,65712,,,,319945,"$11,100,986,509","$34,697"
2010,1,65092,311754,311862,314420,312679,"$2,770,063,806","$8,859"
2010,2,65632,318962,321600,323266,321276,"$2,632,888,116","$8,195"
2010,3,65897,323782,322405,319812,322000,"$2,732,923,444","$8,487"
2010,4,66225,323502,323386,324586,323825,"$2,965,111,143","$9,157"
2009,Annual,64726,,,,319396,"$10,732,361,522","$33,602"
2009,1,64492,315565,316732,318164,316820,"$2,621,820,061","$8,275"
2009,2,64782,318380,321879,323046,321102,"$2,604,869,502","$8,112"
2009,3,64847,321177,318690,317536,319134,"$2,579,483,458","$8,083"
2009,4,64781,319950,320498,321138,320529,"$2,926,188,501","$9,129"
2008,Annual,64609,,,,324656,"$10,959,112,327","$33,756"
2008,1,63902,317997,318993,321168,319386,"$2,751,716,221","$8,616"
2008,2,64557,324151,327430,328869,326817,"$2,634,377,541","$8,061"
2008,3,64957,326648,325271,324412,325444,"$2,626,915,225","$8,072"
2008,4,65021,327395,326687,326847,326976,"$2,946,103,340","$9,010"
2007,Annual,63187,,,,323304,"$10,293,544,707","$31,839"
2007,1,62741,315617,316832,319811,317420,"$2,577,220,354","$8,119"
2007,2,63245,321891,326773,328970,325878,"$2,473,869,486","$7,591"
2007,3,63285,323925,321639,322066,322543,"$2,484,877,202","$7,704"
2007,4,63476,326377,327221,328524,327374,"$2,757,577,665","$8,423"
2006,Annual,61694,,,,316413,"$9,665,765,236","$30,548"
2006,1,61298,308666,309634,313167,310489,"$2,349,948,514","$7,569"
2006,2,61767,315326,318584,321044,318318,"$2,356,178,929","$7,402"
2006,3,61584,317148,314727,316203,316026,"$2,349,532,477","$7,435"
2006,4,62127,319291,320137,323023,320817,"$2,610,105,316","$8,136"
2005,Annual,61426,,,,314878,"$9,187,512,674","$29,178"
2005,1,60996,307749,308988,311481,309406,"$2,189,218,295","$7,076"
2005,2,61470,316344,317894,319791,318010,"$2,250,871,201","$7,078"
2005,3,61219,316418,313882,313956,314752,"$2,278,710,406","$7,240"
2005,4,62019,315838,316928,319269,317345,"$2,468,712,772","$7,779"
2004,Annual,60718,,,,311413,"$8,713,470,437","$27,980"
2004,1,59861,303102,304553,307891,305182,"$2,085,860,227","$6,835"
2004,2,60817,310006,313745,315653,313135,"$2,119,801,912","$6,770"
2004,3,60848,313769,311628,311612,312336,"$2,120,147,987","$6,788"
2004,4,61347,314248,314255,316499,315001,"$2,387,660,311","$7,580"
2003,Annual,59830,,,,310715,"$8,417,212,904","$27,090"
2003,1,59533,305752,306800,309535,307362,"$2,031,645,466","$6,610"
2003,2,59707,310075,312951,314195,312407,"$2,048,716,221","$6,558"
2003,3,59811,312569,310473,309166,310736,"$2,049,801,127","$6,597"
2003,4,60270,311403,312158,313499,312353,"$2,287,050,090","$7,322"
2002,Annual,60244,,,,310619,"$8,171,382,343","$26,307"
2002,1,59958,302464,304275,307030,304590,"$1,970,154,529","$6,468"
2002,2,60322,309727,312571,313962,312087,"$1,990,251,646","$6,377"
2002,3,60301,311869,310381,308761,310337,"$1,999,632,483","$6,443"
2002,4,60394,314264,315778,316346,315463,"$2,211,343,685","$7,010"
2001,Annual,61453,,,,311999,"$7,839,268,950","$25,126"
2001,1,61482,306985,309182,311833,309333,"$1,928,009,523","$6,233"
2001,2,61231,311783,315208,317625,314872,"$1,926,825,719","$6,119"
2001,3,61784,313283,312404,308610,311432,"$1,922,781,929","$6,174"
2001,4,61313,310552,312642,313876,312357,"$2,061,651,779","$6,600"
2000,Annual,61880,,,,310504,"$7,456,978,483","$24,016"
2000,1,62301,301978,304576,307337,304630,"$1,797,052,901","$5,899"
