Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,73.0,68.0,71.2,72.0,74.0,,,,,,,,
2020,79.0,79.1,79.2,51.7,63.9,73.4,77.0,79.3,78.2,78.9,78.7,76.6,74.6
2019,79.5,79.9,81.1,83.9,85.0,85.9,86.9,86.9,85.9,85.7,85.3,82.8,84.1
2018,76.1,77.6,79.0,83.2,85.1,85.6,85.8,85.9,85.0,86.4,85.8,84.6,83.3
2017,74.4,74.2,76.0,80.2,82.4,83.7,85.0,85.3,84.3,84.0,83.8,82.5,81.3
2016,71.8,70.2,73.6,77.6,79.1,79.7,81.6,82.0,81.2,81.0,80.7,78.7,78.1
2015,66.5,65.0,67.1,73.1,75.5,76.7,77.7,78.1,77.0,78.0,77.7,76.4,74.1
2014,62.9,61.6,64.9,69.8,72.3,73.8,75.4,75.4,74.9,75.7,75.6,73.8,71.3
2013,61.9,60.6,63.0,67.3,68.7,69.4,70.5,71.4,70.6,71.3,70.8,68.9,67.9
2012,57.4,57.1,59.3,61.4,62.1,63.3,64.5,64.6,64.4,65.0,64.8,65.7,62.5
2011,53.5,53.6,56.0,60.2,61.7,62.8,64.1,64.4,63.9,63.6,63.2,62.4,60.8
2010,55.8,54.7,57.1,61.4,62.7,63.7,64.3,64.6,64.0,62.9,62.1,59.9,61.1
2009,62.7,62.3,63.4,65.5,66.6,66.8,67.8,67.3,66.4,65.2,64.3,62.7,65.1
2008,68.4,68.1,70.2,73.8,75.0,75.7,76.1,76.7,75.6,74.9,73.2,70.7,73.2
2007,65.8,64.5,66.6,70.6,72.8,74.2,75.0,75.6,75.3,75.5,75.1,74.0,72.1
2006,63.0,62.9,65.1,68.6,70.6,72.4,72.0,72.8,72.9,73.4,73.0,72.3,69.9
2005,60.6,59.5,61.5,66.0,68.0,69.7,69.3,69.9,69.8,68.4,69.5,68.8,66.8
2004,59.1,58.3,61.6,64.8,67.0,68.7,69.5,70.5,70.4,70.0,69.8,68.7,66.5
2003,58.7,57.7,59.7,62.7,64.9,65.7,67.2,67.2,67.4,67.9,67.8,66.9,64.5
2002,58.3,58.5,60.3,63.4,64.8,65.7,67.2,68.0,67.1,67.3,66.7,65.2,64.4
2001,56.2,56.7,58.2,61.6,63.7,65.0,64.9,65.3,64.4,64.6,64.8,64.2,62.5
2000,54.3,54.1,57.3,60.1,62.0,63.4,63.4,63.5,64.4,64.5,64.7,64.2,61.3
1999,51.2,51.6,52.8,57.0,58.8,59.9,59.7,60.2,60.2,60.8,60.9,61.1,57.9
1998,45.0,45.5,47.5,50.9,52.5,54.3,54.4,55.0,54.9,55.2,55.5,54.8,52.1
1997,42.5,42.1,44.0,47.0,48.4,49.6,50.6,50.9,51.3,51.2,51.0,50.2,48.2
1996,37.0,38.0,40.1,43.1,45.3,46.8,47.7,48.6,49.0,49.2,49.0,47.5,45.1
1995,38.2,37.8,40.3,42.9,44.1,45.5,45.3,45.8,45.9,45.6,45.1,44.0,43.4
1994,34.1,33.6,35.8,40.5,42.7,44.3,44.9,45.7,46.0,45.5,45.3,44.3,41.9
1993,35.0,35.1,35.8,39.4,41.1,42.2,42.0,42.5,42.8,43.4,42.9,42.0,40.4
1992,36.1,35.3,36.5,38.3,39.4,40.1,40.5,40.6,40.7,41.0,40.4,39.6,39.0
"Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands.","Natural Resources, Mining and Construction - Data in thousands."
1991,42.8,42.4,43.3,46.5,47.3,47.9,46.5,46.2,46.0,44.8,44.0,42.6,45.0
1990,51.3,50.9,52.7,54.4,55.8,56.5,55.9,56.1,55.4,53.5,52.7,51.0,53.9
