Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2020,32.1,32.3,32.4,26.1,27.5,29.2,29.7,30.0,29.7,30.0,29.5,29.8,
2019,32.3,32.5,32.6,32.7,32.5,32.8,32.8,32.6,32.6,32.8,32.8,32.7,32.6
2018,31.7,32.2,32.3,32.3,32.4,32.5,32.5,32.7,32.7,32.8,32.8,32.9,32.5
2017,31.7,31.9,32.3,32.2,32.5,32.5,32.5,32.4,32.3,32.4,32.4,32.4,32.3
2016,31.0,31.2,31.4,30.8,30.9,31.2,31.3,31.5,31.7,32.2,32.2,32.2,31.5
2015,30.5,30.8,30.9,31.1,31.3,31.4,31.3,31.3,31.4,31.7,31.6,31.5,31.2
2014,30.8,30.8,30.9,31.0,31.0,31.3,31.1,31.1,31.2,31.3,31.5,31.4,31.1
2013,30.6,30.7,31.1,31.2,31.3,31.7,31.4,31.4,31.4,31.4,31.6,31.4,31.3
2012,30.4,30.4,30.7,30.7,30.9,31.2,31.1,31.1,31.4,31.6,31.4,31.4,31.0
2011,28.5,28.8,28.9,29.6,29.5,29.9,29.8,30.0,30.4,30.8,30.9,30.8,29.8
2010,28.9,29.1,29.4,29.5,29.5,29.7,29.3,29.3,29.4,29.6,29.5,29.5,29.4
2009,30.3,30.0,29.8,29.7,29.8,29.7,29.0,29.2,29.4,29.8,29.5,29.6,29.7
2008,32.0,31.7,31.9,31.9,31.8,31.8,31.3,31.7,31.9,31.9,31.6,31.3,31.7
2007,33.1,33.1,33.2,32.6,32.7,32.7,32.5,32.6,32.6,33.1,33.0,32.9,32.8
2006,33.6,33.8,33.7,33.4,33.7,34.0,33.2,33.3,33.4,33.5,33.7,33.5,33.6
2005,34.1,34.2,34.4,34.2,33.9,34.1,33.5,33.7,34.0,34.2,34.2,34.3,34.1
2004,34.7,35.0,35.3,35.0,34.8,34.8,34.2,34.5,34.7,35.4,35.3,35.5,34.9
2003,35.3,35.5,35.5,35.4,35.3,35.3,34.4,34.8,35.1,35.6,35.6,35.4,35.3
2002,36.0,36.0,35.9,35.7,35.7,35.9,35.3,35.9,36.2,36.5,36.8,36.7,36.1
2001,38.2,38.1,38.0,37.7,37.8,37.9,37.2,37.3,37.5,37.4,37.1,36.7,37.6
2000,40.1,40.0,40.1,40.3,40.3,40.3,39.6,40.3,40.7,40.9,40.9,40.6,40.3
1999,38.7,38.8,39.0,39.4,39.6,39.8,39.1,39.7,40.1,40.9,41.1,41.5,39.8
1998,37.1,37.4,37.6,37.4,37.7,37.9,37.0,37.6,38.0,38.4,38.6,38.5,37.8
1997,36.3,36.4,37.1,36.7,36.8,37.0,36.0,36.7,37.1,37.4,37.9,37.8,36.9
1996,35.5,36.3,36.6,36.4,36.2,36.3,35.7,36.3,37.0,37.2,37.3,37.3,36.5
1995,36.4,37.1,37.1,36.7,36.6,36.8,35.7,36.2,36.6,36.9,37.2,36.9,36.7
1994,35.8,36.0,36.3,36.6,36.7,36.6,36.4,36.8,37.4,37.8,37.9,37.9,36.9
1993,35.6,36.0,36.4,36.2,36.4,36.7,36.1,36.6,37.0,37.4,37.5,36.9,36.6
1992,35.4,35.7,35.8,36.2,36.2,36.5,35.4,36.3,36.5,36.8,36.9,36.8,36.2
1991,36.4,36.7,37.0,36.5,36.6,36.5,36.1,36.7,37.0,37.5,37.6,37.4,36.8
1990,41.2,41.3,41.7,40.9,40.8,41.1,39.6,39.9,40.2,39.8,39.8,39.3,40.5
