Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,31.9,32.2,,,,,,,,,,,
2020,35.9,35.6,35.4,32.6,32.6,32.6,33.0,33.0,32.9,32.7,33.1,32.5,33.5
2019,36.6,36.5,36.7,36.6,36.4,36.7,36.7,36.4,36.2,36.0,36.0,36.1,36.4
2018,35.1,35.2,35.4,35.4,35.7,36.0,35.9,35.9,35.9,35.9,36.2,36.5,35.8
2017,34.7,34.7,34.9,34.5,34.7,34.9,35.0,34.9,35.0,35.1,35.4,35.7,35.0
2016,33.0,32.9,33.0,33.3,33.5,33.8,34.1,34.1,34.1,34.3,34.5,34.7,33.8
2015,32.8,32.6,32.6,32.6,32.7,32.9,33.0,33.1,33.0,33.2,33.3,33.6,33.0
2014,32.5,32.3,32.4,32.6,32.7,32.8,32.7,32.8,32.8,32.9,32.9,33.0,32.7
2013,32.1,32.0,32.1,32.2,32.4,32.6,32.5,32.4,32.4,32.6,32.7,32.8,32.4
2012,33.0,32.9,33.1,33.0,33.0,33.1,32.8,32.5,32.6,32.5,32.2,32.2,32.7
2011,32.8,32.9,33.2,33.0,33.0,33.2,33.3,33.3,33.3,33.1,33.0,33.2,33.1
2010,32.7,32.5,32.6,32.7,32.9,33.0,33.0,32.9,33.0,32.9,33.1,33.2,32.9
2009,32.4,32.5,32.6,32.5,32.5,32.7,32.6,32.6,32.6,32.8,32.8,33.1,32.6
2008,31.5,31.6,31.7,31.7,31.9,32.0,32.1,32.2,32.0,32.2,32.4,32.6,32.0
2007,31.6,31.5,31.7,31.6,31.4,31.4,31.3,31.3,31.3,31.2,31.2,31.4,31.4
2006,31.6,31.7,31.7,31.7,31.6,31.7,31.6,31.6,31.4,31.6,31.7,31.8,31.6
2005,30.6,30.6,30.7,30.5,30.6,30.9,30.8,31.0,31.2,31.0,31.2,31.7,30.9
2004,28.7,28.7,28.8,29.0,29.2,29.5,29.8,29.8,30.0,30.0,30.3,30.7,29.5
2003,27.5,27.4,27.5,27.6,27.6,27.9,27.8,27.9,28.1,28.2,28.3,28.6,27.9
2002,26.2,26.2,26.4,26.6,26.6,26.7,26.5,26.5,26.6,26.8,26.8,27.2,26.6
2001,25.1,25.1,25.2,25.4,25.6,25.9,25.7,26.1,26.1,26.4,26.6,26.9,25.8
2000,25.1,25.5,25.6,25.6,25.7,25.8,25.8,25.9,25.9,26.0,26.2,26.2,25.8
1999,24.5,24.5,24.6,24.9,25.2,25.0,25.2,25.3,25.3,25.2,25.6,25.6,25.1
1998,24.3,24.2,24.2,24.5,24.6,24.8,24.4,24.7,24.7,24.9,25.0,25.3,24.6
1997,22.6,22.6,22.6,22.8,22.8,22.9,22.8,22.8,22.8,23.2,23.4,23.6,22.9
1996,21.7,21.8,22.0,22.0,22.2,22.5,22.6,22.6,22.6,22.6,22.9,23.0,22.4
1995,20.3,20.3,20.4,20.3,20.4,20.4,21.0,21.0,21.1,21.0,21.1,21.3,20.7
1994,19.3,19.3,19.4,19.5,19.5,19.7,19.8,19.7,19.8,19.8,19.9,20.0,19.6
1993,18.3,18.4,18.4,18.4,18.5,18.7,19.0,19.0,19.0,19.3,19.4,19.4,18.8
1992,17.8,17.9,18.0,18.2,18.3,18.4,18.6,18.7,18.6,18.6,18.6,18.7,18.4
Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.,Nursing and Residential Care Facilities - Data in thousands.
1991,17.1,17.2,17.4,17.3,17.4,17.6,17.6,17.7,17.6,17.6,17.7,18.1,17.5
1990,16.9,17.0,17.0,17.1,17.4,17.5,17.8,17.6,17.4,17.4,17.4,17.8,17.4
