Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,47.2,47.0,48.0,49.1,49.2,49.8,50.9,50.9,49.6,50.1,50.4,50.2,
2020,59.1,59.0,56.8,33.5,36.9,42.6,47.0,48.6,49.6,50.0,49.2,49.2,48.5
2019,59.4,59.3,59.7,60.4,60.7,61.4,60.6,60.2,60.1,60.7,60.7,60.6,60.3
2018,59.3,59.6,60.1,60.9,61.6,62.2,61.2,61.2,61.0,61.7,61.2,61.3,60.9
2017,58.5,58.5,58.9,59.9,60.9,61.8,60.9,60.6,60.6,60.9,61.3,61.1,60.3
2016,58.0,58.1,58.8,59.8,60.4,61.2,59.9,59.6,59.8,60.0,60.0,59.9,59.6
2015,56.1,56.2,56.7,57.5,58.6,59.5,58.7,58.9,58.9,59.4,59.2,59.4,58.3
2014,55.3,55.4,56.5,57.5,58.4,58.8,58.2,57.9,57.8,57.5,57.4,57.8,57.4
2013,53.9,53.8,54.6,56.0,56.5,57.6,56.9,56.7,56.9,57.0,56.8,57.0,56.1
2012,53.7,53.5,54.5,54.9,55.6,56.8,55.5,55.5,55.5,55.3,54.5,55.7,55.1
2011,52.8,52.6,53.5,54.3,55.0,55.9,55.4,55.1,54.8,54.7,54.8,55.0,54.5
2010,51.4,51.1,51.7,52.6,53.3,53.9,53.9,53.7,53.5,53.9,53.7,54.1,53.1
2009,52.2,52.2,52.5,52.4,53.2,53.6,53.1,52.6,52.6,52.6,52.6,52.9,52.7
2008,52.2,52.2,52.7,53.3,54.2,54.5,54.2,53.8,53.8,53.9,54.1,54.0,53.6
2007,51.2,51.4,52.1,52.2,53.1,53.7,53.1,52.8,53.3,53.1,53.3,53.4,52.7
2006,50.9,51.0,51.6,51.8,52.5,53.0,51.8,51.4,51.7,52.2,52.2,52.7,51.9
2005,50.9,50.9,51.4,51.9,52.2,52.5,52.1,51.7,52.0,52.0,52.3,52.6,51.9
2004,50.0,50.1,50.8,50.9,51.3,52.0,51.5,51.5,51.9,52.1,51.9,52.4,51.4
2003,49.6,49.7,49.9,50.2,50.9,51.0,51.4,51.2,51.4,51.0,50.9,51.0,50.7
2002,48.7,48.9,49.3,49.4,50.0,50.5,50.4,50.4,51.0,51.0,51.0,51.0,50.1
2001,48.8,49.1,49.4,48.9,49.8,50.1,49.8,49.8,50.1,50.0,50.1,50.2,49.7
2000,47.7,48.1,48.6,48.8,49.3,49.2,49.0,48.9,49.5,49.8,49.9,49.9,49.1
1999,46.2,46.4,46.9,48.0,48.6,49.1,48.5,48.4,48.4,48.8,48.9,49.0,48.1
1998,43.2,43.5,44.0,44.1,44.7,44.9,44.9,44.7,45.0,45.5,45.8,45.9,44.7
1997,42.3,42.2,43.2,43.5,43.9,44.1,43.7,43.3,43.8,44.0,44.2,44.4,43.6
1996,40.9,41.0,41.7,42.2,43.0,43.4,42.8,42.8,43.0,43.0,43.2,43.3,42.5
1995,40.8,40.7,41.2,41.2,41.7,42.2,41.5,41.8,42.1,42.2,42.2,42.5,41.7
1994,38.2,38.3,38.8,39.1,39.7,39.9,39.9,39.9,40.3,40.9,41.1,41.2,39.8
1993,37.1,37.1,37.4,37.8,38.1,38.5,38.5,38.4,38.7,38.5,38.4,38.5,38.1
1992,37.2,37.1,37.3,38.1,38.5,38.8,38.6,38.3,38.8,38.6,38.2,38.3,38.2
1991,37.6,37.5,37.8,37.9,38.4,38.7,38.3,38.3,38.2,37.9,37.9,37.8,38.0
1990,38.5,38.8,39.0,39.1,39.5,40.0,39.4,39.4,39.4,38.7,38.8,38.9,39.1
