Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2020,163.0,164.5,166.8,146.2,149.3,155.5,156.8,158.9,160.7,163.8,163.2,162.0,
2019,162.2,163.3,165.8,171.8,172.7,175.3,175.7,174.4,172.5,176.4,174.1,175.3,171.6
2018,164.2,164.6,167.3,174.1,175.8,179.4,178.2,177.2,175.0,175.7,175.2,174.5,173.4
2017,166.6,166.1,168.0,174.9,177.1,179.0,179.1,177.8,176.8,176.0,175.6,174.8,174.3
2016,165.0,166.1,169.7,174.9,175.9,178.4,178.8,178.4,177.7,178.3,178.7,177.6,175.0
2015,162.1,162.5,164.3,171.4,173.5,175.6,176.2,175.6,174.2,175.0,174.3,173.7,171.5
2014,160.4,160.8,162.8,169.0,171.6,172.5,173.7,172.9,171.3,173.1,172.6,171.7,169.4
2013,158.7,159.6,162.7,167.8,169.3,170.8,171.0,171.4,170.8,172.3,172.2,172.1,168.2
2012,154.6,155.5,158.9,163.4,164.7,167.1,165.6,166.0,165.6,167.7,167.0,168.6,163.7
2011,150.0,148.8,152.1,158.7,159.7,161.8,162.1,161.4,161.7,160.7,161.2,161.1,158.3
2010,143.9,144.2,147.3,153.4,154.2,155.8,155.4,155.5,155.4,156.1,156.2,156.2,152.8
2009,150.2,150.1,152.1,154.8,155.3,156.4,155.6,155.3,154.2,153.4,152.9,152.9,153.6
2008,158.6,158.9,162.6,165.1,165.0,166.2,165.6,165.3,164.2,163.6,161.6,160.5,163.1
2007,155.8,156.0,159.4,164.6,165.4,167.1,167.7,167.2,166.8,166.8,166.7,167.0,164.2
2006,149.0,149.6,152.7,158.5,159.5,162.1,162.1,162.0,161.2,161.8,162.6,162.6,158.6
2005,150.1,150.5,152.8,159.5,160.6,163.1,164.1,163.7,163.9,162.9,163.0,163.2,159.8
2004,151.4,152.2,155.8,160.1,161.6,163.5,162.6,162.6,162.1,161.9,161.6,161.2,159.7
2003,146.1,146.5,149.4,152.4,154.0,156.2,155.6,155.9,155.7,156.1,156.2,156.3,153.4
2002,148.6,148.7,151.4,153.8,155.6,157.4,155.9,155.5,156.3,155.6,155.3,154.9,154.1
2001,154.3,155.4,157.9,159.0,160.9,162.2,161.4,160.9,158.7,157.3,156.7,157.3,158.5
2000,148.3,149.5,151.3,154.5,157.1,158.9,158.7,160.1,160.5,160.4,160.1,161.0,156.7
1999,140.4,142.2,144.0,148.5,149.3,152.0,151.8,152.5,151.2,152.7,153.4,154.9,149.4
1998,135.1,136.3,139.0,140.4,141.8,146.1,144.4,145.5,144.4,145.2,145.6,146.2,142.5
1997,129.8,130.7,133.4,136.0,137.3,140.5,140.6,141.5,141.0,140.9,140.7,141.9,137.9
1996,125.0,126.9,129.1,130.5,133.1,135.5,134.4,134.1,134.1,136.1,136.1,136.3,132.6
1995,124.7,125.6,128.1,129.4,130.1,131.4,132.3,132.2,131.6,131.5,130.9,131.5,129.9
1994,118.2,120.4,122.6,125.1,126.1,127.4,127.6,127.9,126.9,129.3,128.4,128.5,125.7
1993,111.5,112.5,113.8,116.7,118.3,120.8,120.4,120.3,120.3,121.2,120.9,121.5,118.2
1992,108.2,108.2,109.5,112.1,112.7,115.4,115.0,114.6,114.6,114.1,113.8,113.8,112.7
1991,111.0,110.6,110.8,110.2,111.2,112.3,113.2,112.7,113.0,112.6,112.4,112.3,111.9
1990,111.4,111.9,114.3,117.0,118.3,119.2,118.8,118.3,119.0,118.0,117.6,117.3,116.8
