Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,74.1,74.0,,,,,,,,,,,
2020,78.0,78.6,78.5,67.6,69.9,71.5,72.9,73.2,72.9,73.6,73.6,74.1,73.7
2019,79.0,79.5,79.7,80.0,78.9,79.9,80.2,79.6,78.3,79.8,80.1,80.6,79.6
2018,81.3,81.8,81.8,82.3,81.2,82.0,81.9,81.2,79.8,81.4,81.5,81.6,81.5
2017,81.4,81.8,82.1,83.4,82.7,83.6,83.8,83.2,82.2,82.7,82.9,83.0,82.7
2016,79.8,80.3,81.0,81.7,80.8,81.7,82.2,82.0,81.0,81.9,82.5,82.7,81.5
2015,80.2,80.4,80.7,81.1,80.8,81.5,82.0,81.8,80.9,81.3,81.5,82.1,81.2
2014,79.2,79.7,80.1,81.1,80.6,81.0,81.4,81.2,79.9,81.1,81.1,81.5,80.7
2013,79.7,80.2,81.1,81.4,80.7,81.1,82.0,82.2,81.6,82.8,83.3,84.0,81.7
2012,77.6,78.2,79.0,78.9,78.3,79.4,79.4,79.6,79.0,80.6,80.1,81.2,79.3
2011,74.5,74.7,75.6,76.6,75.7,76.6,77.2,76.9,76.4,76.8,77.3,77.9,76.4
2010,70.7,70.8,71.9,73.0,72.0,72.8,73.1,73.1,72.8,74.1,74.5,75.6,72.9
2009,72.1,72.5,72.8,72.3,71.3,71.9,71.7,71.3,71.0,71.6,71.9,72.5,71.9
2008,74.3,74.8,75.4,75.7,74.6,75.4,75.4,75.1,74.6,75.1,74.5,75.2,75.0
2007,73.9,74.4,75.3,75.3,74.4,75.6,75.3,75.1,74.5,75.5,75.7,76.8,75.2
2006,71.9,72.1,73.1,73.5,72.7,74.1,74.1,74.0,73.5,74.5,75.3,76.1,73.7
2005,70.7,70.6,71.5,72.1,71.5,72.4,72.6,72.3,72.4,73.1,73.5,74.4,72.3
2004,70.3,70.7,71.7,72.0,71.7,73.0,72.1,71.7,71.3,72.0,72.6,73.5,71.9
2003,70.3,71.0,71.8,71.3,71.0,71.7,71.2,70.9,70.5,71.6,72.0,72.9,71.4
2002,69.6,70.0,70.8,71.0,70.9,71.7,70.5,70.2,69.9,71.2,71.7,72.8,70.9
2001,73.5,74.2,74.8,73.5,73.9,74.7,73.4,72.8,71.5,71.5,71.8,72.7,73.2
2000,70.6,71.3,72.1,71.5,71.9,73.2,72.7,73.3,73.3,74.6,75.1,76.1,73.0
1999,67.5,68.2,69.1,70.5,70.2,71.5,70.2,70.5,69.8,71.1,71.6,72.6,70.2
1998,64.6,65.3,66.3,64.3,64.3,65.8,65.7,65.8,65.3,66.4,67.1,67.9,65.7
1997,62.2,62.7,63.6,63.9,63.6,65.2,65.2,65.3,64.7,65.7,66.3,67.3,64.6
1996,60.3,61.0,61.8,61.7,61.8,62.8,62.4,62.2,62.3,63.1,64.0,64.0,62.3
1995,60.6,61.0,61.7,61.6,60.1,61.5,61.0,60.9,60.6,60.8,61.6,62.6,61.2
1994,57.4,59.7,60.1,60.4,59.9,60.7,60.4,60.3,59.9,61.3,61.9,62.3,60.4
1993,53.4,53.7,54.0,54.4,53.9,54.8,54.5,54.5,54.2,55.7,56.1,57.2,54.7
1992,51.6,51.9,52.2,52.7,52.4,53.1,52.9,52.2,52.1,52.8,52.9,53.9,52.6
"Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands.","Professional, Scientific, and Technical Services - Data in thousands."
1991,55.3,55.7,54.6,52.9,52.0,52.7,52.4,52.3,52.0,52.4,52.7,53.3,53.2
1990,53.9,54.3,54.7,55.0,54.5,55.0,54.8,54.8,54.4,54.5,54.8,55.3,54.7
