Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,16.4,16.2,,,,,,,,,,,
2020,17.9,17.7,17.5,15.3,15.8,16.4,16.9,17.2,17.2,17.6,17.1,17.1,17.0
2019,17.5,17.4,17.6,17.8,18.2,18.6,18.7,18.6,18.3,18.4,18.2,18.3,18.1
2018,17.6,17.7,17.9,18.2,18.5,19.0,19.0,18.9,18.5,18.5,18.3,18.4,18.4
2017,17.4,17.4,17.6,18.1,18.5,19.1,19.2,19.1,18.9,18.7,18.5,18.7,18.4
2016,17.1,17.1,17.2,17.6,17.9,18.5,18.6,18.6,18.3,18.2,18.0,18.2,17.9
2015,16.5,16.6,16.8,17.0,17.6,18.2,18.4,18.3,18.0,17.8,17.6,17.8,17.6
2014,16.3,16.4,16.5,17.0,17.2,17.9,18.0,17.9,17.6,17.5,17.3,17.4,17.3
2013,15.7,15.7,15.9,16.3,16.7,17.3,17.4,17.4,17.1,17.0,16.9,17.1,16.7
2012,16.1,15.9,16.2,16.4,16.6,17.0,17.0,16.9,16.6,16.6,16.5,16.6,16.5
2011,15.8,15.7,15.9,16.3,16.4,16.9,17.1,16.9,16.6,16.4,16.4,16.4,16.4
2010,15.7,15.6,15.9,16.1,16.3,16.9,17.1,17.2,16.7,16.6,16.4,16.5,16.4
2009,16.3,16.1,16.1,16.2,16.5,17.0,17.1,17.1,16.8,16.5,16.3,16.3,16.5
2008,16.8,16.7,16.8,17.3,17.5,17.9,18.0,18.0,17.6,17.6,17.2,17.3,17.4
2007,17.2,17.1,17.2,17.3,17.5,18.0,18.2,18.1,17.7,17.7,17.5,17.5,17.6
2006,17.5,17.4,17.5,17.8,18.0,18.6,18.6,18.6,18.3,18.0,17.9,18.0,18.0
2005,17.2,17.1,17.4,17.8,18.0,18.5,18.6,18.6,18.3,18.4,18.3,18.4,18.1
2004,17.3,17.1,17.4,17.8,18.0,18.4,18.7,18.8,18.3,18.2,18.0,18.2,18.0
2003,16.7,16.7,16.9,17.2,17.5,18.0,18.4,18.4,18.0,17.9,17.8,18.0,17.6
2002,16.8,16.9,17.0,17.4,17.6,18.2,18.3,18.3,18.0,17.6,17.4,17.4,17.6
2001,18.1,18.2,18.2,18.0,18.3,18.6,18.7,18.7,18.3,17.9,17.7,17.9,18.2
2000,17.7,17.4,17.6,17.9,18.2,19.0,19.0,19.0,18.7,19.1,19.1,19.6,18.5
1999,17.7,17.8,18.0,18.5,18.7,19.3,19.7,19.4,19.1,19.1,19.1,19.3,18.8
1998,15.1,15.0,15.4,16.1,16.7,17.1,17.4,17.3,17.0,17.0,16.9,17.1,16.5
1997,14.7,14.8,15.0,15.1,15.6,16.2,16.4,16.5,16.0,16.1,15.9,16.2,15.7
1996,13.7,14.0,14.0,14.3,14.7,15.2,15.5,15.6,15.0,15.0,14.8,15.2,14.8
1995,13.7,13.8,13.8,14.3,14.6,15.1,15.2,15.2,15.0,14.3,14.2,14.7,14.5
1994,14.0,14.0,14.0,14.3,14.7,15.3,15.3,15.4,15.2,15.1,14.7,14.8,14.7
1993,13.6,13.7,14.0,14.2,14.6,15.1,15.1,15.1,15.0,14.8,14.6,14.8,14.6
1992,12.3,12.1,11.9,11.9,12.1,12.7,12.8,12.5,12.4,12.4,12.2,12.4,12.3
Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.,Real Estate and Rental and Leasing - Data in thousands.
1991,14.8,14.8,14.9,15.3,15.2,15.6,15.6,15.6,15.3,14.8,14.7,14.8,15.1
1990,14.9,14.6,15.0,16.9,16.9,17.2,17.1,17.1,16.8,16.5,16.4,16.6,16.3
