Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,1058.7,1065.2,1078.6,1088.6,1097.6,1112.2,1099.1,1095.7,1096.5,1113.7,1124.5,1128.6,
2020,1167.5,1170.2,1160.9,923.6,962.9,1011.6,1036.3,1053.9,1080.2,1091.6,1099.5,1093.7,1071.0
2019,1165.4,1168.9,1179.1,1192.6,1201.7,1220.0,1206.0,1196.1,1189.9,1203.1,1210.2,1209.6,1195.2
2018,1160.3,1167.4,1175.1,1192.0,1206.0,1225.9,1208.7,1197.7,1190.3,1205.1,1209.9,1213.7,1196.0
2017,1157.3,1159.8,1169.3,1183.1,1201.3,1220.5,1204.1,1195.9,1194.6,1203.8,1210.1,1213.4,1192.8
2016,1139.7,1145.3,1159.1,1178.1,1188.2,1206.3,1194.2,1186.5,1184.8,1195.3,1200.4,1205.9,1182.0
2015,1128.1,1130.9,1141.1,1157.9,1177.8,1191.6,1179.5,1170.5,1169.1,1181.6,1185.4,1190.5,1167.0
2014,1116.8,1121.5,1132.1,1147.0,1162.2,1173.8,1160.6,1151.7,1150.1,1166.9,1171.9,1176.4,1152.6
2013,1101.5,1107.4,1118.6,1137.6,1149.8,1164.9,1149.8,1139.1,1141.0,1159.7,1164.8,1170.5,1142.1
2012,1098.1,1102.8,1114.0,1121.6,1136.4,1151.8,1132.6,1122.9,1126.5,1139.5,1133.1,1150.9,1127.5
2011,1079.2,1078.8,1090.3,1110.2,1120.3,1138.5,1123.1,1111.0,1113.1,1124.7,1130.3,1136.1,1113.0
2010,1064.5,1064.8,1077.0,1096.0,1108.1,1117.7,1098.4,1090.1,1095.1,1114.1,1119.8,1123.9,1097.5
2009,1071.9,1072.9,1079.5,1084.9,1101.2,1109.7,1092.2,1083.3,1084.8,1097.4,1100.1,1106.9,1090.4
2008,1091.6,1092.7,1102.9,1112.7,1123.6,1134.0,1119.0,1107.1,1106.8,1118.2,1118.3,1122.7,1112.5
2007,1085.5,1086.2,1096.4,1109.1,1121.3,1134.8,1112.6,1103.4,1110.0,1122.3,1129.0,1139.0,1112.5
2006,1063.8,1064.5,1077.4,1087.5,1101.5,1115.4,1097.3,1088.5,1094.9,1110.2,1118.8,1128.1,1095.7
2005,1063.3,1066.0,1076.4,1092.6,1099.0,1112.4,1096.1,1088.5,1094.7,1101.9,1109.3,1119.1,1093.3
2004,1057.5,1063.9,1077.0,1082.1,1095.7,1109.3,1092.1,1085.6,1091.1,1103.2,1107.2,1115.4,1090.0
2003,1047.1,1050.8,1063.8,1070.0,1081.5,1092.9,1075.6,1068.8,1076.9,1090.5,1096.9,1102.6,1076.5
2002,1038.4,1042.2,1054.8,1062.1,1072.7,1082.0,1061.5,1054.8,1065.8,1077.0,1082.9,1090.7,1065.4
2001,1040.6,1044.7,1055.0,1054.9,1070.9,1082.5,1062.9,1057.8,1056.7,1069.9,1075.9,1086.0,1063.2
2000,1019.9,1025.9,1037.4,1053.2,1064.5,1071.9,1053.5,1046.0,1063.1,1071.3,1077.2,1088.2,1056.0
1999,998.3,1004.0,1013.8,1028.0,1036.5,1047.0,1029.2,1026.0,1027.5,1043.4,1051.7,1060.7,1030.5
1998,963.2,970.0,982.4,984.8,1000.1,1011.8,993.0,988.0,995.5,1012.1,1017.7,1027.7,995.5
1997,942.5,944.4,958.8,967.1,976.7,989.1,970.7,967.3,974.5,987.4,995.6,1004.0,973.2
1996,925.0,930.8,942.1,948.9,964.7,977.4,951.5,950.9,957.6,971.0,978.5,985.7,957.0
1995,929.7,930.6,941.1,946.4,954.5,966.6,948.4,945.5,953.8,957.9,963.4,969.2,950.6
1994,903.0,901.1,915.2,924.7,935.7,949.3,929.8,928.9,936.7,948.2,953.5,960.1,932.2
1993,883.2,883.5,890.8,902.0,915.6,928.0,909.0,908.1,915.5,925.7,930.3,936.8,910.7
1992,882.8,882.8,889.3,896.6,904.2,914.6,894.4,887.3,895.7,905.3,909.7,913.2,898.0
1991,902.4,900.6,907.3,907.6,917.2,926.5,902.4,895.4,900.4,909.8,914.3,919.7,908.6
1990,915.4,914.4,924.0,928.7,941.8,953.3,930.6,924.5,929.9,935.7,940.3,943.1,931.8
