Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2020,40.0,40.0,39.2,28.0,28.8,28.5,27.1,26.7,29.7,31.1,32.0,32.6,
2019,37.9,38.0,38.4,39.2,39.3,39.6,37.3,36.5,37.8,39.9,40.0,39.8,38.6
2018,37.0,37.1,37.5,37.6,38.1,38.5,37.6,35.4,36.7,37.6,38.2,38.3,37.5
2017,36.7,36.7,36.9,36.8,37.3,37.5,35.4,35.1,36.4,37.4,37.8,38.0,36.8
2016,34.7,34.9,35.6,36.1,36.3,36.4,35.2,34.5,35.8,36.1,36.6,36.7,35.7
2015,33.8,33.9,34.2,34.3,34.9,34.9,32.8,32.1,33.6,34.6,35.0,35.2,34.1
2014,32.9,33.1,33.3,33.1,33.5,33.3,31.7,31.7,32.4,33.5,34.1,34.1,33.1
2013,32.0,32.1,32.3,33.0,33.2,33.2,30.9,30.6,31.8,32.8,33.1,33.3,32.4
2012,31.5,31.8,31.8,31.7,32.0,31.8,29.9,29.2,30.8,31.4,31.0,31.6,31.2
2011,31.8,31.5,31.5,31.6,31.8,31.7,30.5,29.2,30.7,31.1,31.3,31.5,31.2
2010,29.6,29.6,29.8,30.1,30.6,30.6,29.4,28.8,29.9,31.0,31.4,31.7,30.2
2009,28.4,28.7,28.6,28.4,28.7,28.8,27.6,27.1,28.3,29.0,29.3,29.6,28.5
2008,27.7,27.7,27.8,28.1,28.2,28.2,27.2,26.9,27.8,28.1,28.4,28.7,27.9
2007,27.7,27.8,28.1,27.8,27.9,28.0,26.8,26.4,27.2,27.2,27.7,27.8,27.5
2006,25.9,26.1,26.5,26.5,26.8,26.9,25.9,25.8,26.9,27.2,27.7,28.1,26.7
2005,25.6,25.7,25.9,26.2,26.1,26.2,25.0,25.1,25.7,25.7,25.9,26.2,25.8
2004,24.9,25.1,25.5,25.3,25.4,25.5,24.8,24.9,25.3,25.6,25.9,26.0,25.4
2003,24.5,24.4,25.0,25.3,25.5,25.5,24.8,24.5,25.3,25.5,25.7,25.7,25.1
2002,23.3,23.5,23.7,24.1,24.1,24.3,24.5,24.4,24.6,25.0,25.1,25.1,24.3
2001,21.5,21.7,22.0,22.1,22.5,22.6,22.1,22.0,22.6,22.8,22.7,23.3,22.3
2000,22.0,22.0,22.3,22.6,23.0,23.1,22.8,22.7,23.0,23.3,23.4,23.5,22.8
1999,20.7,20.8,20.9,21.7,21.6,21.8,21.3,21.1,21.0,21.9,22.0,22.0,21.4
1998,19.3,19.4,20.0,20.2,20.5,20.6,20.4,20.0,19.8,20.3,20.8,20.7,20.2
1997,18.4,18.4,18.7,19.0,19.3,19.3,19.3,18.8,18.9,19.4,19.5,19.8,19.1
1996,17.3,17.3,17.4,17.5,17.9,18.2,18.4,18.2,17.9,18.4,18.9,18.8,18.0
1995,17.1,17.3,17.4,17.6,17.8,18.1,17.5,17.6,17.5,17.8,18.0,18.1,17.7
1994,16.2,16.0,16.4,16.6,16.7,16.6,16.1,16.4,16.1,16.8,16.9,17.2,16.5
1993,15.1,15.1,15.3,15.8,15.9,16.0,15.9,16.2,15.8,16.2,16.5,16.7,15.9
1992,14.1,14.3,14.6,14.9,15.2,15.1,15.0,14.7,14.7,14.9,15.4,15.2,14.8
1991,13.7,13.9,13.9,13.9,14.1,14.1,13.3,13.4,13.1,14.1,14.2,14.2,13.8
1990,11.9,12.2,12.3,12.5,12.8,12.8,12.9,12.8,12.7,12.6,12.8,12.9,12.6
