Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,49.6,47.5,49.2,49.8,51.6,51.4,52.4,52.2,51.7,,,,
2020,54.3,54.3,54.3,34.2,43.6,50.5,53.0,54.4,53.8,53.9,54.9,52.8,51.2
2019,54.8,55.1,55.8,57.7,58.3,58.8,59.4,59.4,58.5,58.2,58.0,56.3,57.5
2018,52.7,53.5,54.3,57.1,58.3,58.4,58.6,58.7,58.1,58.9,58.5,57.6,57.1
2017,52.0,51.5,52.8,55.8,57.3,57.9,59.0,59.0,58.0,57.5,57.4,56.4,56.2
2016,50.1,49.2,51.3,54.0,55.0,55.4,56.8,57.0,56.5,56.6,56.3,55.0,54.4
2015,46.5,45.6,47.1,51.3,52.8,53.7,54.3,54.7,53.8,54.4,54.3,53.3,51.8
2014,44.6,43.5,45.9,49.6,51.3,52.3,53.1,53.0,52.6,53.3,53.0,51.6,50.3
2013,43.6,43.0,44.4,47.3,48.3,48.9,49.7,50.3,49.9,50.1,49.9,48.7,47.8
2012,40.6,40.4,41.9,43.5,44.1,44.7,45.8,46.0,45.7,45.9,45.5,46.2,44.2
2011,37.2,37.3,39.0,41.9,42.9,43.7,44.7,45.0,44.4,44.3,44.1,43.5,42.3
2010,39.0,38.1,39.5,42.5,43.3,44.0,44.7,45.0,44.3,43.5,42.9,41.4,42.4
2009,43.5,43.3,44.0,45.8,46.4,46.6,47.3,47.0,46.3,45.4,44.6,43.4,45.3
2008,47.7,47.4,48.8,51.3,52.1,52.6,53.0,53.3,52.4,51.7,50.6,48.7,50.8
2007,46.2,45.3,46.8,49.5,50.9,51.9,52.5,52.9,52.6,52.5,52.3,51.4,50.4
2006,44.2,44.2,45.8,48.1,49.3,50.6,50.4,51.0,51.1,51.1,50.9,50.4,48.9
2005,42.9,42.2,43.6,46.8,48.0,49.3,49.0,49.4,49.3,48.0,48.7,48.2,47.1
