Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,1.2,1.2,1.2,1.2,1.1,1.2,1.1,1.1,,,,,
2020,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.3
2019,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
2018,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
2017,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
2016,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
2015,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.5,1.5
2014,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2013,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2012,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
2011,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.7
2010,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.8
2009,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.9
2008,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2007,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2006,1.9,1.9,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2005,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,2.0,2.0,2.0,2.0
2004,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.2
2002,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4
2001,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.6
2000,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.8
1999,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,3.0
1998,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.1,3.3
1997,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.5
1996,4.2,4.1,4.1,4.1,4.0,4.0,3.7,3.6,3.6,3.6,3.6,3.6,3.9
1995,4.9,4.8,4.8,4.7,4.4,4.4,4.3,4.2,4.2,4.2,4.1,4.1,4.4
1994,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.3,5.1,5.2,5.1,5.2
1993,6.0,6.0,6.0,5.9,5.8,5.8,5.8,5.7,5.8,5.7,5.7,5.7,5.8
1992,6.1,6.1,6.1,6.0,6.0,5.9,5.9,5.9,6.0,5.8,5.8,5.7,5.9
1991,7.2,7.2,7.0,7.1,6.9,6.8,6.6,6.6,6.6,6.6,6.4,6.4,6.8
1990,8.4,8.3,8.3,8.2,8.2,8.1,8.1,8.0,8.1,8.0,7.9,7.9,8.1
