Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,16419,,,,1356194,"$108,352,879,245","$79,895"
2021(p),1,16403,1370847,1379256,1382498,1377533,"$24,905,552,920","$18,080"
2021(p),2,16413,1385052,1387730,1388117,1386966,"$29,260,242,665","$21,097"
2021(p),3,16430,1214844,1196766,1378247,1263285,"$24,848,553,992","$19,670"
2021(p),4,16431,1393856,1397693,1399422,1396991,"$29,338,529,668","$21,001"
2020,Annual,16381,,,,1378167,"$102,735,988,925","$74,545"
2020,1,16355,1439287,1458346,1461980,1453205,"$25,309,949,113","$17,417"
2020,2,16382,1401272,1390064,1390190,1393842,"$27,935,232,950","$20,042"
2020,3,16405,1181061,1199311,1405992,1262121,"$22,347,516,889","$17,706"
2020,4,16380,1403681,1409160,1397658,1403500,"$27,143,289,973","$19,340"
2019,Annual,16257,,,,1421327,"$101,472,625,759","$71,393"
2019,1,16217,1421279,1445281,1450426,1438996,"$24,730,567,807","$17,186"
2019,2,16258,1454054,1457451,1466634,1459380,"$27,831,402,216","$19,071"
2019,3,16269,1275976,1255374,1433024,1321457,"$22,290,035,220","$16,868"
2019,4,16280,1456619,1474874,1464927,1465474,"$26,620,620,516","$18,165"
2018,Annual,16062,,,,1415433,"$98,550,236,054","$69,626"
2018,1,16022,1417580,1442524,1446399,1435501,"$24,042,615,844","$16,749"
2018,2,16056,1447898,1455810,1463968,1455891,"$26,777,364,472","$18,392"
2018,3,16071,1259269,1243985,1427119,1310124,"$21,571,276,458","$16,465"
2018,4,16097,1452232,1465766,1462645,1460214,"$26,158,979,280","$17,914"
2017,Annual,14494,,,,1377089,"$87,990,949,383","$63,896"
2017,1,14471,1387149,1410036,1413783,1403656,"$21,835,167,469","$15,556"
2017,2,14485,1415111,1417362,1418133,1416869,"$23,930,283,127","$16,890"
2017,3,14501,1218991,1203805,1384663,1269154,"$19,346,034,119","$15,243"
2017,4,14518,1413816,1420591,1421627,1418678,"$22,879,464,668","$16,127"
2016,Annual,14384,,,,1371620,"$84,122,464,992","$61,331"
2016,1,14350,1377399,1401025,1408511,1395646,"$20,587,874,641","$14,752"
2016,2,14376,1411414,1412292,1407751,1410486,"$22,652,213,822","$16,060"
2016,3,14404,1216364,1195098,1381351,1264271,"$19,013,646,531","$15,039"
2016,4,14404,1410195,1416954,1421086,1416078,"$21,868,729,998","$15,443"
2015,Annual,14346,,,,1365171,"$82,463,294,322","$60,405"
2015,1,14319,1365932,1392907,1398485,1385775,"$20,332,914,406","$14,673"
2015,2,14321,1399334,1409076,1402686,1403699,"$21,906,043,759","$15,606"
2015,3,14350,1219054,1187971,1372327,1259784,"$18,344,700,501","$14,562"
2015,4,14393,1404059,1414997,1415213,1411423,"$21,879,635,656","$15,502"
2014,Annual,12113,,,,1362675,"$80,041,721,767","$58,739"
2014,1,12024,1361244,1391082,1395987,1382771,"$19,949,844,332","$14,427"
2014,2,12113,1401220,1404621,1404103,1403315,"$21,301,144,477","$15,179"
2014,3,12142,1219734,1191998,1363403,1258378,"$18,058,296,337","$14,350"
2014,4,12171,1400592,1409453,1408664,1406236,"$20,732,436,621","$14,743"
2013,Annual,9963,,,,1364435,"$77,949,667,845","$57,130"
2013,1,9978,1376644,1401423,1404704,1394257,"$19,782,900,010","$14,189"
2013,2,9955,1404014,1412230,1408458,1408234,"$20,922,166,408","$14,857"
